Daily data for a single station.
StationID:,712643-99999
StationName:,"BUTTONVILLE MUNI"
Lat&Long:,43.862,-79.370
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2019-01-03
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-13.3,-19.0,3.85,67.8
2014-01-02,#N/A,#N/A,#N/A,-18.6,-25.8,5.40,97.4
2014-01-03,#N/A,#N/A,#N/A,-19.5,-27.4,3.34,26.2
2014-01-04,#N/A,#N/A,#N/A,-4.5,-10.7,5.77,77.7
2014-01-05,#N/A,#N/A,#N/A,-1.8,-2.5,2.13,100.0
2014-01-06,#N/A,#N/A,#N/A,-6.9,-10.1,6.31,78.8
2014-01-07,#N/A,#N/A,#N/A,-19.1,-24.9,6.86,28.5
2014-01-08,#N/A,#N/A,#N/A,-13.0,-18.0,3.14,84.6
2014-01-09,#N/A,#N/A,#N/A,-10.5,-13.6,1.83,37.5
2014-01-10,#N/A,#N/A,#N/A,-2.7,-3.6,1.19,100.0
2014-01-11,#N/A,#N/A,#N/A,3.2,2.7,2.72,87.3
2014-01-12,#N/A,#N/A,#N/A,1.2,-2.6,4.33,82.7
2014-01-13,#N/A,#N/A,#N/A,2.4,-0.4,3.55,84.6
2014-01-14,#N/A,#N/A,#N/A,2.4,-0.7,2.15,78.5
2014-01-15,#N/A,#N/A,#N/A,-1.6,-6.1,4.39,90.7
2014-01-16,#N/A,#N/A,#N/A,-3.8,-8.1,3.40,78.4
2014-01-17,#N/A,#N/A,#N/A,-1.6,-4.3,2.76,87.5
2014-01-18,#N/A,#N/A,#N/A,-4.7,-8.0,3.14,73.2
2014-01-19,#N/A,#N/A,#N/A,-5.7,-8.5,5.24,98.7
2014-01-20,#N/A,#N/A,#N/A,-10.2,-13.7,4.55,68.7
2014-01-21,#N/A,#N/A,#N/A,-19.9,-26.0,3.13,27.7
2014-01-22,#N/A,#N/A,#N/A,-19.5,-26.4,1.53,66.9
2014-01-23,#N/A,#N/A,#N/A,-17.1,-22.8,3.43,71.6
2014-01-24,#N/A,#N/A,#N/A,-14.5,-19.9,5.26,67.7
2014-01-25,#N/A,#N/A,#N/A,-9.3,-12.7,6.01,67.2
2014-01-26,#N/A,#N/A,#N/A,-13.7,-17.4,3.08,68.9
2014-01-27,#N/A,#N/A,#N/A,-11.3,-15.3,5.23,59.9
