Daily data for a single station.
StationID:,712650-99999
StationName:,"TORONTO CITY CENTRE"
Lat&Long:,43.617,-79.380
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-10.4,-16.7,5.51,78.6
2014-01-02,#N/A,#N/A,#N/A,-16.2,-21.2,5.60,100.0
2014-01-03,#N/A,#N/A,#N/A,-16.2,-23.2,5.43,67.5
2014-01-04,#N/A,#N/A,#N/A,-2.5,-8.0,11.24,83.4
2014-01-05,#N/A,#N/A,#N/A,-0.4,-1.2,4.98,99.8
2014-01-06,#N/A,#N/A,#N/A,-5.9,-8.9,11.30,91.0
2014-01-07,#N/A,#N/A,#N/A,-17.4,-21.1,13.90,52.9
2014-01-08,#N/A,#N/A,#N/A,-11.1,-15.1,7.27,81.4
2014-01-09,#N/A,#N/A,#N/A,-7.7,-11.4,3.25,44.0
2014-01-10,#N/A,#N/A,#N/A,-0.7,-1.4,1.96,98.7
2014-01-11,#N/A,#N/A,#N/A,3.1,2.5,4.75,100.0
2014-01-12,#N/A,#N/A,#N/A,2.0,-1.3,7.01,89.7
2014-01-13,#N/A,#N/A,#N/A,3.3,01.0,3.35,91.0
2014-01-14,#N/A,#N/A,#N/A,2.3,0.5,3.48,79.8
2014-01-15,#N/A,#N/A,#N/A,-0.6,-4.6,7.84,91.9
2014-01-16,#N/A,#N/A,#N/A,-1.9,-6.6,5.55,96.1
2014-01-17,#N/A,#N/A,#N/A,0.4,-2.9,5.88,92.2
2014-01-18,#N/A,#N/A,#N/A,-3.8,-7.0,6.37,90.3
2014-01-19,#N/A,#N/A,#N/A,-4.0,-6.8,10.85,98.7
2014-01-20,#N/A,#N/A,#N/A,-7.7,-12.5,5.24,86.4
2014-01-21,#N/A,#N/A,#N/A,-16.8,-23.4,4.21,43.0
2014-01-22,#N/A,#N/A,#N/A,-16.1,-22.2,2.24,68.0
2014-01-23,#N/A,#N/A,#N/A,-14.2,-19.3,4.38,73.7
2014-01-24,#N/A,#N/A,#N/A,-11.3,-15.5,11.92,81.9
2014-01-25,#N/A,#N/A,#N/A,-6.6,-10.8,12.01,94.3
2014-01-26,#N/A,#N/A,#N/A,-9.9,-13.7,8.42,83.0
2014-01-27,#N/A,#N/A,#N/A,-9.6,-14.4,10.06,78.7
2014-01-28,#N/A,#N/A,#N/A,-14.2,-18.6,11.22,46.4
2014-01-29,#N/A,#N/A,#N/A,-11.9,-16.2,11.69,66.7
2014-01-30,#N/A,#N/A,#N/A,-4.8,-11.2,10.22,86.0
2014-01-31,#N/A,#N/A,#N/A,-0.5,-4.5,6.39,82.4
