Daily data for a single station.
StationID:,712810-99999
StationName:,"GRENADIER ISLAND  ONT"
Lat&Long:,44.417,-75.850
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,22.5,19.1,1.21,#N/A
2014-01-02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-08,#N/A,#N/A,#N/A,8.8,6.3,2.16,#N/A
2014-01-09,#N/A,#N/A,#N/A,1.7,-3.1,2.10,#N/A
2014-01-10,#N/A,#N/A,#N/A,5.4,5.3,0.50,#N/A
2014-01-11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-14,#N/A,#N/A,#N/A,22.2,13.4,1.32,#N/A
2014-01-15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
