Daily data for a single station.
StationID:,714620-99999
StationName:,"GREAT DUCK ISLAND"
Lat&Long:,45.633,-82.960
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2021-05-12
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-17.7,#N/A,2.48,#N/A
2014-01-02,#N/A,#N/A,#N/A,-19.6,#N/A,2.49,#N/A
2014-01-03,#N/A,#N/A,#N/A,-14.4,#N/A,5.82,#N/A
2014-01-04,#N/A,#N/A,#N/A,-3.4,#N/A,10.70,#N/A
2014-01-05,#N/A,#N/A,#N/A,-6.0,#N/A,2.20,#N/A
2014-01-06,#N/A,#N/A,#N/A,-12.6,#N/A,6.06,#N/A
2014-01-07,#N/A,#N/A,#N/A,-11.2,#N/A,11.92,#N/A
2014-01-08,#N/A,#N/A,#N/A,-8.7,#N/A,7.81,#N/A
2014-01-09,#N/A,#N/A,#N/A,-6.7,#N/A,6.55,#N/A
2014-01-10,#N/A,#N/A,#N/A,-1.8,#N/A,6.84,#N/A
2014-01-11,#N/A,#N/A,#N/A,1.5,#N/A,6.79,#N/A
2014-01-12,#N/A,#N/A,#N/A,1.0,#N/A,8.14,#N/A
2014-01-13,#N/A,#N/A,#N/A,1.7,#N/A,6.21,#N/A
2014-01-14,#N/A,#N/A,#N/A,-1.1,#N/A,2.97,#N/A
2014-01-15,#N/A,#N/A,#N/A,-5.8,#N/A,5.63,#N/A
2014-01-16,#N/A,#N/A,#N/A,-3.5,#N/A,10.13,#N/A
2014-01-17,#N/A,#N/A,#N/A,-1.6,#N/A,2.66,#N/A
2014-01-18,#N/A,#N/A,#N/A,-5.0,#N/A,4.85,#N/A
2014-01-19,#N/A,#N/A,#N/A,-4.2,#N/A,9.01,#N/A
2014-01-20,#N/A,#N/A,#N/A,-16.1,#N/A,2.63,#N/A
2014-01-21,#N/A,#N/A,#N/A,-21.2,#N/A,1.63,#N/A
2014-01-22,#N/A,#N/A,#N/A,-16.6,#N/A,3.52,#N/A
2014-01-23,#N/A,#N/A,#N/A,-18.0,#N/A,3.66,#N/A
2014-01-24,#N/A,#N/A,#N/A,-8.9,#N/A,11.55,#N/A
2014-01-25,#N/A,#N/A,#N/A,-10.8,#N/A,7.82,#N/A
2014-01-26,#N/A,#N/A,#N/A,-13.9,#N/A,3.65,#N/A
2014-01-27,#N/A,#N/A,#N/A,-16.3,#N/A,7.06,#N/A
2014-01-28,#N/A,#N/A,#N/A,-13.0,#N/A,11.43,#N/A
2014-01-29,#N/A,#N/A,#N/A,-10.1,#N/A,8.89,#N/A
2014-01-30,#N/A,#N/A,#N/A,-4.3,#N/A,10.00,#N/A
2014-01-31,#N/A,#N/A,#N/A,-7.2,#N/A,5.18,#N/A
2014-02-01,#N/A,#N/A,#N/A,-7.6,#N/A,2.20,#N/A
2014-02-02,#N/A,#N/A,#N/A,-8.4,#N/A,2.99,#N/A
2014-02-03,#N/A,#N/A,#N/A,-10.3,#N/A,1.93,#N/A
2014-02-04,#N/A,#N/A,#N/A,-7.6,#N/A,2.21,#N/A
2014-02-05,#N/A,#N/A,#N/A,-10.1,#N/A,2.76,#N/A
2014-02-06,#N/A,#N/A,#N/A,-10.5,#N/A,5.42,#N/A
2014-02-07,#N/A,#N/A,#N/A,-10.2,#N/A,8.73,#N/A
2014-02-08,#N/A,#N/A,#N/A,-8.8,#N/A,3.19,#N/A
2014-02-09,#N/A,#N/A,#N/A,-9.2,#N/A,1.88,#N/A
2014-02-10,#N/A,#N/A,#N/A,-13.3,#N/A,3.58,#N/A
2014-02-11,#N/A,#N/A,#N/A,-13.9,#N/A,3.50,#N/A
2014-02-12,#N/A,#N/A,#N/A,-9.5,#N/A,7.33,#N/A
2014-02-13,#N/A,#N/A,#N/A,-5.8,#N/A,3.83,#N/A
2014-02-14,#N/A,#N/A,#N/A,-6.1,#N/A,2.12,#N/A
2014-02-15,#N/A,#N/A,#N/A,-12.2,#N/A,2.05,#N/A
2014-02-16,#N/A,#N/A,#N/A,-11.8,#N/A,2.16,#N/A
2014-02-17,#N/A,#N/A,#N/A,-10.9,#N/A,4.35,#N/A
2014-02-18,#N/A,#N/A,#N/A,-6.3,#N/A,3.65,#N/A
2014-02-19,#N/A,#N/A,#N/A,-3.9,#N/A,2.17,#N/A
2014-02-20,#N/A,#N/A,#N/A,-2.0,#N/A,3.55,#N/A
2014-02-21,#N/A,#N/A,#N/A,-0.2,#N/A,9.39,#N/A
2014-02-22,#N/A,#N/A,#N/A,-5.3,#N/A,8.72,#N/A
2014-02-23,#N/A,#N/A,#N/A,-8.4,#N/A,7.53,#N/A
2014-02-24,#N/A,#N/A,#N/A,-11.5,#N/A,4.73,#N/A
2014-02-25,#N/A,#N/A,#N/A,-11.9,#N/A,4.71,#N/A
2014-02-26,#N/A,#N/A,#N/A,-13.9,#N/A,7.23,#N/A
2014-02-27,#N/A,#N/A,#N/A,-16.9,#N/A,6.08,#N/A
2014-02-28,#N/A,#N/A,#N/A,-17.6,#N/A,4.47,#N/A
2014-03-01,#N/A,#N/A,#N/A,-11.9,#N/A,6.27,#N/A
2014-03-02,#N/A,#N/A,#N/A,-17.0,#N/A,4.05,#N/A
2014-03-03,#N/A,#N/A,#N/A,-15.8,#N/A,3.77,#N/A
2014-03-04,#N/A,#N/A,#N/A,-9.5,#N/A,3.28,#N/A
2014-03-05,#N/A,#N/A,#N/A,-10.9,#N/A,2.04,#N/A
2014-03-06,#N/A,#N/A,#N/A,-9.6,#N/A,4.22,#N/A
2014-03-07,#N/A,#N/A,#N/A,-4.4,#N/A,3.64,#N/A
2014-03-08,#N/A,#N/A,#N/A,-5.7,#N/A,2.62,#N/A
2014-03-09,#N/A,#N/A,#N/A,-6.7,#N/A,3.00,#N/A
2014-03-10,#N/A,#N/A,#N/A,-0.1,#N/A,2.35,#N/A
2014-03-11,#N/A,#N/A,#N/A,0.5,#N/A,2.14,#N/A
2014-03-12,#N/A,#N/A,#N/A,-10.1,#N/A,3.58,#N/A
2014-03-13,#N/A,#N/A,#N/A,-10.8,#N/A,4.34,#N/A
2014-03-14,#N/A,#N/A,#N/A,-0.7,#N/A,4.91,#N/A
2014-03-15,#N/A,#N/A,#N/A,-6.0,#N/A,5.20,#N/A
2014-03-16,#N/A,#N/A,#N/A,-13.5,#N/A,2.80,#N/A
2014-03-17,#N/A,#N/A,#N/A,-10.0,#N/A,2.97,#N/A
2014-03-18,#N/A,#N/A,#N/A,-3.2,#N/A,3.58,#N/A
2014-03-19,#N/A,#N/A,#N/A,-0.9,#N/A,3.38,#N/A
2014-03-20,#N/A,#N/A,#N/A,-1.8,#N/A,6.18,#N/A
2014-03-21,#N/A,#N/A,#N/A,-2.9,#N/A,2.68,#N/A
2014-03-22,#N/A,#N/A,#N/A,-5.2,#N/A,5.70,#N/A
2014-03-23,#N/A,#N/A,#N/A,-9.8,#N/A,3.83,#N/A
2014-03-24,#N/A,#N/A,#N/A,-6.8,#N/A,4.87,#N/A
2014-03-25,#N/A,#N/A,#N/A,-8.0,#N/A,5.01,#N/A
2014-03-26,#N/A,#N/A,#N/A,-8.2,#N/A,3.57,#N/A
2014-03-27,#N/A,#N/A,#N/A,-1.2,#N/A,7.95,#N/A
2014-03-28,#N/A,#N/A,#N/A,1.0,#N/A,3.05,#N/A
2014-03-29,#N/A,#N/A,#N/A,-0.5,#N/A,1.63,#N/A
2014-03-30,#N/A,#N/A,#N/A,-1.8,#N/A,1.68,#N/A
2014-03-31,#N/A,#N/A,#N/A,01.0,#N/A,3.67,#N/A
2014-04-01,#N/A,#N/A,#N/A,1.4,#N/A,5.67,#N/A
2014-04-02,#N/A,#N/A,#N/A,-2.0,#N/A,6.44,#N/A
2014-04-03,#N/A,#N/A,#N/A,-0.9,#N/A,2.22,#N/A
2014-04-04,#N/A,#N/A,#N/A,0.8,#N/A,4.36,#N/A
2014-04-05,#N/A,#N/A,#N/A,-1.9,#N/A,7.18,#N/A
2014-04-06,#N/A,#N/A,#N/A,2.0,#N/A,3.55,#N/A
2014-04-07,#N/A,#N/A,#N/A,4.1,#N/A,2.35,#N/A
2014-04-08,#N/A,#N/A,#N/A,3.3,#N/A,2.43,#N/A
2014-04-09,#N/A,#N/A,#N/A,1.7,#N/A,2.78,#N/A
2014-04-10,#N/A,#N/A,#N/A,3.7,#N/A,5.10,#N/A
2014-04-11,#N/A,#N/A,#N/A,3.4,#N/A,1.58,#N/A
2014-04-12,#N/A,#N/A,#N/A,3.0,#N/A,2.63,#N/A
2014-04-13,#N/A,#N/A,#N/A,3.4,#N/A,2.94,#N/A
2014-04-14,#N/A,#N/A,#N/A,1.7,#N/A,3.91,#N/A
2014-04-15,#N/A,#N/A,#N/A,-5.3,#N/A,5.08,#N/A
2014-04-16,#N/A,#N/A,#N/A,-2.9,#N/A,4.32,#N/A
2014-04-17,#N/A,#N/A,#N/A,1.9,#N/A,4.67,#N/A
2014-04-18,#N/A,#N/A,#N/A,2.0,#N/A,4.66,#N/A
