Daily data for a single station.
StationID:,715340-99999
StationName:,"BORDEN"
Lat&Long:,44.250,-79.910
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2022-01-06
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-14.6,-19.6,3.17,82.5
2014-01-02,#N/A,#N/A,#N/A,-20.6,-27.1,2.77,58.6
2014-01-03,#N/A,#N/A,#N/A,-22.1,-28.6,2.39,41.0
2014-01-04,#N/A,#N/A,#N/A,-5.7,-10.3,6.27,67.0
2014-01-05,#N/A,#N/A,#N/A,-2.5,-2.9,1.76,100.0
2014-01-06,#N/A,#N/A,#N/A,-8.2,-10.6,5.96,89.0
2014-01-07,#N/A,#N/A,#N/A,-19.4,-25.0,7.83,65.3
2014-01-08,#N/A,#N/A,#N/A,-15.2,-19.4,4.71,78.7
2014-01-09,#N/A,#N/A,#N/A,-11.0,-14.1,2.89,80.3
2014-01-10,#N/A,#N/A,#N/A,-3.8,-4.6,3.12,97.8
2014-01-11,#N/A,#N/A,#N/A,3.1,2.6,4.26,97.6
2014-01-12,#N/A,#N/A,#N/A,0.8,-2.7,6.00,95.4
2014-01-13,#N/A,#N/A,#N/A,2.5,-0.9,5.56,67.8
2014-01-14,#N/A,#N/A,#N/A,0.4,-2.2,2.04,73.7
2014-01-15,#N/A,#N/A,#N/A,-2.9,-6.9,5.39,98.1
2014-01-16,#N/A,#N/A,#N/A,-5.7,-8.6,4.47,81.0
2014-01-17,#N/A,#N/A,#N/A,-3.0,-5.1,3.49,75.6
2014-01-18,#N/A,#N/A,#N/A,-5.7,-8.6,3.18,98.5
2014-01-19,#N/A,#N/A,#N/A,-5.6,-8.1,5.93,97.6
2014-01-20,#N/A,#N/A,#N/A,-12.2,-14.1,3.42,96.9
2014-01-21,#N/A,#N/A,#N/A,-23.1,-27.3,1.52,47.6
2014-01-22,#N/A,#N/A,#N/A,-26.3,-31.5,0.59,47.8
2014-01-23,#N/A,#N/A,#N/A,-20.9,-25.1,2.02,69.5
2014-01-24,#N/A,#N/A,#N/A,-17.2,-21.5,7.21,72.7
2014-01-25,#N/A,#N/A,#N/A,-9.9,-13.5,6.75,85.1
2014-01-26,#N/A,#N/A,#N/A,-15.0,-18.0,3.74,89.0
2014-01-27,#N/A,#N/A,#N/A,-12.6,-16.1,5.81,60.4
2014-01-28,#N/A,#N/A,#N/A,-16.3,-20.1,6.40,50.1
2014-01-29,#N/A,#N/A,#N/A,-14.7,-18.1,6.34,69.9
2014-01-30,#N/A,#N/A,#N/A,-8.3,-13.9,6.75,64.1
2014-01-31,#N/A,#N/A,#N/A,-4.2,-7.6,3.43,86.6
2014-02-01,#N/A,#N/A,#N/A,-6.7,-7.2,0.83,87.6
2014-02-02,#N/A,#N/A,#N/A,-4.6,-6.5,2.69,98.5
2014-02-03,#N/A,#N/A,#N/A,-11.7,-13.5,0.89,94.0
2014-02-04,#N/A,#N/A,#N/A,-10.6,-13.3,1.73,57.7
2014-02-05,#N/A,#N/A,#N/A,-9.5,-11.8,3.10,90.9
2014-02-06,#N/A,#N/A,#N/A,-13.5,-16.1,2.86,89.5
2014-02-07,#N/A,#N/A,#N/A,-12.9,-16.6,4.40,77.0
2014-02-08,#N/A,#N/A,#N/A,-12.5,-15.9,3.58,82.5
2014-02-09,#N/A,#N/A,#N/A,-15.0,-16.8,0.55,94.6
2014-02-10,#N/A,#N/A,#N/A,-14.7,-18.3,2.75,82.7
2014-02-11,#N/A,#N/A,#N/A,-14.8,-18.2,2.02,69.1
2014-02-12,#N/A,#N/A,#N/A,-18.1,-22.8,2.95,34.8
2014-02-13,#N/A,#N/A,#N/A,-10.0,-13.9,1.40,80.2
2014-02-14,#N/A,#N/A,#N/A,-5.7,-8.8,1.41,93.5
2014-02-15,#N/A,#N/A,#N/A,-10.6,-12.6,2.57,70.7
2014-02-16,#N/A,#N/A,#N/A,-16.0,-18.5,2.08,80.0
2014-02-17,#N/A,#N/A,#N/A,-16.2,-21.1,3.39,32.2
2014-02-18,#N/A,#N/A,#N/A,-4.9,-7.3,4.14,86.6
2014-02-19,#N/A,#N/A,#N/A,-2.0,-4.8,3.07,37.3
2014-02-20,#N/A,#N/A,#N/A,-1.7,-3.1,3.22,86.4
2014-02-21,#N/A,#N/A,#N/A,1.9,-1.3,8.83,92.8
2014-02-22,#N/A,#N/A,#N/A,-1.1,-9.0,8.43,53.0
2014-02-23,#N/A,#N/A,#N/A,-5.1,-10.4,4.73,65.9
2014-02-24,#N/A,#N/A,#N/A,-9.6,-13.3,3.95,88.8
2014-02-25,#N/A,#N/A,#N/A,-10.9,-15.3,3.92,78.9
2014-02-26,#N/A,#N/A,#N/A,-14.5,-20.6,5.53,44.9
2014-02-27,#N/A,#N/A,#N/A,-14.6,-20.5,6.49,52.5
2014-02-28,#N/A,#N/A,#N/A,-17.1,-24.7,2.57,54.8
2014-03-01,#N/A,#N/A,#N/A,-8.8,-12.1,3.94,94.5
2014-03-02,#N/A,#N/A,#N/A,-14.3,-19.5,3.51,65.7
2014-03-03,#N/A,#N/A,#N/A,-17.3,-25.0,3.28,44.9
2014-03-04,#N/A,#N/A,#N/A,-13.0,-16.2,2.29,88.1
2014-03-05,#N/A,#N/A,#N/A,-13.1,-15.5,1.48,82.2
2014-03-06,#N/A,#N/A,#N/A,-16.2,-20.3,2.97,85.8
2014-03-07,#N/A,#N/A,#N/A,-6.3,-10.8,3.55,71.0
2014-03-08,#N/A,#N/A,#N/A,-3.2,-7.3,3.81,87.6
2014-03-09,#N/A,#N/A,#N/A,-7.4,-11.5,4.18,75.7
2014-03-10,#N/A,#N/A,#N/A,2.3,-1.8,4.56,59.6
2014-03-11,#N/A,#N/A,#N/A,3.0,-2.3,2.47,13.0
2014-03-12,#N/A,#N/A,#N/A,-6.5,-10.2,5.12,72.7
2014-03-13,#N/A,#N/A,#N/A,-13.3,-21.0,4.39,90.3
2014-03-14,#N/A,#N/A,#N/A,1.2,-4.5,7.54,60.8
2014-03-15,#N/A,#N/A,#N/A,-2.3,-5.3,5.11,97.2
2014-03-16,#N/A,#N/A,#N/A,-13.0,-20.8,3.41,58.5
2014-03-17,#N/A,#N/A,#N/A,-9.4,-16.1,1.59,69.0
2014-03-18,#N/A,#N/A,#N/A,-3.9,-9.6,2.53,93.3
2014-03-19,#N/A,#N/A,#N/A,0.5,-1.6,3.62,93.9
2014-03-20,#N/A,#N/A,#N/A,0.1,-3.4,6.54,92.8
2014-03-21,#N/A,#N/A,#N/A,-1.1,-6.3,2.82,71.8
2014-03-22,#N/A,#N/A,#N/A,-2.1,-4.9,4.03,90.2
2014-03-23,#N/A,#N/A,#N/A,-10.0,-16.3,3.36,65.5
2014-03-24,#N/A,#N/A,#N/A,-10.7,-15.9,3.16,58.7
2014-03-25,#N/A,#N/A,#N/A,-9.5,-12.8,3.80,60.1
2014-03-26,#N/A,#N/A,#N/A,-11.3,-16.3,3.00,56.8
2014-03-27,#N/A,#N/A,#N/A,-3.8,-7.4,5.62,75.7
2014-03-28,#N/A,#N/A,#N/A,3.0,2.0,4.80,98.8
2014-03-29,#N/A,#N/A,#N/A,0.9,-3.0,2.69,100.0
2014-03-30,#N/A,#N/A,#N/A,-0.8,-8.0,3.72,#N/A
2014-03-31,#N/A,#N/A,#N/A,0.6,-6.0,1.09,#N/A
2014-04-01,#N/A,#N/A,#N/A,3.1,-2.1,5.07,67.0
2014-04-02,#N/A,#N/A,#N/A,0.4,-4.3,3.83,88.6
2014-04-03,#N/A,#N/A,#N/A,-0.9,-5.5,0.00,55.5
2014-04-04,#N/A,#N/A,#N/A,2.4,0.2,3.82,98.5
2014-04-05,#N/A,#N/A,#N/A,0.1,-4.4,6.23,89.4
2014-04-06,#N/A,#N/A,#N/A,2.0,-5.0,2.37,13.0
2014-04-07,#N/A,#N/A,#N/A,3.3,-1.4,2.49,85.5
2014-04-08,#N/A,#N/A,#N/A,4.5,0.4,3.79,76.0
2014-04-09,#N/A,#N/A,#N/A,3.6,-4.0,3.16,26.4
2014-04-10,#N/A,#N/A,#N/A,8.7,1.8,6.53,65.9
2014-04-11,#N/A,#N/A,#N/A,7.1,-0.6,1.95,44.5
2014-04-12,#N/A,#N/A,#N/A,7.3,1.0,2.27,69.9
2014-04-13,#N/A,#N/A,#N/A,11.0,9.7,2.39,78.9
2014-04-14,#N/A,#N/A,#N/A,10.7,7.8,6.05,81.1
2014-04-15,#N/A,#N/A,#N/A,-3.8,-6.6,4.97,97.6
2014-04-16,#N/A,#N/A,#N/A,-1.9,-9.0,2.62,57.4
2014-04-17,#N/A,#N/A,#N/A,3.3,-4.4,5.09,59.0
2014-04-18,#N/A,#N/A,#N/A,4.9,1.1,2.54,63.8
2014-04-19,#N/A,#N/A,#N/A,3.1,-1.7,1.66,13.0
2014-04-20,#N/A,#N/A,#N/A,7.4,-0.7,2.00,13.0
2014-04-21,#N/A,#N/A,#N/A,13.9,3.6,2.08,63.2
2014-04-22,#N/A,#N/A,#N/A,6.7,5.3,3.79,95.8
2014-04-23,#N/A,#N/A,#N/A,2.6,-4.6,5.68,95.3
2014-04-24,#N/A,#N/A,#N/A,3.0,-9.0,2.39,13.0
2014-04-25,#N/A,#N/A,#N/A,6.4,-2.7,4.15,69.7
2014-04-26,#N/A,#N/A,#N/A,3.6,1.4,3.08,93.7
2014-04-27,#N/A,#N/A,#N/A,5.0,-1.9,2.91,65.8
2014-04-28,#N/A,#N/A,#N/A,6.5,-2.6,3.54,13.0
2014-04-29,#N/A,#N/A,#N/A,8.3,5.1,7.29,95.9
2014-04-30,#N/A,#N/A,#N/A,7.4,6.7,4.63,98.4
2014-05-01,#N/A,#N/A,#N/A,9.4,5.9,2.08,85.2
2014-05-02,#N/A,#N/A,#N/A,8.7,5.8,2.20,91.0
2014-05-03,#N/A,#N/A,#N/A,8.7,6.7,3.62,95.7
2014-05-04,#N/A,#N/A,#N/A,6.5,2.2,3.89,75.8
2014-05-05,#N/A,#N/A,#N/A,5.3,-1.4,2.08,55.5
2014-05-06,#N/A,#N/A,#N/A,5.9,-1.3,2.54,49.4
2014-05-07,#N/A,#N/A,#N/A,8.3,-1.4,3.24,63.5
2014-05-08,#N/A,#N/A,#N/A,14.3,4.0,3.06,74.9
2014-05-09,#N/A,#N/A,#N/A,17.8,10.0,5.33,44.7
2014-05-10,#N/A,#N/A,#N/A,13.9,7.1,4.99,58.1
2014-05-11,#N/A,#N/A,#N/A,12.2,2.9,1.90,52.6
2014-05-12,#N/A,#N/A,#N/A,15.9,10.1,2.52,39.4
2014-05-13,#N/A,#N/A,#N/A,17.7,15.1,4.77,77.7
2014-05-14,#N/A,#N/A,#N/A,12.3,9.8,2.53,80.2
2014-05-15,#N/A,#N/A,#N/A,13.9,12.2,3.92,93.8
2014-05-16,#N/A,#N/A,#N/A,6.5,3.4,2.93,87.1
2014-05-17,#N/A,#N/A,#N/A,5.3,-0.5,2.77,65.3
2014-05-18,#N/A,#N/A,#N/A,8.7,2.9,1.97,67.3
2014-05-19,#N/A,#N/A,#N/A,12.1,4.2,1.75,41.5
2014-05-20,#N/A,#N/A,#N/A,13.0,6.8,2.95,75.6
2014-05-21,#N/A,#N/A,#N/A,17.0,11.5,2.41,66.1
2014-05-22,#N/A,#N/A,#N/A,13.1,10.4,3.22,81.4
2014-05-23,#N/A,#N/A,#N/A,11.4,9.7,2.44,78.0
2014-05-24,#N/A,#N/A,#N/A,14.6,5.8,2.44,60.5
2014-05-25,#N/A,#N/A,#N/A,17.6,7.1,2.58,20.5
2014-05-26,#N/A,#N/A,#N/A,22.5,11.2,3.94,60.0
2014-05-27,#N/A,#N/A,#N/A,20.5,15.4,2.64,53.2
2014-05-28,#N/A,#N/A,#N/A,14.6,9.5,3.06,93.8
2014-05-29,#N/A,#N/A,#N/A,13.0,7.9,1.84,58.3
2014-05-30,#N/A,#N/A,#N/A,15.0,8.4,2.65,69.0
2014-05-31,#N/A,#N/A,#N/A,15.7,4.3,1.83,44.1
2014-06-01,#N/A,#N/A,#N/A,20.2,7.6,4.44,13.0
2014-06-02,#N/A,#N/A,#N/A,22.6,14.0,4.98,49.0
2014-06-03,#N/A,#N/A,#N/A,21.6,12.5,5.58,46.2
2014-06-04,#N/A,#N/A,#N/A,16.1,6.6,4.00,44.4
2014-06-05,#N/A,#N/A,#N/A,11.8,6.1,3.80,72.6
2014-06-06,#N/A,#N/A,#N/A,14.3,3.5,2.35,18.0
2014-06-07,#N/A,#N/A,#N/A,16.4,1.3,1.52,#N/A
2014-06-08,#N/A,#N/A,#N/A,14.7,9.4,1.23,38.2
2014-06-09,#N/A,#N/A,#N/A,16.5,#N/A,2.13,44.3
2014-06-10,#N/A,#N/A,#N/A,18.9,10.5,1.65,21.0
2014-06-11,#N/A,#N/A,#N/A,18.7,15.1,2.23,73.4
2014-06-12,#N/A,#N/A,#N/A,21.5,16.5,3.85,77.0
2014-06-13,#N/A,#N/A,#N/A,16.4,11.9,3.22,82.6
2014-06-14,#N/A,#N/A,#N/A,12.2,7.1,3.39,90.1
2014-06-15,#N/A,#N/A,#N/A,14.5,7.6,2.40,13.0
2014-06-16,#N/A,#N/A,#N/A,19.2,15.0,2.96,55.4
2014-06-17,#N/A,#N/A,#N/A,19.1,14.4,3.47,74.6
2014-06-18,#N/A,#N/A,#N/A,18.8,14.2,2.61,61.8
2014-06-19,#N/A,#N/A,#N/A,16.4,8.5,2.50,96.3
2014-06-20,#N/A,#N/A,#N/A,14.4,6.5,1.27,13.0
2014-06-21,#N/A,#N/A,#N/A,17.3,8.7,1.53,13.0
2014-06-22,#N/A,#N/A,#N/A,18.2,#N/A,1.18,57.4
2014-06-23,#N/A,#N/A,#N/A,18.9,12.0,2.58,61.0
2014-06-24,#N/A,#N/A,#N/A,20.1,17.7,2.25,97.3
2014-06-25,#N/A,#N/A,#N/A,17.4,15.7,1.77,99.7
2014-06-26,#N/A,#N/A,#N/A,18.7,12.0,1.95,47.2
2014-06-27,#N/A,#N/A,#N/A,20.0,8.8,2.15,41.8
2014-06-28,#N/A,#N/A,#N/A,22.4,16.1,2.29,20.5
2014-06-29,#N/A,#N/A,#N/A,23.3,17.8,3.90,40.9
2014-06-30,#N/A,#N/A,#N/A,25.3,19.9,4.57,41.8
2014-07-01,#N/A,#N/A,#N/A,24.6,18.4,4.89,46.6
2014-07-02,#N/A,#N/A,#N/A,21.2,15.9,3.25,48.0
2014-07-03,#N/A,#N/A,#N/A,14.7,10.4,2.67,74.0
2014-07-04,#N/A,#N/A,#N/A,15.7,7.8,2.84,56.0
2014-07-05,#N/A,#N/A,#N/A,17.9,5.0,2.96,13.0
2014-07-06,#N/A,#N/A,#N/A,21.2,#N/A,4.42,68.7
2014-07-07,#N/A,#N/A,#N/A,23.1,17.4,4.15,59.9
2014-07-08,#N/A,#N/A,#N/A,18.1,#N/A,3.61,63.9
2014-07-09,#N/A,#N/A,#N/A,15.7,#N/A,2.56,82.7
2014-07-10,#N/A,#N/A,#N/A,14.6,9.3,1.49,56.2
2014-07-11,#N/A,#N/A,#N/A,17.1,#N/A,1.24,13.0
2014-07-12,#N/A,#N/A,#N/A,16.4,#N/A,1.37,36.2
2014-07-13,#N/A,#N/A,#N/A,22.4,17.3,4.68,61.2
2014-07-14,#N/A,#N/A,#N/A,17.7,#N/A,1.48,76.0
2014-07-15,#N/A,#N/A,#N/A,17.5,#N/A,3.58,64.0
2014-07-16,#N/A,#N/A,#N/A,14.8,#N/A,2.59,88.7
2014-07-17,#N/A,#N/A,#N/A,14.9,#N/A,1.87,41.5
2014-07-18,#N/A,#N/A,#N/A,16.7,#N/A,1.22,42.6
2014-07-19,#N/A,#N/A,#N/A,17.5,#N/A,2.42,69.2
2014-07-20,#N/A,#N/A,#N/A,20.7,#N/A,2.73,91.3
2014-07-21,#N/A,#N/A,#N/A,22.3,16.9,1.24,51.4
2014-07-22,#N/A,#N/A,#N/A,24.4,17.1,3.60,41.9
2014-07-23,#N/A,#N/A,#N/A,18.6,14.5,4.39,78.7
2014-07-24,#N/A,#N/A,#N/A,15.4,8.7,2.02,39.6
2014-07-25,#N/A,#N/A,#N/A,16.9,10.0,2.55,41.4
2014-07-26,#N/A,#N/A,#N/A,20.7,15.2,3.03,79.7
2014-07-27,#N/A,#N/A,#N/A,21.2,17.1,2.38,81.0
2014-07-28,#N/A,#N/A,#N/A,15.9,12.6,4.58,85.7
2014-07-29,#N/A,#N/A,#N/A,16.0,11.5,2.14,80.1
2014-07-30,#N/A,#N/A,#N/A,15.3,11.9,1.79,55.0
2014-07-31,#N/A,#N/A,#N/A,17.0,12.2,2.47,55.8
2014-08-01,#N/A,#N/A,#N/A,17.9,14.8,1.85,46.0
2014-08-02,#N/A,#N/A,#N/A,18.6,15.0,0.95,46.6
2014-08-03,#N/A,#N/A,#N/A,19.4,14.5,0.85,60.1
2014-08-04,#N/A,#N/A,#N/A,18.9,16.9,1.45,52.1
2014-08-05,#N/A,#N/A,#N/A,18.0,15.9,1.40,77.0
2014-08-06,#N/A,#N/A,#N/A,17.6,13.0,1.70,71.2
2014-08-07,#N/A,#N/A,#N/A,16.8,12.6,1.73,18.6
2014-08-08,#N/A,#N/A,#N/A,15.8,11.5,1.02,16.3
2014-08-09,#N/A,#N/A,#N/A,17.4,11.9,0.97,22.3
2014-08-10,#N/A,#N/A,#N/A,18.7,13.0,1.35,34.1
2014-08-11,#N/A,#N/A,#N/A,20.1,14.9,3.41,39.5
2014-08-12,#N/A,#N/A,#N/A,20.8,18.3,5.01,82.1
2014-08-13,#N/A,#N/A,#N/A,15.4,12.8,4.68,84.3
2014-08-14,#N/A,#N/A,#N/A,12.3,9.7,3.80,93.0
2014-08-15,#N/A,#N/A,#N/A,16.0,9.3,3.76,55.7
2014-08-16,#N/A,#N/A,#N/A,16.2,13.9,3.20,82.5
2014-08-17,#N/A,#N/A,#N/A,15.9,13.7,2.60,77.7
2014-08-18,#N/A,#N/A,#N/A,15.1,11.3,1.25,72.4
2014-08-19,#N/A,#N/A,#N/A,16.4,11.1,2.69,39.3
2014-08-20,#N/A,#N/A,#N/A,18.4,17.0,2.35,75.9
2014-08-21,#N/A,#N/A,#N/A,19.9,18.7,1.78,89.3
2014-08-22,#N/A,#N/A,#N/A,19.2,17.3,0.96,84.5
2014-08-23,#N/A,#N/A,#N/A,20.0,18.1,1.93,83.7
2014-08-24,#N/A,#N/A,#N/A,18.5,15.4,2.09,72.4
2014-08-25,#N/A,#N/A,#N/A,19.8,14.6,2.63,13.0
2014-08-26,#N/A,#N/A,#N/A,23.3,19.5,3.43,72.8
2014-08-27,#N/A,#N/A,#N/A,17.1,12.7,3.02,54.4
2014-08-28,#N/A,#N/A,#N/A,13.9,9.5,2.86,36.5
2014-08-29,#N/A,#N/A,#N/A,15.6,10.9,2.46,52.4
2014-08-30,#N/A,#N/A,#N/A,23.5,17.5,5.14,44.5
2014-08-31,#N/A,#N/A,#N/A,22.6,18.6,3.08,47.1
2014-09-01,#N/A,#N/A,#N/A,20.6,19.3,3.03,67.5
2014-09-02,#N/A,#N/A,#N/A,19.4,18.7,1.38,67.6
2014-09-03,#N/A,#N/A,#N/A,17.9,14.2,1.33,22.3
2014-09-04,#N/A,#N/A,#N/A,21.4,16.0,3.58,28.6
2014-09-05,#N/A,#N/A,#N/A,23.4,20.2,3.97,74.5
2014-09-06,#N/A,#N/A,#N/A,16.5,13.3,3.05,82.6
2014-09-07,#N/A,#N/A,#N/A,14.7,10.2,1.59,32.8
2014-09-08,#N/A,#N/A,#N/A,15.2,10.2,2.35,#N/A
2014-09-09,#N/A,#N/A,#N/A,17.2,15.0,2.82,56.9
2014-09-10,#N/A,#N/A,#N/A,18.4,17.7,3.97,88.5
2014-09-11,#N/A,#N/A,#N/A,14.0,11.3,4.86,94.5
2014-09-12,#N/A,#N/A,#N/A,10.3,7.5,1.54,86.6
2014-09-13,#N/A,#N/A,#N/A,9.0,8.0,1.84,93.7
2014-09-14,#N/A,#N/A,#N/A,10.6,7.1,1.43,96.4
2014-09-15,#N/A,#N/A,#N/A,12.5,9.6,2.18,85.0
2014-09-16,#N/A,#N/A,#N/A,10.8,7.3,2.40,47.7
2014-09-17,#N/A,#N/A,#N/A,11.9,8.5,1.95,56.4
2014-09-18,#N/A,#N/A,#N/A,9.7,7.0,2.49,84.9
2014-09-19,#N/A,#N/A,#N/A,8.7,4.7,2.93,64.5
2014-09-20,#N/A,#N/A,#N/A,16.1,13.3,4.03,54.6
2014-09-21,#N/A,#N/A,#N/A,17.4,17.3,4.76,82.9
2014-09-22,#N/A,#N/A,#N/A,9.6,7.4,3.44,83.7
2014-09-23,#N/A,#N/A,#N/A,#N/A,#N/A,2.42,45.6
2014-09-24,#N/A,#N/A,#N/A,#N/A,#N/A,1.94,71.9
2014-09-25,#N/A,#N/A,#N/A,8.0,8.0,1.61,61.0
2014-09-26,#N/A,#N/A,#N/A,14.4,11.2,1.07,94.8
2014-09-27,#N/A,#N/A,#N/A,13.7,10.5,1.02,69.4
2014-09-28,#N/A,#N/A,#N/A,14.7,11.5,0.80,69.0
2014-09-29,#N/A,#N/A,#N/A,16.0,12.4,1.10,44.3
