Daily data for a single station.
StationID:,715380-99999
StationName:,"WINDSOR"
Lat&Long:,42.276,-82.950
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-9.5,-11.1,4.84,100.0
2014-01-02,#N/A,#N/A,#N/A,-11.2,-13.1,8.66,96.1
2014-01-03,#N/A,#N/A,#N/A,-13.8,-19.3,5.17,43.1
2014-01-04,#N/A,#N/A,#N/A,-5.2,-10.2,7.20,55.1
2014-01-05,#N/A,#N/A,#N/A,-1.2,-1.8,3.16,100.0
2014-01-06,#N/A,#N/A,#N/A,-14.9,-19.0,9.99,59.3
2014-01-07,#N/A,#N/A,#N/A,-21.5,-26.9,8.85,44.2
2014-01-08,#N/A,#N/A,#N/A,-13.4,-16.9,3.89,51.8
2014-01-09,#N/A,#N/A,#N/A,-11.9,-13.1,1.52,47.8
2014-01-10,#N/A,#N/A,#N/A,0.8,0.7,3.41,100.0
2014-01-11,#N/A,#N/A,#N/A,4.2,3.3,6.41,100.0
2014-01-12,#N/A,#N/A,#N/A,1.5,-1.6,7.14,79.7
2014-01-13,#N/A,#N/A,#N/A,4.6,1.5,6.46,76.0
2014-01-14,#N/A,#N/A,#N/A,1.6,-1.4,4.91,52.9
2014-01-15,#N/A,#N/A,#N/A,-2.8,-7.7,6.93,79.0
2014-01-16,#N/A,#N/A,#N/A,-4.8,-7.2,6.87,86.9
2014-01-17,#N/A,#N/A,#N/A,-2.6,-5.4,5.01,88.8
2014-01-18,#N/A,#N/A,#N/A,-9.4,-11.5,3.11,77.9
2014-01-19,#N/A,#N/A,#N/A,-5.6,-8.1,6.49,78.3
2014-01-20,#N/A,#N/A,#N/A,-4.5,-8.0,5.11,93.5
2014-01-21,#N/A,#N/A,#N/A,-13.2,-19.0,4.95,58.7
2014-01-22,#N/A,#N/A,#N/A,-14.5,-18.7,3.71,81.0
2014-01-23,#N/A,#N/A,#N/A,-12.2,-15.0,3.95,69.2
2014-01-24,#N/A,#N/A,#N/A,-13.9,-17.9,9.71,77.3
2014-01-25,#N/A,#N/A,#N/A,-7.5,-10.7,8.10,78.7
2014-01-26,#N/A,#N/A,#N/A,-10.3,-12.7,4.89,84.2
2014-01-27,#N/A,#N/A,#N/A,-12.1,-18.3,7.82,44.5
2014-01-28,#N/A,#N/A,#N/A,-18.3,-24.1,6.42,12.4
2014-01-29,#N/A,#N/A,#N/A,-13.9,-20.2,7.75,12.7
2014-01-30,#N/A,#N/A,#N/A,-7.9,-13.4,8.35,81.6
2014-01-31,#N/A,#N/A,#N/A,-0.5,-4.3,4.19,95.2
2014-02-01,#N/A,#N/A,#N/A,-0.5,-0.5,2.82,100.0
2014-02-02,#N/A,#N/A,#N/A,-3.9,-6.6,3.21,93.6
2014-02-03,#N/A,#N/A,#N/A,-7.6,-10.9,2.67,35.0
2014-02-04,#N/A,#N/A,#N/A,-8.4,-10.6,2.16,76.1
2014-02-05,#N/A,#N/A,#N/A,-6.8,-8.9,7.18,63.0
2014-02-06,#N/A,#N/A,#N/A,-11.4,-14.0,5.17,65.8
2014-02-07,#N/A,#N/A,#N/A,-15.7,-20.7,6.59,60.0
2014-02-08,#N/A,#N/A,#N/A,-12.1,-15.5,3.65,81.6
2014-02-09,#N/A,#N/A,#N/A,-8.5,-10.8,2.42,86.3
2014-02-10,#N/A,#N/A,#N/A,-8.3,-12.5,4.07,62.7
