Daily data for a single station.
StationID:,715730-99999
StationName:,"DELHI CS  ONT"
Lat&Long:,42.867,-80.550
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-10.2,-14.4,1.90,#N/A
2014-01-02,#N/A,#N/A,#N/A,-15.2,-18.5,2.83,#N/A
2014-01-03,#N/A,#N/A,#N/A,-16.6,-20.6,1.70,#N/A
2014-01-04,#N/A,#N/A,#N/A,-4.1,-10.2,4.77,#N/A
2014-01-05,#N/A,#N/A,#N/A,-0.8,-3.3,1.11,#N/A
2014-01-06,#N/A,#N/A,#N/A,-12.0,-15.0,4.74,#N/A
2014-01-07,#N/A,#N/A,#N/A,-19.9,-23.8,4.67,#N/A
2014-01-08,#N/A,#N/A,#N/A,-12.0,-15.5,2.40,#N/A
2014-01-09,#N/A,#N/A,#N/A,-12.6,-15.5,0.78,#N/A
2014-01-10,#N/A,#N/A,#N/A,-0.8,-1.8,1.50,#N/A
2014-01-11,#N/A,#N/A,#N/A,4.6,3.5,3.63,#N/A
2014-01-12,#N/A,#N/A,#N/A,0.6,-2.4,3.79,#N/A
2014-01-13,#N/A,#N/A,#N/A,4.4,0.2,3.85,#N/A
2014-01-14,#N/A,#N/A,#N/A,1.0,-1.6,1.45,#N/A
2014-01-15,#N/A,#N/A,#N/A,-2.6,-6.3,3.87,#N/A
2014-01-16,#N/A,#N/A,#N/A,-4.4,-7.7,3.20,#N/A
2014-01-17,#N/A,#N/A,#N/A,-2.1,-5.0,2.67,#N/A
2014-01-18,#N/A,#N/A,#N/A,-8.5,-11.0,2.76,#N/A
2014-01-19,#N/A,#N/A,#N/A,-6.4,-8.9,3.98,#N/A
2014-01-20,#N/A,#N/A,#N/A,-6.8,-11.0,3.79,#N/A
2014-01-21,#N/A,#N/A,#N/A,-16.5,-22.4,1.60,#N/A
2014-01-22,#N/A,#N/A,#N/A,-17.3,-20.8,1.06,#N/A
2014-01-23,#N/A,#N/A,#N/A,-14.2,-17.7,1.76,#N/A
2014-01-24,#N/A,#N/A,#N/A,-14.2,-18.0,4.67,#N/A
2014-01-25,#N/A,#N/A,#N/A,-9.1,-11.9,5.32,#N/A
2014-01-26,#N/A,#N/A,#N/A,-13.0,-16.4,2.89,#N/A
2014-01-27,#N/A,#N/A,#N/A,-13.0,-17.7,3.59,#N/A
2014-01-28,#N/A,#N/A,#N/A,-17.5,-21.7,3.24,#N/A
2014-01-29,#N/A,#N/A,#N/A,-13.7,-18.4,4.10,#N/A
2014-01-30,#N/A,#N/A,#N/A,-8.4,-15.9,4.29,#N/A
2014-01-31,#N/A,#N/A,#N/A,-1.4,-5.6,3.01,#N/A
2014-02-01,#N/A,#N/A,#N/A,-1.1,-2.1,2.02,#N/A
2014-02-02,#N/A,#N/A,#N/A,-4.2,-6.3,1.04,#N/A
2014-02-03,#N/A,#N/A,#N/A,-10.5,-13.6,1.05,#N/A
2014-02-04,#N/A,#N/A,#N/A,-11.6,-14.6,0.50,#N/A
2014-02-05,#N/A,#N/A,#N/A,-7.9,-10.3,3.25,#N/A
2014-02-06,#N/A,#N/A,#N/A,-11.5,-14.4,2.55,#N/A
2014-02-07,#N/A,#N/A,#N/A,-13.4,-16.9,3.72,#N/A
2014-02-08,#N/A,#N/A,#N/A,-13.3,-16.6,1.61,#N/A
2014-02-09,#N/A,#N/A,#N/A,-11.1,-13.2,0.97,#N/A
2014-02-10,#N/A,#N/A,#N/A,-13.2,-16.1,1.63,#N/A
2014-02-11,#N/A,#N/A,#N/A,-14.7,-18.2,1.35,#N/A
2014-02-12,#N/A,#N/A,#N/A,-18.5,-22.6,0.46,#N/A
2014-02-13,#N/A,#N/A,#N/A,-11.4,-15.2,0.75,#N/A
2014-02-14,#N/A,#N/A,#N/A,-5.1,-7.3,1.47,#N/A
2014-02-15,#N/A,#N/A,#N/A,-9.2,-12.4,2.59,#N/A
2014-02-16,#N/A,#N/A,#N/A,-13.6,-16.6,1.16,#N/A
2014-02-17,#N/A,#N/A,#N/A,-15.0,-20.2,1.48,#N/A
2014-02-18,#N/A,#N/A,#N/A,-4.4,-7.3,3.46,#N/A
2014-02-19,#N/A,#N/A,#N/A,0.5,-3.8,2.43,#N/A
2014-02-20,#N/A,#N/A,#N/A,-1.1,-2.5,1.51,#N/A
2014-02-21,#N/A,#N/A,#N/A,1.6,-1.9,5.40,#N/A
2014-02-22,#N/A,#N/A,#N/A,1.0,-6.0,5.27,#N/A
2014-02-23,#N/A,#N/A,#N/A,-2.5,-9.6,2.60,#N/A
2014-02-24,#N/A,#N/A,#N/A,-7.1,-11.3,3.52,#N/A
2014-02-25,#N/A,#N/A,#N/A,-9.1,-13.4,2.85,#N/A
2014-02-26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-27,#N/A,#N/A,#N/A,-13.1,-19.2,4.21,#N/A
2014-02-28,#N/A,#N/A,#N/A,-16.4,-22.4,1.07,#N/A
2014-03-01,#N/A,#N/A,#N/A,-7.2,-12.5,2.40,#N/A
2014-03-02,#N/A,#N/A,#N/A,-13.6,-19.3,3.01,#N/A
2014-03-03,#N/A,#N/A,#N/A,-18.1,-23.4,1.80,#N/A
2014-03-04,#N/A,#N/A,#N/A,-13.8,-17.6,1.17,#N/A
2014-03-05,#N/A,#N/A,#N/A,-10.6,-15.0,1.34,#N/A
2014-03-06,#N/A,#N/A,#N/A,-11.1,-17.1,0.94,#N/A
2014-03-07,#N/A,#N/A,#N/A,-5.9,-11.0,1.20,#N/A
2014-03-08,#N/A,#N/A,#N/A,-3.1,-6.9,2.91,#N/A
2014-03-09,#N/A,#N/A,#N/A,-10.8,-12.7,1.40,#N/A
2014-03-10,#N/A,#N/A,#N/A,4.1,-0.6,4.06,#N/A
