Daily data for a single station.
StationID:,716200-99999
StationName:,"KINGSTON"
Lat&Long:,44.225,-76.590
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-15.8,-21.9,4.57,69.9
2014-01-02,#N/A,#N/A,#N/A,-22.6,-27.6,8.61,100.0
2014-01-03,#N/A,#N/A,#N/A,-21.8,-28.4,2.64,18.1
2014-01-04,#N/A,#N/A,#N/A,-2.8,-7.7,10.24,69.7
2014-01-05,#N/A,#N/A,#N/A,-0.8,-4.7,4.75,98.3
2014-01-06,#N/A,#N/A,#N/A,-4.2,-8.1,9.77,89.6
2014-01-07,#N/A,#N/A,#N/A,-14.2,-20.1,9.78,41.4
2014-01-08,#N/A,#N/A,#N/A,-9.9,-16.4,4.51,50.1
2014-01-09,#N/A,#N/A,#N/A,-7.3,-12.4,3.34,50.6
2014-01-10,#N/A,#N/A,#N/A,-0.1,-1.4,4.35,96.6
2014-01-11,#N/A,#N/A,#N/A,3.9,3.5,6.55,100.0
2014-01-12,#N/A,#N/A,#N/A,1.8,-1.5,6.12,86.8
2014-01-13,#N/A,#N/A,#N/A,2.4,-0.8,6.78,89.4
2014-01-14,#N/A,#N/A,#N/A,1.6,-0.7,2.47,53.9
2014-01-15,#N/A,#N/A,#N/A,-0.6,-4.3,5.55,84.5
2014-01-16,#N/A,#N/A,#N/A,-3.4,-7.1,2.69,82.8
2014-01-17,#N/A,#N/A,#N/A,-0.6,-3.2,5.15,72.0
2014-01-18,#N/A,#N/A,#N/A,-3.0,-4.5,3.70,100.0
2014-01-19,#N/A,#N/A,#N/A,-3.7,-5.6,9.54,97.3
2014-01-20,#N/A,#N/A,#N/A,-14.5,-19.0,3.89,65.1
2014-01-21,#N/A,#N/A,#N/A,-22.7,-28.1,3.10,39.2
2014-01-22,#N/A,#N/A,#N/A,-22.1,-27.2,2.88,54.6
2014-01-23,#N/A,#N/A,#N/A,-18.8,-24.4,2.48,71.3
2014-01-24,#N/A,#N/A,#N/A,-13.6,-18.0,8.17,74.2
2014-01-25,#N/A,#N/A,#N/A,-7.1,-10.0,9.87,92.6
2014-01-26,#N/A,#N/A,#N/A,-14.2,-17.6,4.41,77.2
2014-01-27,#N/A,#N/A,#N/A,-11.1,-18.1,7.21,47.7
2014-01-28,#N/A,#N/A,#N/A,-13.3,-17.1,7.06,61.7
2014-01-29,#N/A,#N/A,#N/A,-11.8,-16.1,6.22,71.4
2014-01-30,#N/A,#N/A,#N/A,-5.9,-10.0,7.15,78.4
2014-01-31,#N/A,#N/A,#N/A,-1.3,-6.0,4.30,87.1
2014-02-01,#N/A,#N/A,#N/A,-1.5,-3.0,4.39,100.0
2014-02-02,#N/A,#N/A,#N/A,-2.1,-4.8,3.36,94.8
2014-02-03,#N/A,#N/A,#N/A,-7.1,-10.2,2.69,62.0
2014-02-04,#N/A,#N/A,#N/A,-9.6,-13.1,1.36,87.9
2014-02-05,#N/A,#N/A,#N/A,-9.6,-12.3,7.34,85.1
2014-02-06,#N/A,#N/A,#N/A,-13.4,-16.3,3.43,60.0
2014-02-07,#N/A,#N/A,#N/A,-10.1,-13.8,6.77,78.3
2014-02-08,#N/A,#N/A,#N/A,-9.0,-12.9,3.16,75.3
2014-02-09,#N/A,#N/A,#N/A,-11.0,-12.9,2.35,90.8
2014-02-10,#N/A,#N/A,#N/A,-11.4,-16.1,3.66,47.7
2014-02-11,#N/A,#N/A,#N/A,-15.9,-19.4,2.40,28.4
2014-02-12,#N/A,#N/A,#N/A,-13.4,-17.3,3.20,53.1
2014-02-13,#N/A,#N/A,#N/A,-6.9,-11.9,5.36,96.6
2014-02-14,#N/A,#N/A,#N/A,-4.8,-9.0,3.95,63.5
2014-02-15,#N/A,#N/A,#N/A,-4.8,-9.9,3.10,68.7
2014-02-16,#N/A,#N/A,#N/A,-12.4,-19.2,3.57,48.9
2014-02-17,#N/A,#N/A,#N/A,-15.6,-22.3,2.89,39.8
2014-02-18,#N/A,#N/A,#N/A,-3.4,-5.2,6.83,92.3
