Daily data for a single station.
StationID:,716210-99999
StationName:,"TRENTON"
Lat&Long:,44.117,-77.530
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-14.1,-19.4,2.69,63.4
2014-01-02,#N/A,#N/A,#N/A,-21.0,-25.5,7.09,99.7
2014-01-03,#N/A,#N/A,#N/A,-21.8,-28.6,2.97,48.7
2014-01-04,#N/A,#N/A,#N/A,-5.1,-12.4,5.99,80.8
2014-01-05,#N/A,#N/A,#N/A,-0.6,-3.4,2.63,100.0
2014-01-06,#N/A,#N/A,#N/A,-2.9,-6.7,8.61,85.2
2014-01-07,#N/A,#N/A,#N/A,-14.7,-20.2,11.54,52.2
2014-01-08,#N/A,#N/A,#N/A,-11.0,-16.9,7.44,20.6
2014-01-09,#N/A,#N/A,#N/A,-9.0,-12.8,1.97,34.9
2014-01-10,#N/A,#N/A,#N/A,-2.3,-4.5,1.48,98.7
2014-01-11,#N/A,#N/A,#N/A,4.9,3.7,4.00,97.2
2014-01-12,#N/A,#N/A,#N/A,2.3,-2.0,6.10,91.2
2014-01-13,#N/A,#N/A,#N/A,3.7,-0.7,3.56,69.5
2014-01-14,#N/A,#N/A,#N/A,2.2,-0.9,2.69,66.7
2014-01-15,#N/A,#N/A,#N/A,-0.7,-5.0,5.33,84.9
2014-01-16,#N/A,#N/A,#N/A,-3.1,-8.4,1.93,78.4
2014-01-17,#N/A,#N/A,#N/A,-1.5,-4.4,3.11,76.5
2014-01-18,#N/A,#N/A,#N/A,-3.5,-6.3,3.15,90.0
2014-01-19,#N/A,#N/A,#N/A,-3.8,-6.7,7.24,97.4
2014-01-20,#N/A,#N/A,#N/A,-9.7,-14.4,3.87,75.4
2014-01-21,#N/A,#N/A,#N/A,-23.2,-29.3,1.64,25.6
2014-01-22,#N/A,#N/A,#N/A,-23.2,-29.6,1.45,49.8
2014-01-23,#N/A,#N/A,#N/A,-18.3,-25.6,2.65,69.0
2014-01-24,#N/A,#N/A,#N/A,-15.7,-20.8,5.46,81.2
2014-01-25,#N/A,#N/A,#N/A,-7.3,-10.9,8.74,87.4
2014-01-26,#N/A,#N/A,#N/A,-16.3,-21.2,2.51,80.3
2014-01-27,#N/A,#N/A,#N/A,-9.8,-14.5,6.61,39.5
2014-01-28,#N/A,#N/A,#N/A,-14.0,-17.3,6.18,43.9
2014-01-29,#N/A,#N/A,#N/A,-11.8,-14.6,6.02,80.6
2014-01-30,#N/A,#N/A,#N/A,-5.2,-11.4,5.26,73.9
2014-01-31,#N/A,#N/A,#N/A,-1.8,-5.9,5.69,93.0
2014-02-01,#N/A,#N/A,#N/A,-3.0,-4.3,1.95,97.9
2014-02-02,#N/A,#N/A,#N/A,-1.7,-4.2,3.65,91.9
2014-02-03,#N/A,#N/A,#N/A,-8.8,-12.3,2.92,56.7
2014-02-04,#N/A,#N/A,#N/A,-11.2,-14.1,0.83,68.2
2014-02-05,#N/A,#N/A,#N/A,-9.1,-10.8,5.01,86.9
2014-02-06,#N/A,#N/A,#N/A,-13.6,-16.1,2.70,65.8
2014-02-07,#N/A,#N/A,#N/A,-9.7,-13.2,6.32,89.5
2014-02-08,#N/A,#N/A,#N/A,-10.0,-13.6,3.88,74.4
2014-02-09,#N/A,#N/A,#N/A,-12.0,-13.8,1.89,78.6
2014-02-10,#N/A,#N/A,#N/A,-11.8,-15.0,3.29,40.3
2014-02-11,#N/A,#N/A,#N/A,-13.7,-18.8,2.61,23.9
2014-02-12,#N/A,#N/A,#N/A,-16.1,-19.5,1.76,59.0
2014-02-13,#N/A,#N/A,#N/A,-10.9,-14.2,2.70,95.4
2014-02-14,#N/A,#N/A,#N/A,-3.3,-9.6,4.50,63.4
2014-02-15,#N/A,#N/A,#N/A,-5.0,-10.1,3.67,68.5
2014-02-16,#N/A,#N/A,#N/A,-11.9,-18.4,2.67,62.1
2014-02-17,#N/A,#N/A,#N/A,-13.8,-22.7,2.05,72.8
2014-02-18,#N/A,#N/A,#N/A,-3.7,-5.9,5.17,84.4
2014-02-19,#N/A,#N/A,#N/A,0.8,-3.2,3.60,67.2
2014-02-20,#N/A,#N/A,#N/A,-0.6,-1.9,2.07,97.6
2014-02-21,#N/A,#N/A,#N/A,2.6,0.5,6.21,76.5
2014-02-22,#N/A,#N/A,#N/A,2.1,-4.6,9.32,21.1
2014-02-23,#N/A,#N/A,#N/A,-1.9,-8.9,5.83,41.0
2014-02-24,#N/A,#N/A,#N/A,-7.4,-12.7,6.05,65.6
2014-02-25,#N/A,#N/A,#N/A,-9.4,-14.1,4.31,58.5
2014-02-26,#N/A,#N/A,#N/A,-12.2,-18.2,5.56,47.4
2014-02-27,#N/A,#N/A,#N/A,-11.5,-17.2,7.11,67.9
2014-02-28,#N/A,#N/A,#N/A,-15.2,-21.6,2.76,33.2
2014-03-01,#N/A,#N/A,#N/A,-7.2,-11.4,3.45,88.6
2014-03-02,#N/A,#N/A,#N/A,-10.9,-16.1,3.53,82.7
2014-03-03,#N/A,#N/A,#N/A,-15.8,-24.8,3.59,12.1
2014-03-04,#N/A,#N/A,#N/A,-12.8,-17.2,1.34,88.4
2014-03-05,#N/A,#N/A,#N/A,-10.5,-14.8,2.67,45.7
2014-03-06,#N/A,#N/A,#N/A,-14.5,-23.6,1.92,11.7
2014-03-07,#N/A,#N/A,#N/A,-7.7,-13.2,1.80,25.2
2014-03-08,#N/A,#N/A,#N/A,-2.2,-6.6,1.98,70.7
2014-03-09,#N/A,#N/A,#N/A,-5.6,-11.1,4.41,63.6
2014-03-10,#N/A,#N/A,#N/A,1.6,-1.4,3.30,77.7
2014-03-11,#N/A,#N/A,#N/A,4.5,-0.7,3.53,66.7
2014-03-12,#N/A,#N/A,#N/A,-5.0,-8.2,7.33,99.1
2014-03-13,#N/A,#N/A,#N/A,-11.9,-21.0,5.73,59.0
2014-03-14,#N/A,#N/A,#N/A,0.0,-6.0,3.83,83.4
2014-03-15,#N/A,#N/A,#N/A,0.9,-3.3,6.73,61.5
2014-03-16,#N/A,#N/A,#N/A,-10.2,-18.3,3.90,12.4
2014-03-17,#N/A,#N/A,#N/A,-10.8,-19.6,2.28,46.8
2014-03-18,#N/A,#N/A,#N/A,-4.2,-13.8,3.65,40.0
2014-03-19,#N/A,#N/A,#N/A,1.3,-4.5,4.58,88.4
2014-03-20,#N/A,#N/A,#N/A,1.7,-0.9,7.98,95.5
2014-03-21,#N/A,#N/A,#N/A,-0.2,-4.9,4.27,55.6
2014-03-22,#N/A,#N/A,#N/A,0.3,-3.7,5.55,79.6
2014-03-23,#N/A,#N/A,#N/A,-6.9,-14.4,4.82,41.0
2014-03-24,#N/A,#N/A,#N/A,-7.9,-14.7,3.62,23.7
2014-03-25,#N/A,#N/A,#N/A,-5.7,-10.4,3.38,53.8
2014-03-26,#N/A,#N/A,#N/A,-7.6,-15.8,5.49,12.1
2014-03-27,#N/A,#N/A,#N/A,-3.7,-10.6,3.06,84.5
2014-03-28,#N/A,#N/A,#N/A,3.9,1.9,3.90,98.5
2014-03-29,#N/A,#N/A,#N/A,2.1,-1.9,5.65,100.0
2014-03-30,#N/A,#N/A,#N/A,2.4,-1.9,6.02,65.2
2014-03-31,#N/A,#N/A,#N/A,2.5,-2.3,1.89,13.0
2014-04-01,#N/A,#N/A,#N/A,2.4,-2.2,3.16,62.4
2014-04-02,#N/A,#N/A,#N/A,3.0,-2.5,5.53,56.9
2014-04-03,#N/A,#N/A,#N/A,0.7,-4.9,2.79,70.6
2014-04-04,#N/A,#N/A,#N/A,2.8,-0.7,4.77,93.0
2014-04-05,#N/A,#N/A,#N/A,2.0,-2.3,8.32,87.8
2014-04-06,#N/A,#N/A,#N/A,1.7,-4.0,3.12,43.5
2014-04-07,#N/A,#N/A,#N/A,3.7,-0.9,3.36,81.8
2014-04-08,#N/A,#N/A,#N/A,4.7,3.6,3.84,80.5
2014-04-09,#N/A,#N/A,#N/A,4.1,-3.5,3.55,23.4
2014-04-10,#N/A,#N/A,#N/A,7.8,2.1,5.03,81.9
2014-04-11,#N/A,#N/A,#N/A,7.6,0.5,3.16,43.6
2014-04-12,#N/A,#N/A,#N/A,8.6,1.8,2.70,67.8
2014-04-13,#N/A,#N/A,#N/A,11.7,7.9,2.64,84.9
2014-04-14,#N/A,#N/A,#N/A,12.8,9.7,4.54,85.6
2014-04-15,#N/A,#N/A,#N/A,1.1,-1.8,5.45,85.1
2014-04-16,#N/A,#N/A,#N/A,-2.2,-8.3,3.55,37.7
2014-04-17,#N/A,#N/A,#N/A,3.2,-4.6,2.94,63.7
2014-04-18,#N/A,#N/A,#N/A,6.6,1.0,3.12,68.5
2014-04-19,#N/A,#N/A,#N/A,4.8,-0.8,2.90,18.6
2014-04-20,#N/A,#N/A,#N/A,7.2,-1.5,1.47,57.2
2014-04-21,#N/A,#N/A,#N/A,11.1,1.8,2.25,75.5
2014-04-22,#N/A,#N/A,#N/A,9.0,6.1,3.31,91.7
2014-04-23,#N/A,#N/A,#N/A,6.9,-1.9,5.54,71.2
2014-04-24,#N/A,#N/A,#N/A,5.7,-5.2,4.00,23.0
2014-04-25,#N/A,#N/A,#N/A,7.8,-3.6,4.43,84.9
2014-04-26,#N/A,#N/A,#N/A,7.1,3.1,3.82,75.8
2014-04-27,#N/A,#N/A,#N/A,7.7,0.9,3.19,67.6
2014-04-28,#N/A,#N/A,#N/A,9.8,-0.5,3.15,35.0
2014-04-29,#N/A,#N/A,#N/A,8.6,5.4,5.65,89.4
2014-04-30,#N/A,#N/A,#N/A,7.2,6.1,4.33,100.0
2014-05-01,#N/A,#N/A,#N/A,10.2,7.1,4.82,81.3
2014-05-02,#N/A,#N/A,#N/A,9.0,5.7,5.23,80.0
2014-05-03,#N/A,#N/A,#N/A,9.2,7.1,3.91,79.3
2014-05-04,#N/A,#N/A,#N/A,8.4,4.2,7.10,74.6
2014-05-05,#N/A,#N/A,#N/A,9.1,2.0,3.75,43.4
2014-05-06,#N/A,#N/A,#N/A,9.7,0.9,3.31,41.4
2014-05-07,#N/A,#N/A,#N/A,9.2,-0.6,2.20,59.6
2014-05-08,#N/A,#N/A,#N/A,15.3,1.4,3.60,78.8
2014-05-09,#N/A,#N/A,#N/A,17.5,11.4,2.71,81.2
2014-05-10,#N/A,#N/A,#N/A,15.4,9.1,5.89,66.3
2014-05-11,#N/A,#N/A,#N/A,13.5,4.7,4.10,23.2
2014-05-12,#N/A,#N/A,#N/A,17.1,7.3,1.84,61.7
2014-05-13,#N/A,#N/A,#N/A,17.8,11.4,3.28,75.3
2014-05-14,#N/A,#N/A,#N/A,18.3,16.8,2.37,87.0
2014-05-15,#N/A,#N/A,#N/A,19.5,15.9,3.83,66.3
2014-05-16,#N/A,#N/A,#N/A,10.7,8.8,3.70,88.6
2014-05-17,#N/A,#N/A,#N/A,7.7,3.0,4.35,35.7
2014-05-18,#N/A,#N/A,#N/A,8.7,3.3,2.22,21.2
2014-05-19,#N/A,#N/A,#N/A,11.0,6.5,2.47,55.6
2014-05-20,#N/A,#N/A,#N/A,13.7,7.9,1.89,66.6
2014-05-21,#N/A,#N/A,#N/A,16.0,11.4,2.16,43.1
2014-05-22,#N/A,#N/A,#N/A,16.0,13.0,2.37,67.1
2014-05-23,#N/A,#N/A,#N/A,13.3,12.1,2.49,76.6
2014-05-24,#N/A,#N/A,#N/A,15.0,11.2,2.95,21.9
2014-05-25,#N/A,#N/A,#N/A,18.8,8.2,4.36,62.5
2014-05-26,#N/A,#N/A,#N/A,19.7,11.7,4.33,67.3
2014-05-27,#N/A,#N/A,#N/A,20.7,15.6,3.77,57.3
2014-05-28,#N/A,#N/A,#N/A,14.9,10.6,4.11,79.8
2014-05-29,#N/A,#N/A,#N/A,15.4,10.8,2.21,73.4
2014-05-30,#N/A,#N/A,#N/A,17.3,10.1,2.77,36.5
2014-05-31,#N/A,#N/A,#N/A,15.9,6.7,2.59,27.9
2014-06-01,#N/A,#N/A,#N/A,16.7,9.2,1.55,35.7
2014-06-02,#N/A,#N/A,#N/A,20.2,14.9,3.08,47.3
2014-06-03,#N/A,#N/A,#N/A,19.0,16.6,3.93,69.0
2014-06-04,#N/A,#N/A,#N/A,16.8,9.9,4.73,49.0
2014-06-05,#N/A,#N/A,#N/A,14.9,10.5,2.59,75.0
2014-06-06,#N/A,#N/A,#N/A,15.1,11.0,3.19,28.1
2014-06-07,#N/A,#N/A,#N/A,18.3,10.0,2.51,21.1
2014-06-08,#N/A,#N/A,#N/A,17.6,12.3,1.83,75.5
2014-06-09,#N/A,#N/A,#N/A,21.6,14.6,3.41,72.8
2014-06-10,#N/A,#N/A,#N/A,21.5,13.9,2.53,72.3
2014-06-11,#N/A,#N/A,#N/A,18.6,16.3,3.43,95.5
2014-06-12,#N/A,#N/A,#N/A,18.9,17.6,2.85,94.8
2014-06-13,#N/A,#N/A,#N/A,19.2,15.8,3.32,82.8
2014-06-14,#N/A,#N/A,#N/A,15.0,10.3,4.21,64.4
2014-06-15,#N/A,#N/A,#N/A,15.5,10.3,2.34,65.5
2014-06-16,#N/A,#N/A,#N/A,16.6,14.6,1.61,62.0
2014-06-17,#N/A,#N/A,#N/A,19.9,17.7,2.78,71.7
2014-06-18,#N/A,#N/A,#N/A,21.2,17.3,3.26,71.9
2014-06-19,#N/A,#N/A,#N/A,19.2,9.7,2.97,31.0
2014-06-20,#N/A,#N/A,#N/A,16.7,8.7,2.20,65.0
2014-06-21,#N/A,#N/A,#N/A,17.2,10.2,2.34,42.2
2014-06-22,#N/A,#N/A,#N/A,17.6,11.1,1.95,13.8
2014-06-23,#N/A,#N/A,#N/A,19.9,14.9,1.80,86.6
2014-06-24,#N/A,#N/A,#N/A,21.9,19.7,2.74,89.5
2014-06-25,#N/A,#N/A,#N/A,21.0,19.0,2.92,94.1
2014-06-26,#N/A,#N/A,#N/A,20.7,17.0,1.79,58.0
2014-06-27,#N/A,#N/A,#N/A,20.9,15.4,1.28,17.2
2014-06-28,#N/A,#N/A,#N/A,22.4,16.7,1.77,63.9
2014-06-29,#N/A,#N/A,#N/A,24.8,20.2,2.17,43.2
2014-06-30,#N/A,#N/A,#N/A,24.2,21.4,3.15,66.7
2014-07-01,#N/A,#N/A,#N/A,25.5,20.4,4.60,63.5
2014-07-02,#N/A,#N/A,#N/A,23.4,19.4,3.75,42.8
2014-07-03,#N/A,#N/A,#N/A,19.1,16.5,2.40,62.4
2014-07-04,#N/A,#N/A,#N/A,17.6,11.2,3.66,44.4
2014-07-05,#N/A,#N/A,#N/A,20.4,11.5,5.04,16.3
2014-07-06,#N/A,#N/A,#N/A,21.1,14.4,4.80,45.0
2014-07-07,#N/A,#N/A,#N/A,21.2,18.4,4.21,75.2
2014-07-08,#N/A,#N/A,#N/A,20.7,19.4,3.86,72.5
2014-07-09,#N/A,#N/A,#N/A,17.6,12.6,4.44,33.0
2014-07-10,#N/A,#N/A,#N/A,16.8,11.2,2.53,13.1
2014-07-11,#N/A,#N/A,#N/A,18.0,12.4,1.50,26.4
2014-07-12,#N/A,#N/A,#N/A,14.1,12.6,1.07,57.3
2014-07-13,#N/A,#N/A,#N/A,22.2,18.3,3.90,68.7
2014-07-14,#N/A,#N/A,#N/A,19.2,12.7,1.24,70.4
2014-07-15,#N/A,#N/A,#N/A,19.4,15.7,3.17,49.0
2014-07-16,#N/A,#N/A,#N/A,17.4,13.1,3.98,46.9
2014-07-17,#N/A,#N/A,#N/A,17.1,11.9,3.21,22.9
2014-07-18,#N/A,#N/A,#N/A,17.8,12.6,2.19,20.2
2014-07-19,#N/A,#N/A,#N/A,18.9,14.9,1.97,82.8
2014-07-20,#N/A,#N/A,#N/A,20.6,17.4,1.93,68.8
2014-07-21,#N/A,#N/A,#N/A,21.4,17.7,2.09,36.8
2014-07-22,#N/A,#N/A,#N/A,22.7,18.3,2.14,17.0
2014-07-23,#N/A,#N/A,#N/A,22.4,17.4,4.14,64.4
2014-07-24,#N/A,#N/A,#N/A,17.8,11.2,3.45,24.1
2014-07-25,#N/A,#N/A,#N/A,19.2,12.4,3.99,34.6
2014-07-26,#N/A,#N/A,#N/A,21.0,15.3,3.04,59.7
2014-07-27,#N/A,#N/A,#N/A,21.6,17.9,3.37,72.7
2014-07-28,#N/A,#N/A,#N/A,16.7,14.0,4.92,89.5
2014-07-29,#N/A,#N/A,#N/A,16.9,12.0,3.58,58.1
2014-07-30,#N/A,#N/A,#N/A,18.1,15.4,3.62,74.0
2014-07-31,#N/A,#N/A,#N/A,18.4,15.0,2.73,64.4
2014-08-01,#N/A,#N/A,#N/A,21.1,17.0,2.98,32.0
2014-08-02,#N/A,#N/A,#N/A,21.3,17.5,1.29,51.6
2014-08-03,#N/A,#N/A,#N/A,20.3,18.7,0.94,91.6
2014-08-04,#N/A,#N/A,#N/A,19.4,17.5,1.97,42.8
2014-08-05,#N/A,#N/A,#N/A,20.0,17.2,2.24,75.6
2014-08-06,#N/A,#N/A,#N/A,19.9,13.7,2.54,43.4
2014-08-07,#N/A,#N/A,#N/A,19.6,13.0,2.67,25.4
2014-08-08,#N/A,#N/A,#N/A,19.2,14.0,2.08,29.6
2014-08-09,#N/A,#N/A,#N/A,20.2,14.4,1.65,19.5
2014-08-10,#N/A,#N/A,#N/A,20.1,14.5,1.43,15.8
2014-08-11,#N/A,#N/A,#N/A,21.8,16.1,2.32,52.7
2014-08-12,#N/A,#N/A,#N/A,20.6,18.1,5.74,96.2
2014-08-13,#N/A,#N/A,#N/A,18.9,14.6,5.60,70.3
2014-08-14,#N/A,#N/A,#N/A,13.3,9.8,4.40,76.1
2014-08-15,#N/A,#N/A,#N/A,15.7,11.0,4.45,82.5
