Daily data for a single station.
StationID:,716240-99999
StationName:,"LESTER B PEARSON INTL"
Lat&Long:,43.677,-79.630
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-12.4,-17.8,5.47,70.9
2014-01-02,#N/A,#N/A,#N/A,-17.5,-23.0,7.43,98.7
2014-01-03,#N/A,#N/A,#N/A,-18.0,-24.9,4.82,26.9
2014-01-04,#N/A,#N/A,#N/A,-4.6,-11.0,6.21,73.8
2014-01-05,#N/A,#N/A,#N/A,-1.2,-2.4,2.71,98.8
2014-01-06,#N/A,#N/A,#N/A,-7.6,-10.7,10.45,73.5
2014-01-07,#N/A,#N/A,#N/A,-19.6,-24.6,11.28,36.3
2014-01-08,#N/A,#N/A,#N/A,-12.8,-17.2,4.75,78.7
2014-01-09,#N/A,#N/A,#N/A,-10.3,-13.9,2.58,34.7
2014-01-10,#N/A,#N/A,#N/A,-2.4,-3.5,1.72,100.0
2014-01-11,#N/A,#N/A,#N/A,3.7,2.5,4.67,92.1
2014-01-12,#N/A,#N/A,#N/A,1.3,-2.6,7.08,76.5
2014-01-13,#N/A,#N/A,#N/A,4.1,-0.0,4.14,76.3
2014-01-14,#N/A,#N/A,#N/A,2.1,-1.2,2.37,67.9
2014-01-15,#N/A,#N/A,#N/A,-1.7,-5.9,6.25,84.3
2014-01-16,#N/A,#N/A,#N/A,-3.4,-7.5,3.72,77.2
2014-01-17,#N/A,#N/A,#N/A,-0.7,-4.4,4.12,86.0
2014-01-18,#N/A,#N/A,#N/A,-5.0,-8.4,5.61,79.5
2014-01-19,#N/A,#N/A,#N/A,-5.6,-8.7,7.41,89.4
2014-01-20,#N/A,#N/A,#N/A,-9.1,-13.3,5.59,76.2
2014-01-21,#N/A,#N/A,#N/A,-18.7,-24.3,4.89,25.7
2014-01-22,#N/A,#N/A,#N/A,-18.3,-23.8,2.53,67.3
2014-01-23,#N/A,#N/A,#N/A,-16.0,-20.8,4.58,65.2
2014-01-24,#N/A,#N/A,#N/A,-13.7,-18.8,7.50,63.8
2014-01-25,#N/A,#N/A,#N/A,-8.7,-12.5,7.89,73.9
2014-01-26,#N/A,#N/A,#N/A,-12.6,-16.2,4.84,71.3
2014-01-27,#N/A,#N/A,#N/A,-11.1,-15.5,9.36,59.0
2014-01-28,#N/A,#N/A,#N/A,-16.3,-21.6,8.11,24.3
2014-01-29,#N/A,#N/A,#N/A,-14.2,-19.4,7.58,52.5
2014-01-30,#N/A,#N/A,#N/A,-7.3,-15.1,5.66,79.4
2014-01-31,#N/A,#N/A,#N/A,-1.9,-5.7,5.14,90.8
2014-02-01,#N/A,#N/A,#N/A,-1.3,-2.4,2.27,98.6
2014-02-02,#N/A,#N/A,#N/A,-3.2,-6.2,4.79,88.2
2014-02-03,#N/A,#N/A,#N/A,-8.5,-12.9,3.33,37.7
2014-02-04,#N/A,#N/A,#N/A,-9.4,-13.5,1.92,74.8
2014-02-05,#N/A,#N/A,#N/A,-7.9,-10.6,6.83,76.6
2014-02-06,#N/A,#N/A,#N/A,-11.3,-14.8,4.52,67.8
2014-02-07,#N/A,#N/A,#N/A,-12.3,-16.9,7.52,66.5
2014-02-08,#N/A,#N/A,#N/A,-14.0,-18.2,2.85,61.7
2014-02-09,#N/A,#N/A,#N/A,-11.7,-13.9,2.21,65.4
2014-02-10,#N/A,#N/A,#N/A,-10.5,-15.5,5.16,71.3
