Daily data for a single station.
StationID:,716330-99999
StationName:,"WIARTON A"
Lat&Long:,44.750,-81.100
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-13.6,-16.5,2.86,80.8
2014-01-02,#N/A,#N/A,#N/A,-15.9,-19.0,4.28,82.2
2014-01-03,#N/A,#N/A,#N/A,-16.5,-21.5,4.34,35.1
2014-01-04,#N/A,#N/A,#N/A,-5.9,-10.0,8.62,74.8
2014-01-05,#N/A,#N/A,#N/A,-2.9,-4.8,4.00,100.0
2014-01-06,#N/A,#N/A,#N/A,-9.9,-12.6,4.71,84.1
2014-01-07,#N/A,#N/A,#N/A,-13.6,-15.2,7.83,99.1
2014-01-08,#N/A,#N/A,#N/A,-10.1,-11.7,4.95,100.0
2014-01-09,#N/A,#N/A,#N/A,-9.1,-12.1,3.56,74.7
2014-01-10,#N/A,#N/A,#N/A,-2.2,-4.0,4.82,100.0
2014-01-11,#N/A,#N/A,#N/A,3.2,2.7,6.36,99.4
2014-01-12,#N/A,#N/A,#N/A,0.6,-3.1,6.45,80.6
2014-01-13,#N/A,#N/A,#N/A,3.5,-1.1,7.45,67.6
2014-01-14,#N/A,#N/A,#N/A,0.1,-2.9,2.72,79.0
2014-01-15,#N/A,#N/A,#N/A,-3.5,-6.8,5.48,97.7
2014-01-16,#N/A,#N/A,#N/A,-5.3,-9.2,6.85,92.9
2014-01-17,#N/A,#N/A,#N/A,-2.3,-4.7,5.46,100.0
2014-01-18,#N/A,#N/A,#N/A,-4.1,-6.3,4.29,100.0
2014-01-19,#N/A,#N/A,#N/A,-5.0,-6.4,7.46,99.3
2014-01-20,#N/A,#N/A,#N/A,-13.3,-17.0,3.43,65.0
2014-01-21,#N/A,#N/A,#N/A,-18.0,-23.5,3.11,44.8
2014-01-22,#N/A,#N/A,#N/A,-20.3,-24.9,2.42,65.4
2014-01-23,#N/A,#N/A,#N/A,-18.1,-23.1,3.62,71.5
2014-01-24,#N/A,#N/A,#N/A,-13.7,-17.5,10.04,92.3
