Daily data for a single station.
StationID:,716670-99999
StationName:,"THUNDER BAY CS"
Lat&Long:,48.370,-89.320
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-29.5,-33.7,2.54,#N/A
2014-01-02,#N/A,#N/A,#N/A,-29.9,-34.3,2.82,#N/A
2014-01-03,#N/A,#N/A,#N/A,-21.2,-24.3,2.01,#N/A
2014-01-04,#N/A,#N/A,#N/A,-12.8,-16.2,4.20,#N/A
2014-01-05,#N/A,#N/A,#N/A,-26.1,-31.1,4.43,#N/A
2014-01-06,#N/A,#N/A,#N/A,-29.6,-34.7,5.63,#N/A
2014-01-07,#N/A,#N/A,#N/A,-24.5,-29.3,5.22,#N/A
2014-01-08,#N/A,#N/A,#N/A,-22.4,-26.9,4.36,#N/A
2014-01-09,#N/A,#N/A,#N/A,-19.4,-22.9,1.63,#N/A
2014-01-10,#N/A,#N/A,#N/A,-4.1,-6.1,1.91,#N/A
2014-01-11,#N/A,#N/A,#N/A,-2.6,-4.3,3.36,#N/A
2014-01-12,#N/A,#N/A,#N/A,-2.8,-4.7,2.71,#N/A
2014-01-13,#N/A,#N/A,#N/A,-2.7,-6.8,4.90,#N/A
2014-01-14,#N/A,#N/A,#N/A,-12.9,-17.2,3.42,#N/A
2014-01-15,#N/A,#N/A,#N/A,-15.6,-18.6,2.50,#N/A
2014-01-16,#N/A,#N/A,#N/A,-7.8,-9.5,3.00,#N/A
2014-01-17,#N/A,#N/A,#N/A,-16.2,-19.9,3.16,#N/A
2014-01-18,#N/A,#N/A,#N/A,-14.5,-17.9,2.11,#N/A
2014-01-19,#N/A,#N/A,#N/A,-11.1,-16.2,4.57,#N/A
2014-01-20,#N/A,#N/A,#N/A,-22.5,-28.4,4.29,#N/A
