Daily data for a single station.
StationID:,717380-99999
StationName:,"WAWA"
Lat&Long:,47.967,-84.780
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-30.7,-36.5,0.59,22.2
2014-01-02,#N/A,#N/A,#N/A,-28.9,-34.2,0.68,#N/A
2014-01-03,#N/A,#N/A,#N/A,-22.5,-25.8,3.14,91.7
2014-01-04,#N/A,#N/A,#N/A,-5.8,-7.5,4.85,93.5
2014-01-05,#N/A,#N/A,#N/A,-16.4,-20.4,0.75,73.1
2014-01-06,#N/A,#N/A,#N/A,-26.8,-32.4,1.46,66.8
2014-01-07,#N/A,#N/A,#N/A,-22.5,-29.1,1.56,27.5
2014-01-08,#N/A,#N/A,#N/A,-16.8,-21.2,1.92,19.5
2014-01-09,#N/A,#N/A,#N/A,-12.5,-15.4,5.25,82.7
2014-01-10,#N/A,#N/A,#N/A,-3.1,-3.8,5.40,100.0
2014-01-11,#N/A,#N/A,#N/A,-2.0,-2.4,0.40,99.3
2014-01-12,#N/A,#N/A,#N/A,-1.9,-3.5,4.11,94.3
2014-01-13,#N/A,#N/A,#N/A,0.6,-0.6,3.40,98.9
2014-01-14,#N/A,#N/A,#N/A,-10.3,-11.9,2.82,70.4
2014-01-15,#N/A,#N/A,#N/A,-16.2,-19.1,2.45,40.6
2014-01-16,#N/A,#N/A,#N/A,-6.9,-7.9,3.41,100.0
2014-01-17,#N/A,#N/A,#N/A,-14.9,-16.8,4.11,66.1
2014-01-18,#N/A,#N/A,#N/A,-17.4,-21.3,1.20,41.0
2014-01-19,#N/A,#N/A,#N/A,-12.5,-16.5,4.16,44.1
2014-01-20,#N/A,#N/A,#N/A,-25.7,-31.4,1.55,24.9
2014-01-21,#N/A,#N/A,#N/A,-27.5,-32.6,0.14,12.4
2014-01-22,#N/A,#N/A,#N/A,-15.3,-18.9,2.57,100.0
2014-01-23,#N/A,#N/A,#N/A,-26.3,-31.7,2.88,26.2
2014-01-24,#N/A,#N/A,#N/A,-9.3,-9.9,9.29,100.0
2014-01-25,#N/A,#N/A,#N/A,-21.9,-26.1,3.26,35.6
2014-01-26,#N/A,#N/A,#N/A,-24.4,-27.9,1.28,93.0
2014-01-27,#N/A,#N/A,#N/A,-26.5,-32.1,1.39,61.4
2014-01-28,#N/A,#N/A,#N/A,-16.7,-20.2,4.47,58.6
2014-01-29,#N/A,#N/A,#N/A,-14.5,-17.9,2.55,89.0
2014-01-30,#N/A,#N/A,#N/A,-5.3,-6.4,4.63,100.0
2014-01-31,#N/A,#N/A,#N/A,-15.5,-18.0,2.55,95.6
2014-02-01,#N/A,#N/A,#N/A,-11.5,-12.7,2.50,100.0
2014-02-02,#N/A,#N/A,#N/A,-15.7,-17.8,1.79,38.7
2014-02-03,#N/A,#N/A,#N/A,-10.5,-12.7,3.57,100.0
2014-02-04,#N/A,#N/A,#N/A,-13.1,-17.0,0.63,40.2
2014-02-05,#N/A,#N/A,#N/A,-18.4,-23.4,1.87,28.7
2014-02-06,#N/A,#N/A,#N/A,-14.6,-16.8,5.77,70.1
2014-02-07,#N/A,#N/A,#N/A,-12.9,-14.0,7.01,66.6
2014-02-08,#N/A,#N/A,#N/A,-18.5,-23.2,0.80,44.4
2014-02-09,#N/A,#N/A,#N/A,-16.0,-19.9,1.40,68.1
2014-02-10,#N/A,#N/A,#N/A,-20.6,-21.2,0.92,30.3
2014-02-11,#N/A,#N/A,#N/A,-20.5,-24.0,1.90,30.9
2014-02-12,#N/A,#N/A,#N/A,-10.2,-11.1,6.43,100.0
2014-02-13,#N/A,#N/A,#N/A,-9.3,-11.4,2.33,99.0
2014-02-14,#N/A,#N/A,#N/A,-13.9,-16.8,5.35,88.5
2014-02-15,#N/A,#N/A,#N/A,-15.7,-20.6,3.02,44.2
2014-02-16,#N/A,#N/A,#N/A,-17.3,-22.1,3.62,16.1
2014-02-17,#N/A,#N/A,#N/A,-13.9,-18.1,1.90,85.4
2014-02-18,#N/A,#N/A,#N/A,-6.8,-10.1,2.62,88.7
2014-02-19,#N/A,#N/A,#N/A,-3.6,-5.9,3.93,82.9
2014-02-20,#N/A,#N/A,#N/A,-3.1,-8.8,2.89,54.3
2014-02-21,#N/A,#N/A,#N/A,-1.4,-2.9,6.92,100.0
2014-02-22,#N/A,#N/A,#N/A,-11.6,-12.7,6.20,86.2
2014-02-23,#N/A,#N/A,#N/A,-13.3,-16.1,4.39,70.7
2014-02-24,#N/A,#N/A,#N/A,-16.8,-20.8,2.43,86.5
2014-02-25,#N/A,#N/A,#N/A,-14.8,-17.7,2.21,100.0
2014-02-26,#N/A,#N/A,#N/A,-20.6,-24.5,3.47,87.8
2014-02-27,#N/A,#N/A,#N/A,-22.5,-30.0,3.28,33.5
2014-02-28,#N/A,#N/A,#N/A,-21.6,-26.7,2.52,100.0
2014-03-01,#N/A,#N/A,#N/A,-17.2,-23.5,2.74,42.9
2014-03-02,#N/A,#N/A,#N/A,-23.4,-28.1,4.24,35.4
2014-03-03,#N/A,#N/A,#N/A,-20.2,-24.3,3.23,44.7
2014-03-04,#N/A,#N/A,#N/A,-13.8,-17.1,1.06,55.9
2014-03-05,#N/A,#N/A,#N/A,-17.5,-25.6,2.21,13.0
2014-03-06,#N/A,#N/A,#N/A,-10.0,-16.4,5.90,34.6
2014-03-07,#N/A,#N/A,#N/A,-6.4,-7.8,0.67,96.9
2014-03-08,#N/A,#N/A,#N/A,-12.0,-15.7,2.89,21.2
2014-03-09,#N/A,#N/A,#N/A,-7.9,-9.5,4.16,100.0
2014-03-10,#N/A,#N/A,#N/A,-1.9,-3.4,2.00,100.0
2014-03-11,#N/A,#N/A,#N/A,-1.4,-5.5,2.59,84.4
2014-03-12,#N/A,#N/A,#N/A,-17.3,-25.2,4.22,#N/A
2014-03-13,#N/A,#N/A,#N/A,-14.1,-18.3,2.71,95.6
2014-03-14,#N/A,#N/A,#N/A,-2.0,-3.5,3.00,100.0
2014-03-15,#N/A,#N/A,#N/A,-13.9,-21.9,4.47,38.9
2014-03-16,#N/A,#N/A,#N/A,-18.4,-23.6,2.90,12.3
2014-03-17,#N/A,#N/A,#N/A,-12.3,-20.3,1.27,86.0
2014-03-18,#N/A,#N/A,#N/A,-4.6,-11.7,1.31,99.1
2014-03-19,#N/A,#N/A,#N/A,-2.0,-3.1,2.87,100.0
2014-03-20,#N/A,#N/A,#N/A,-4.1,-7.7,2.90,81.5
2014-03-21,#N/A,#N/A,#N/A,-4.5,-8.3,0.96,76.4
2014-03-22,#N/A,#N/A,#N/A,-11.4,-17.2,3.69,74.1
2014-03-23,#N/A,#N/A,#N/A,-15.4,-20.9,2.97,12.1
2014-03-24,#N/A,#N/A,#N/A,-12.5,-16.4,3.55,72.7
2014-03-25,#N/A,#N/A,#N/A,-12.9,-16.8,3.33,78.3
2014-03-26,#N/A,#N/A,#N/A,-12.6,-17.7,1.93,44.3
2014-03-27,#N/A,#N/A,#N/A,-2.9,-3.9,0.78,100.0
2014-03-28,#N/A,#N/A,#N/A,-2.4,-6.0,2.98,68.0
2014-03-29,#N/A,#N/A,#N/A,-3.8,-10.3,1.39,31.2
2014-03-30,#N/A,#N/A,#N/A,-2.1,-8.7,2.39,38.1
2014-03-31,#N/A,#N/A,#N/A,3.9,-5.4,2.74,89.7
2014-04-01,#N/A,#N/A,#N/A,3.0,1.3,4.49,100.0
2014-04-02,#N/A,#N/A,#N/A,-5.9,-9.4,4.16,47.2
2014-04-03,#N/A,#N/A,#N/A,-1.4,-17.6,3.66,52.8
2014-04-04,#N/A,#N/A,#N/A,-3.9,-5.4,5.42,100.0
2014-04-05,#N/A,#N/A,#N/A,-6.7,-10.4,3.60,24.2
2014-04-06,#N/A,#N/A,#N/A,0.9,-1.6,1.85,79.4
2014-04-07,#N/A,#N/A,#N/A,4.2,-0.1,2.28,19.6
2014-04-08,#N/A,#N/A,#N/A,3.5,-3.8,4.05,46.8
2014-04-09,#N/A,#N/A,#N/A,0.8,-8.3,2.34,60.5
2014-04-10,#N/A,#N/A,#N/A,3.1,0.4,5.55,63.3
2014-04-11,#N/A,#N/A,#N/A,1.3,-5.7,2.45,45.9
2014-04-12,#N/A,#N/A,#N/A,2.3,-8.0,3.49,73.6
2014-04-13,#N/A,#N/A,#N/A,4.0,0.9,2.04,88.3
2014-04-14,#N/A,#N/A,#N/A,-5.4,-7.8,5.92,93.8
2014-04-15,#N/A,#N/A,#N/A,-9.4,-16.5,3.94,52.5
2014-04-16,#N/A,#N/A,#N/A,-5.6,-10.2,2.34,58.6
2014-04-17,#N/A,#N/A,#N/A,0.8,-2.7,3.48,88.6
2014-04-18,#N/A,#N/A,#N/A,1.0,-1.3,2.01,81.9
2014-04-19,#N/A,#N/A,#N/A,1.5,-6.8,2.29,88.5
2014-04-20,#N/A,#N/A,#N/A,5.6,2.6,3.67,83.6
2014-04-21,#N/A,#N/A,#N/A,6.4,2.2,2.08,76.4
2014-04-22,#N/A,#N/A,#N/A,2.2,-2.5,4.72,86.9
2014-04-23,#N/A,#N/A,#N/A,1.8,-7.4,2.79,20.2
2014-04-24,#N/A,#N/A,#N/A,5.6,-5.0,1.85,75.0
2014-04-25,#N/A,#N/A,#N/A,2.4,-1.0,3.89,100.0
2014-04-26,#N/A,#N/A,#N/A,1.0,-5.9,4.81,28.2
2014-04-27,#N/A,#N/A,#N/A,4.4,-8.9,4.30,33.9
2014-04-28,#N/A,#N/A,#N/A,7.0,-7.6,6.18,76.1
2014-04-29,#N/A,#N/A,#N/A,4.7,0.4,5.57,89.1
2014-04-30,#N/A,#N/A,#N/A,8.3,6.7,2.11,100.0
2014-05-01,#N/A,#N/A,#N/A,5.9,5.8,0.86,100.0
2014-05-02,#N/A,#N/A,#N/A,1.8,1.8,2.34,#N/A
2014-05-03,#N/A,#N/A,#N/A,4.1,1.8,1.91,86.5
2014-05-04,#N/A,#N/A,#N/A,3.9,2.5,1.17,79.8
2014-05-05,#N/A,#N/A,#N/A,4.9,-2.0,2.23,83.7
2014-05-06,#N/A,#N/A,#N/A,6.3,-4.7,2.33,77.0
2014-05-07,#N/A,#N/A,#N/A,10.0,-3.1,1.82,77.1
2014-05-08,#N/A,#N/A,#N/A,9.1,6.0,2.83,98.6
2014-05-09,#N/A,#N/A,#N/A,12.8,12.6,2.11,100.0
2014-05-10,#N/A,#N/A,#N/A,3.5,2.4,4.89,59.2
2014-05-11,#N/A,#N/A,#N/A,9.2,0.7,1.99,16.3
2014-05-12,#N/A,#N/A,#N/A,5.6,2.9,4.27,98.6
2014-05-13,#N/A,#N/A,#N/A,7.2,6.8,2.54,92.2
2014-05-14,#N/A,#N/A,#N/A,4.6,1.2,3.82,32.5
2014-05-15,#N/A,#N/A,#N/A,3.2,-1.1,5.19,100.0
2014-05-16,#N/A,#N/A,#N/A,0.9,-0.4,2.87,89.2
2014-05-17,#N/A,#N/A,#N/A,3.3,-0.3,3.47,78.2
2014-05-18,#N/A,#N/A,#N/A,7.9,0.3,3.39,54.6
2014-05-19,#N/A,#N/A,#N/A,14.0,4.8,1.25,75.4
2014-05-20,#N/A,#N/A,#N/A,10.7,7.3,3.00,94.6
2014-05-21,#N/A,#N/A,#N/A,9.9,9.3,1.22,87.0
2014-05-22,#N/A,#N/A,#N/A,8.2,6.8,1.54,97.8
2014-05-23,#N/A,#N/A,#N/A,14.0,6.1,2.56,32.9
2014-05-24,#N/A,#N/A,#N/A,13.2,3.9,2.99,43.3
2014-05-25,#N/A,#N/A,#N/A,12.1,6.4,2.72,71.9
2014-05-26,#N/A,#N/A,#N/A,15.5,8.6,2.77,37.2
2014-05-27,#N/A,#N/A,#N/A,15.3,5.9,4.59,44.8
2014-05-28,#N/A,#N/A,#N/A,15.6,7.9,3.13,48.0
2014-05-29,#N/A,#N/A,#N/A,15.5,8.3,2.45,25.4
2014-05-30,#N/A,#N/A,#N/A,20.0,9.1,3.83,44.6
2014-05-31,#N/A,#N/A,#N/A,21.1,8.7,3.36,46.4
2014-06-01,#N/A,#N/A,#N/A,15.6,11.4,1.77,90.5
2014-06-02,#N/A,#N/A,#N/A,18.0,17.4,3.08,99.2
2014-06-03,#N/A,#N/A,#N/A,6.0,6.0,3.94,84.5
2014-06-04,#N/A,#N/A,#N/A,15.2,4.6,3.15,46.0
2014-06-05,#N/A,#N/A,#N/A,14.2,1.5,2.66,13.0
2014-06-06,#N/A,#N/A,#N/A,14.9,7.4,2.47,29.0
2014-06-07,#N/A,#N/A,#N/A,15.9,11.1,1.90,43.4
2014-06-08,#N/A,#N/A,#N/A,13.8,8.3,2.90,14.2
2014-06-09,#N/A,#N/A,#N/A,16.6,6.1,1.50,89.0
2014-06-10,#N/A,#N/A,#N/A,18.1,7.2,1.63,33.7
2014-06-11,#N/A,#N/A,#N/A,20.9,6.7,2.25,21.5
2014-06-12,#N/A,#N/A,#N/A,16.6,11.2,2.27,66.8
2014-06-13,#N/A,#N/A,#N/A,6.5,6.0,1.95,95.9
2014-06-14,#N/A,#N/A,#N/A,10.8,6.5,2.01,90.0
2014-06-15,#N/A,#N/A,#N/A,18.5,9.7,3.40,67.1
2014-06-16,#N/A,#N/A,#N/A,17.0,12.2,2.48,36.8
2014-06-17,#N/A,#N/A,#N/A,18.8,13.2,2.28,47.5
2014-06-18,#N/A,#N/A,#N/A,19.8,9.9,4.30,45.4
2014-06-19,#N/A,#N/A,#N/A,18.4,0.8,3.52,25.5
2014-06-20,#N/A,#N/A,#N/A,17.2,6.4,1.74,87.8
2014-06-21,#N/A,#N/A,#N/A,18.4,7.9,1.68,57.2
2014-06-22,#N/A,#N/A,#N/A,19.8,7.8,2.35,35.7
2014-06-23,#N/A,#N/A,#N/A,17.6,11.5,1.65,61.5
2014-06-24,#N/A,#N/A,#N/A,12.3,8.4,5.47,93.6
2014-06-25,#N/A,#N/A,#N/A,16.8,2.4,4.90,68.2
2014-06-26,#N/A,#N/A,#N/A,18.9,5.4,2.36,13.0
2014-06-27,#N/A,#N/A,#N/A,20.6,10.3,2.39,14.9
2014-06-28,#N/A,#N/A,#N/A,24.5,16.3,3.04,51.4
2014-06-29,#N/A,#N/A,#N/A,21.0,18.8,3.65,86.3
2014-06-30,#N/A,#N/A,#N/A,20.1,15.5,2.62,28.8
2014-07-01,#N/A,#N/A,#N/A,12.6,12.1,3.51,100.0
2014-07-02,#N/A,#N/A,#N/A,10.4,6.3,2.71,41.1
2014-07-03,#N/A,#N/A,#N/A,15.6,5.2,2.24,30.0
2014-07-04,#N/A,#N/A,#N/A,11.7,5.3,3.06,20.7
2014-07-05,#N/A,#N/A,#N/A,13.1,9.7,1.81,86.7
