Daily data for a single station.
StationID:,717490-99999
StationName:,"THUNDER BAY A"
Lat&Long:,48.367,-89.330
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-29.9,-34.3,2.54,40.3
2014-01-02,#N/A,#N/A,#N/A,-30.5,-34.9,2.64,28.0
2014-01-03,#N/A,#N/A,#N/A,-19.6,-22.0,2.53,91.2
2014-01-04,#N/A,#N/A,#N/A,-12.3,-15.9,4.36,71.2
2014-01-05,#N/A,#N/A,#N/A,-26.3,-31.5,4.39,15.5
2014-01-06,#N/A,#N/A,#N/A,-29.4,-35.0,5.73,44.6
2014-01-07,#N/A,#N/A,#N/A,-24.6,-29.6,5.42,49.7
2014-01-08,#N/A,#N/A,#N/A,-23.2,-27.8,4.59,13.0
2014-01-09,#N/A,#N/A,#N/A,-19.8,-23.3,1.86,86.2
2014-01-10,#N/A,#N/A,#N/A,-4.3,-6.3,2.43,100.0
2014-01-11,#N/A,#N/A,#N/A,-2.8,-4.5,3.47,100.0
2014-01-12,#N/A,#N/A,#N/A,-3.1,-5.1,2.97,100.0
2014-01-13,#N/A,#N/A,#N/A,-3.1,-7.1,4.71,95.5
2014-01-14,#N/A,#N/A,#N/A,-13.0,-17.5,3.22,39.5
2014-01-15,#N/A,#N/A,#N/A,-16.1,-19.2,2.80,67.5
2014-01-16,#N/A,#N/A,#N/A,-7.9,-9.7,3.10,100.0
2014-01-17,#N/A,#N/A,#N/A,-16.4,-20.1,2.93,46.9
2014-01-18,#N/A,#N/A,#N/A,-14.9,-18.1,2.39,77.9
2014-01-19,#N/A,#N/A,#N/A,-11.3,-16.7,4.33,83.3
2014-01-20,#N/A,#N/A,#N/A,-22.7,-28.8,4.01,63.9
2014-01-21,#N/A,#N/A,#N/A,-23.3,-28.0,3.05,43.2
2014-01-22,#N/A,#N/A,#N/A,-18.3,-22.2,3.55,98.7
2014-01-23,#N/A,#N/A,#N/A,-23.9,-29.0,3.53,49.4
2014-01-24,#N/A,#N/A,#N/A,-10.7,-14.2,5.47,92.9
2014-01-25,#N/A,#N/A,#N/A,-20.1,-26.9,6.00,30.4
2014-01-26,#N/A,#N/A,#N/A,-22.2,-26.0,2.65,97.4
2014-01-27,#N/A,#N/A,#N/A,-24.8,-31.1,7.11,57.8
2014-01-28,#N/A,#N/A,#N/A,-23.6,-28.9,6.75,77.7
