Daily data for a single station.
StationID:,717493-99999
StationName:,"TERRACE BAY"
Lat&Long:,48.813,-87.090
Elevation:,-999.900
Starts(YMD):,2018-11-02
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2018-11-02,#N/A,#N/A,#N/A,-0.7,-3.5,0.80,#N/A
2018-11-03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-06,#N/A,#N/A,#N/A,3.5,2.4,0.85,#N/A
2018-11-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-14,#N/A,#N/A,#N/A,-4.9,-8.9,3.70,#N/A
2018-11-15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-20,#N/A,#N/A,#N/A,-13.5,-15.8,2.27,#N/A
2018-11-21,#N/A,#N/A,#N/A,-17.2,-21.8,2.06,#N/A
2018-11-22,#N/A,#N/A,#N/A,-10.2,-12.8,4.38,#N/A
2018-11-23,#N/A,#N/A,#N/A,2.2,1.2,5.47,#N/A
2018-11-24,#N/A,#N/A,#N/A,3.1,2.7,2.95,#N/A
2018-11-25,#N/A,#N/A,#N/A,-5.3,-8.1,2.71,#N/A
2018-11-26,#N/A,#N/A,#N/A,-8.4,-11.6,1.66,#N/A
