Daily data for a single station.
StationID:,724287-04848
StationName:,"METCALF FIELD AIRPORT"
Lat&Long:,41.563,-83.470
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-7.7,#N/A,3.21,100.0
2014-01-02,#N/A,#N/A,#N/A,-10.0,#N/A,7.18,94.1
2014-01-03,#N/A,#N/A,#N/A,-15.4,#N/A,4.57,14.4
2014-01-04,#N/A,#N/A,#N/A,-4.8,#N/A,6.03,39.4
2014-01-05,#N/A,#N/A,#N/A,-0.4,#N/A,3.66,100.0
2014-01-06,#N/A,#N/A,#N/A,-17.7,#N/A,10.15,43.3
2014-01-07,#N/A,#N/A,#N/A,-21.4,#N/A,6.69,3.6
2014-01-08,#N/A,#N/A,#N/A,-12.9,#N/A,2.16,22.5
2014-01-09,#N/A,#N/A,#N/A,-11.1,#N/A,1.14,39.6
2014-01-10,#N/A,#N/A,#N/A,1.7,#N/A,3.57,100.0
2014-01-11,#N/A,#N/A,#N/A,3.4,#N/A,6.18,100.0
2014-01-12,#N/A,#N/A,#N/A,1.6,#N/A,6.07,63.3
2014-01-13,#N/A,#N/A,#N/A,5.6,#N/A,5.57,34.2
2014-01-14,#N/A,#N/A,#N/A,1.5,#N/A,5.34,64.1
2014-01-15,#N/A,#N/A,#N/A,-3.2,#N/A,7.16,88.5
2014-01-16,#N/A,#N/A,#N/A,-4.1,#N/A,7.19,100.0
2014-01-17,#N/A,#N/A,#N/A,-4.8,#N/A,4.46,87.3
2014-01-18,#N/A,#N/A,#N/A,-10.2,#N/A,3.83,75.0
2014-01-19,#N/A,#N/A,#N/A,-5.7,#N/A,6.19,43.9
2014-01-20,#N/A,#N/A,#N/A,-1.8,#N/A,4.86,99.8
2014-01-21,#N/A,#N/A,#N/A,-12.7,#N/A,4.92,65.8
2014-01-22,#N/A,#N/A,#N/A,-14.7,#N/A,3.31,72.3
2014-01-23,#N/A,#N/A,#N/A,-12.9,#N/A,5.51,73.4
