Daily data for a single station.
StationID:,725146-54773
StationName:,"OSWEGO COUNTY AIRPORT"
Lat&Long:,43.350,-76.380
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-21
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95.0
2014-01-02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0
2014-01-03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,87.2
2014-01-04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38.1
2014-01-05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,86.7
2014-01-06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,88.3
2014-01-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,85.0
2014-01-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.8
2014-01-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66.7
2014-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,88.3
2014-01-11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,93.6
2014-01-12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83.3
2014-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39.4
2014-01-14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95.8
2014-01-15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.2
2014-01-16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.9
2014-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84.8
2014-01-18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,90.9
2014-01-19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,99.8
2014-01-20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0
2014-01-21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50.2
2014-01-22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.7
2014-01-23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98.6
2014-01-24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75.2
2014-01-25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0
2014-01-26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,88.5
2014-01-27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69.1
2014-01-28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.9
2014-01-29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45.2
2014-01-30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.7
2014-01-31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,81.2
2014-02-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,89.0
2014-02-02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.0
2014-02-03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80.5
