Daily data for a single station.
StationID:,725240-14820
StationName:,"CLEVELAND-HOPKINS INTERNA"
Lat&Long:,41.406,-81.850
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-5.4,-8.7,2.73,100.0
2014-01-02,#N/A,#N/A,#N/A,-6.7,-9.9,8.71,100.0
2014-01-03,#N/A,#N/A,#N/A,-10.9,-16.4,4.98,77.5
2014-01-04,#N/A,#N/A,#N/A,-3.5,-12.9,6.85,63.2
2014-01-05,#N/A,#N/A,#N/A,2.0,-3.8,2.67,100.0
2014-01-06,#N/A,#N/A,#N/A,-14.4,-18.3,10.25,77.8
2014-01-07,#N/A,#N/A,#N/A,-19.2,-25.0,7.92,42.7
2014-01-08,#N/A,#N/A,#N/A,-9.3,-14.9,3.80,71.2
2014-01-09,#N/A,#N/A,#N/A,-5.6,-9.7,2.28,69.7
2014-01-10,#N/A,#N/A,#N/A,3.6,1.0,4.71,99.5
2014-01-11,#N/A,#N/A,#N/A,7.3,4.4,7.88,99.6
2014-01-12,#N/A,#N/A,#N/A,2.3,-2.4,6.58,88.1
2014-01-13,#N/A,#N/A,#N/A,7.6,1.2,6.66,85.8
2014-01-14,#N/A,#N/A,#N/A,4.0,-1.4,4.21,72.8
2014-01-15,#N/A,#N/A,#N/A,-1.6,-8.7,6.77,99.1
2014-01-16,#N/A,#N/A,#N/A,-3.1,-8.8,5.97,90.9
2014-01-17,#N/A,#N/A,#N/A,-1.2,-5.8,5.68,93.8
2014-01-18,#N/A,#N/A,#N/A,-8.7,-13.4,4.93,91.2
2014-01-19,#N/A,#N/A,#N/A,-3.2,-8.3,6.62,90.4
2014-01-20,#N/A,#N/A,#N/A,-1.6,-6.5,5.69,99.9
2014-01-21,#N/A,#N/A,#N/A,-10.6,-16.4,6.95,80.3
2014-01-22,#N/A,#N/A,#N/A,-12.9,-18.1,3.38,96.6
2014-01-23,#N/A,#N/A,#N/A,-12.4,-16.1,5.94,98.9
2014-01-24,#N/A,#N/A,#N/A,-12.9,-19.7,7.70,66.8
2014-01-25,#N/A,#N/A,#N/A,-6.3,-10.6,8.24,99.8
2014-01-26,#N/A,#N/A,#N/A,-8.2,-13.3,5.53,87.9
2014-01-27,#N/A,#N/A,#N/A,-10.5,-15.9,8.98,91.8
2014-01-28,#N/A,#N/A,#N/A,-18.2,-25.2,4.50,42.8
2014-01-29,#N/A,#N/A,#N/A,-13.2,-20.9,6.42,0.0
2014-01-30,#N/A,#N/A,#N/A,-6.2,-16.8,7.26,57.0
2014-01-31,#N/A,#N/A,#N/A,0.7,-7.8,3.97,97.5
2014-02-01,#N/A,#N/A,#N/A,3.0,-0.5,3.60,100.0
2014-02-02,#N/A,#N/A,#N/A,-1.8,-4.4,3.67,100.0
2014-02-03,#N/A,#N/A,#N/A,-5.9,-10.7,3.83,69.7
2014-02-04,#N/A,#N/A,#N/A,-6.8,-10.5,2.83,98.6
2014-02-05,#N/A,#N/A,#N/A,-4.8,-7.9,7.31,99.9
2014-02-06,#N/A,#N/A,#N/A,-9.7,-14.2,4.91,75.0
2014-02-07,#N/A,#N/A,#N/A,-15.0,-21.4,5.13,27.7
2014-02-08,#N/A,#N/A,#N/A,-10.7,-18.3,2.60,81.2
2014-02-09,#N/A,#N/A,#N/A,-6.8,-10.3,3.73,97.5
2014-02-10,#N/A,#N/A,#N/A,-9.4,-14.1,3.73,92.9
2014-02-11,#N/A,#N/A,#N/A,-13.0,-16.8,2.73,73.8
2014-02-12,#N/A,#N/A,#N/A,-10.7,-15.9,1.30,21.0
2014-02-13,#N/A,#N/A,#N/A,-6.7,-12.3,1.37,80.4
2014-02-14,#N/A,#N/A,#N/A,-2.7,-8.1,5.04,97.5
2014-02-15,#N/A,#N/A,#N/A,-7.7,-12.5,4.05,62.4
2014-02-16,#N/A,#N/A,#N/A,-8.5,-12.0,3.01,85.9
2014-02-17,#N/A,#N/A,#N/A,-7.9,-13.7,4.62,81.2
2014-02-18,#N/A,#N/A,#N/A,1.2,-4.7,7.44,88.1
2014-02-19,#N/A,#N/A,#N/A,5.0,-2.3,5.65,63.6
2014-02-20,#N/A,#N/A,#N/A,4.5,0.3,4.89,92.2
2014-02-21,#N/A,#N/A,#N/A,5.2,-1.6,9.18,68.8
2014-02-22,#N/A,#N/A,#N/A,4.4,-4.8,8.04,63.5
2014-02-23,#N/A,#N/A,#N/A,0.8,-5.1,4.78,77.7
2014-02-24,#N/A,#N/A,#N/A,-4.2,-11.6,6.67,82.2
2014-02-25,#N/A,#N/A,#N/A,-5.6,-10.9,5.01,99.3
2014-02-26,#N/A,#N/A,#N/A,-9.1,-16.2,6.08,98.3
2014-02-27,#N/A,#N/A,#N/A,-10.2,-18.1,7.23,87.2
2014-02-28,#N/A,#N/A,#N/A,-10.0,-18.6,2.88,37.3
2014-03-01,#N/A,#N/A,#N/A,-0.1,-9.8,4.47,93.1
2014-03-02,#N/A,#N/A,#N/A,-9.5,-14.4,5.76,97.7
2014-03-03,#N/A,#N/A,#N/A,-13.2,-19.3,4.41,65.5
2014-03-04,#N/A,#N/A,#N/A,-9.9,-16.8,2.15,97.5
2014-03-05,#N/A,#N/A,#N/A,-6.4,-12.8,5.37,86.0
2014-03-06,#N/A,#N/A,#N/A,-3.5,-11.6,3.79,50.0
