Daily data for a single station.
StationID:,725244-99999
StationName:,"WILLOUGHBY LOST NATION MU"
Lat&Long:,41.684,-81.390
Elevation:,-999.900
Starts(YMD):,2015-01-08
Ends(YMD):,2023-10-02
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2015-01-08,#N/A,#N/A,#N/A,-11.4,#N/A,6.21,#N/A
2015-01-09,#N/A,#N/A,#N/A,-9.4,#N/A,9.60,#N/A
2015-01-10,#N/A,#N/A,#N/A,-12.5,#N/A,4.75,#N/A
2015-01-11,#N/A,#N/A,#N/A,-2.6,#N/A,3.80,#N/A
2015-01-12,#N/A,#N/A,#N/A,-2.1,#N/A,3.23,#N/A
2015-01-13,#N/A,#N/A,#N/A,-10.7,#N/A,3.44,#N/A
2015-01-14,#N/A,#N/A,#N/A,-12.1,#N/A,1.11,85.2
2015-01-15,#N/A,#N/A,#N/A,-6.6,#N/A,4.01,84.8
2015-01-16,#N/A,#N/A,#N/A,-3.4,#N/A,4.74,98.0
2015-01-17,#N/A,#N/A,#N/A,0.3,#N/A,4.93,66.3
2015-01-18,#N/A,#N/A,#N/A,2.9,#N/A,5.92,100.0
2015-01-19,#N/A,#N/A,#N/A,-0.5,#N/A,2.77,100.0
2015-01-20,#N/A,#N/A,#N/A,-2.4,#N/A,2.07,94.7
2015-01-21,#N/A,#N/A,#N/A,-3.1,#N/A,1.50,92.6
2015-01-22,#N/A,#N/A,#N/A,-4.1,#N/A,2.29,96.6
2015-01-23,#N/A,#N/A,#N/A,-2.8,#N/A,2.35,93.6
2015-01-24,#N/A,#N/A,#N/A,-1.8,#N/A,5.01,100.0
2015-01-25,#N/A,#N/A,#N/A,-3.8,#N/A,5.17,100.0
2015-01-26,#N/A,#N/A,#N/A,-6.4,#N/A,4.59,100.0
2015-01-27,#N/A,#N/A,#N/A,-7.8,#N/A,3.01,96.5
2015-01-28,#N/A,#N/A,#N/A,-9.5,#N/A,0.72,43.0
2015-01-29,#N/A,#N/A,#N/A,-0.2,#N/A,4.69,95.4
2015-01-30,#N/A,#N/A,#N/A,-7.9,#N/A,4.89,91.9
2015-01-31,#N/A,#N/A,#N/A,-6.5,#N/A,2.52,84.2
2015-02-01,#N/A,#N/A,#N/A,-1.9,#N/A,2.26,100.0
2015-02-02,#N/A,#N/A,#N/A,-9.6,#N/A,5.03,93.6
2015-02-03,#N/A,#N/A,#N/A,-8.5,#N/A,4.42,89.0
2015-02-04,#N/A,#N/A,#N/A,-1.9,#N/A,4.05,100.0
2015-02-05,#N/A,#N/A,#N/A,-13.3,#N/A,2.90,95.2
2015-02-06,#N/A,#N/A,#N/A,-6.6,#N/A,5.32,90.8
2015-02-07,#N/A,#N/A,#N/A,1.7,#N/A,3.01,74.0
2015-02-08,#N/A,#N/A,#N/A,3.3,#N/A,3.36,86.7
2015-02-09,#N/A,#N/A,#N/A,-8.2,#N/A,5.08,100.0
2015-02-10,#N/A,#N/A,#N/A,-7.4,#N/A,2.49,98.3
2015-02-11,#N/A,#N/A,#N/A,-3.7,#N/A,3.16,88.3
2015-02-12,#N/A,#N/A,#N/A,-9.7,#N/A,5.33,87.7
2015-02-13,#N/A,#N/A,#N/A,-11.8,#N/A,3.45,80.4
2015-02-14,#N/A,#N/A,#N/A,-9.2,#N/A,6.02,95.2
2015-02-15,#N/A,#N/A,#N/A,-19.5,#N/A,3.79,81.8
2015-02-16,#N/A,#N/A,#N/A,-19.4,#N/A,1.19,52.2
2015-02-17,#N/A,#N/A,#N/A,-13.8,#N/A,2.37,86.6
2015-02-18,#N/A,#N/A,#N/A,-10.2,#N/A,5.51,99.1
2015-02-19,#N/A,#N/A,#N/A,-17.4,#N/A,4.08,82.4
2015-02-20,#N/A,#N/A,#N/A,-18.6,#N/A,1.97,94.1
2015-02-21,#N/A,#N/A,#N/A,-7.3,#N/A,1.99,98.8
2015-02-22,#N/A,#N/A,#N/A,-6.3,#N/A,2.17,92.8
2015-02-23,#N/A,#N/A,#N/A,-18.6,#N/A,2.59,95.2
2015-02-24,#N/A,#N/A,#N/A,-11.6,#N/A,5.83,92.0
2015-02-25,#N/A,#N/A,#N/A,-9.6,#N/A,3.64,76.5
2015-02-26,#N/A,#N/A,#N/A,-12.6,#N/A,4.26,95.9
2015-02-27,#N/A,#N/A,#N/A,-15.2,#N/A,1.67,43.0
2015-02-28,#N/A,#N/A,#N/A,-14.1,#N/A,1.09,64.4
2015-03-01,#N/A,#N/A,#N/A,-5.5,#N/A,1.72,100.0
2015-03-02,#N/A,#N/A,#N/A,-6.7,#N/A,4.56,92.3
2015-03-03,#N/A,#N/A,#N/A,-2.0,#N/A,4.45,95.6
2015-03-04,#N/A,#N/A,#N/A,-0.5,#N/A,4.33,88.7
2015-03-05,#N/A,#N/A,#N/A,-11.6,#N/A,3.00,53.0
2015-03-06,#N/A,#N/A,#N/A,-10.2,#N/A,3.09,70.9
2015-03-07,#N/A,#N/A,#N/A,-0.8,#N/A,5.39,83.0
2015-03-08,#N/A,#N/A,#N/A,1.1,#N/A,4.22,81.2
2015-03-09,#N/A,#N/A,#N/A,1.6,#N/A,2.03,91.2
2015-03-10,#N/A,#N/A,#N/A,2.9,#N/A,0.88,94.7
