Daily data for a single station.
StationID:,725260-14860
StationName:,"ERIE INTL/T. RIDGE FIELD"
Lat&Long:,42.080,-80.180
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-7.1,-9.8,4.38,99.9
2014-01-02,#N/A,#N/A,#N/A,-9.4,-12.2,9.06,100.0
2014-01-03,#N/A,#N/A,#N/A,-12.8,-18.6,3.56,60.5
2014-01-04,#N/A,#N/A,#N/A,-3.3,-14.3,8.54,39.2
2014-01-05,#N/A,#N/A,#N/A,2.1,-5.0,2.62,100.0
2014-01-06,#N/A,#N/A,#N/A,-9.9,-13.7,8.79,99.8
2014-01-07,#N/A,#N/A,#N/A,-19.1,-25.5,8.36,56.2
2014-01-08,#N/A,#N/A,#N/A,-10.5,-16.3,4.47,78.9
2014-01-09,#N/A,#N/A,#N/A,-5.6,-10.3,1.89,59.6
2014-01-10,#N/A,#N/A,#N/A,3.1,0.8,5.09,91.2
2014-01-11,#N/A,#N/A,#N/A,7.3,4.5,8.11,96.0
2014-01-12,#N/A,#N/A,#N/A,1.6,-2.7,6.61,58.3
2014-01-13,#N/A,#N/A,#N/A,7.7,0.3,7.72,50.8
2014-01-14,#N/A,#N/A,#N/A,2.5,-1.5,3.54,67.6
2014-01-15,#N/A,#N/A,#N/A,-1.2,-7.1,4.98,100.0
2014-01-16,#N/A,#N/A,#N/A,-2.6,-8.9,5.00,86.7
2014-01-17,#N/A,#N/A,#N/A,0.0,-5.0,5.00,67.5
2014-01-18,#N/A,#N/A,#N/A,-8.4,-13.4,4.67,78.8
2014-01-19,#N/A,#N/A,#N/A,-3.8,-8.8,6.07,99.9
2014-01-20,#N/A,#N/A,#N/A,-3.4,-7.6,4.57,100.0
2014-01-21,#N/A,#N/A,#N/A,-12.4,-17.6,5.05,98.1
2014-01-22,#N/A,#N/A,#N/A,-14.2,-19.0,1.58,65.7
2014-01-23,#N/A,#N/A,#N/A,-12.4,-16.1,2.64,98.9
2014-01-24,#N/A,#N/A,#N/A,-12.3,-18.7,7.72,53.0
2014-01-25,#N/A,#N/A,#N/A,-7.4,-11.7,8.39,100.0
2014-01-26,#N/A,#N/A,#N/A,-9.6,-14.7,6.56,72.5
2014-01-27,#N/A,#N/A,#N/A,-9.7,-14.2,7.36,88.1
2014-01-28,#N/A,#N/A,#N/A,-16.7,-23.0,4.89,26.4
2014-01-29,#N/A,#N/A,#N/A,-13.4,-20.9,6.00,0.0
2014-01-30,#N/A,#N/A,#N/A,-5.9,-17.9,7.49,24.4
2014-01-31,#N/A,#N/A,#N/A,0.2,-8.2,4.46,88.3
2014-02-01,#N/A,#N/A,#N/A,2.5,-1.0,3.68,92.5
2014-02-02,#N/A,#N/A,#N/A,-2.3,-4.6,3.05,100.0
2014-02-03,#N/A,#N/A,#N/A,-6.0,-9.9,2.03,99.8
2014-02-04,#N/A,#N/A,#N/A,-7.8,-10.9,2.22,34.1
2014-02-05,#N/A,#N/A,#N/A,-5.8,-8.0,6.43,100.0
2014-02-06,#N/A,#N/A,#N/A,-9.8,-13.6,3.80,95.3
2014-02-07,#N/A,#N/A,#N/A,-13.4,-19.5,4.49,33.6
2014-02-08,#N/A,#N/A,#N/A,-12.1,-17.2,2.36,46.5
2014-02-09,#N/A,#N/A,#N/A,-9.2,-11.8,2.78,86.9
2014-02-10,#N/A,#N/A,#N/A,-10.3,-13.1,2.89,86.0
2014-02-11,#N/A,#N/A,#N/A,-12.1,-15.4,1.14,76.3
2014-02-12,#N/A,#N/A,#N/A,-11.2,-17.4,2.73,0.0
2014-02-13,#N/A,#N/A,#N/A,-7.6,-13.1,2.88,3.3
2014-02-14,#N/A,#N/A,#N/A,-4.5,-8.0,3.70,100.0
2014-02-15,#N/A,#N/A,#N/A,-8.2,-11.3,3.24,81.8
2014-02-16,#N/A,#N/A,#N/A,-10.7,-13.9,2.13,61.2
2014-02-17,#N/A,#N/A,#N/A,-10.3,-17.0,3.76,29.2
2014-02-18,#N/A,#N/A,#N/A,-1.2,-5.8,6.99,63.0
2014-02-19,#N/A,#N/A,#N/A,4.1,-2.9,5.17,33.3
2014-02-20,#N/A,#N/A,#N/A,3.5,-0.9,5.64,50.6
2014-02-21,#N/A,#N/A,#N/A,5.5,-1.6,7.65,72.5
2014-02-22,#N/A,#N/A,#N/A,3.8,-7.8,7.40,64.0
2014-02-23,#N/A,#N/A,#N/A,0.1,-5.8,5.12,31.2
2014-02-24,#N/A,#N/A,#N/A,-5.6,-10.8,5.39,99.8
2014-02-25,#N/A,#N/A,#N/A,-7.7,-12.5,4.23,82.7
2014-02-26,#N/A,#N/A,#N/A,-11.2,-17.6,4.72,75.1
2014-02-27,#N/A,#N/A,#N/A,-11.8,-18.0,5.67,71.0
2014-02-28,#N/A,#N/A,#N/A,-14.3,-21.2,2.44,0.0
2014-03-01,#N/A,#N/A,#N/A,-2.0,-11.9,4.27,74.4
2014-03-02,#N/A,#N/A,#N/A,-11.3,-15.9,3.00,71.1
2014-03-03,#N/A,#N/A,#N/A,-16.3,-21.3,1.92,1.0
2014-03-04,#N/A,#N/A,#N/A,-12.8,-19.3,1.86,79.2
2014-03-05,#N/A,#N/A,#N/A,-8.3,-13.4,3.66,54.0
