Daily data for a single station.
StationID:,725280-14733
StationName:,"BUFFALO NIAGARA INTERNATI"
Lat&Long:,42.940,-78.730
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-9.1,-14.1,3.65,85.0
2014-01-02,#N/A,#N/A,#N/A,-12.5,-15.3,6.89,100.0
2014-01-03,#N/A,#N/A,#N/A,-15.6,-19.7,3.71,73.1
2014-01-04,#N/A,#N/A,#N/A,-3.7,-14.4,7.27,76.2
2014-01-05,#N/A,#N/A,#N/A,1.4,-5.4,2.66,98.5
2014-01-06,#N/A,#N/A,#N/A,-5.7,-8.5,10.43,99.0
2014-01-07,#N/A,#N/A,#N/A,-16.1,-18.8,10.64,99.3
2014-01-08,#N/A,#N/A,#N/A,-10.8,-14.4,5.09,99.2
2014-01-09,#N/A,#N/A,#N/A,-9.1,-13.0,2.07,51.1
2014-01-10,#N/A,#N/A,#N/A,0.5,-1.2,2.41,98.8
2014-01-11,#N/A,#N/A,#N/A,6.1,4.6,7.10,99.8
2014-01-12,#N/A,#N/A,#N/A,0.5,-1.6,7.00,82.1
2014-01-13,#N/A,#N/A,#N/A,6.4,0.3,6.90,75.4
2014-01-14,#N/A,#N/A,#N/A,1.7,-0.2,4.03,84.3
2014-01-15,#N/A,#N/A,#N/A,-1.1,-5.5,7.09,91.7
2014-01-16,#N/A,#N/A,#N/A,-2.3,-7.7,3.28,94.2
2014-01-17,#N/A,#N/A,#N/A,-0.3,-5.2,4.82,78.1
2014-01-18,#N/A,#N/A,#N/A,-6.6,-9.2,7.87,100.0
2014-01-19,#N/A,#N/A,#N/A,-5.1,-8.6,8.74,100.0
2014-01-20,#N/A,#N/A,#N/A,-5.7,-9.3,5.50,99.6
2014-01-21,#N/A,#N/A,#N/A,-14.6,-18.1,3.68,94.2
2014-01-22,#N/A,#N/A,#N/A,-15.3,-19.3,2.37,90.3
2014-01-23,#N/A,#N/A,#N/A,-13.6,-16.7,3.58,93.4
2014-01-24,#N/A,#N/A,#N/A,-12.0,-17.7,8.14,90.7
