Daily data for a single station.
StationID:,725287-04724
StationName:,"NIAGARA FALLS INTL AIRPOR"
Lat&Long:,43.108,-78.930
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-9.6,-14.3,4.42,81.7
2014-01-02,#N/A,#N/A,#N/A,-12.3,-15.3,7.31,100.0
2014-01-03,#N/A,#N/A,#N/A,-16.1,-20.0,3.53,72.5
2014-01-04,#N/A,#N/A,#N/A,-3.4,-12.2,7.49,66.2
2014-01-05,#N/A,#N/A,#N/A,0.5,-4.3,2.38,97.9
2014-01-06,#N/A,#N/A,#N/A,-6.3,-10.0,10.81,94.6
2014-01-07,#N/A,#N/A,#N/A,-16.5,-22.2,12.69,60.9
2014-01-08,#N/A,#N/A,#N/A,-10.2,-15.0,6.49,93.4
2014-01-09,#N/A,#N/A,#N/A,-9.2,-13.4,2.10,56.9
2014-01-10,#N/A,#N/A,#N/A,-0.0,-2.0,2.26,95.8
2014-01-11,#N/A,#N/A,#N/A,5.7,4.0,6.11,99.1
2014-01-12,#N/A,#N/A,#N/A,0.5,-2.6,6.59,84.8
2014-01-13,#N/A,#N/A,#N/A,5.3,-0.3,6.45,69.8
2014-01-14,#N/A,#N/A,#N/A,1.8,-0.5,3.63,77.4
2014-01-15,#N/A,#N/A,#N/A,-1.1,-6.1,7.49,91.4
2014-01-16,#N/A,#N/A,#N/A,-2.7,-7.8,3.53,98.2
2014-01-17,#N/A,#N/A,#N/A,-0.8,-5.2,4.40,86.5
2014-01-18,#N/A,#N/A,#N/A,-6.3,-9.6,7.72,98.2
2014-01-19,#N/A,#N/A,#N/A,-4.8,-8.3,11.30,100.0
2014-01-20,#N/A,#N/A,#N/A,-6.2,-10.3,5.45,99.9
2014-01-21,#N/A,#N/A,#N/A,-14.6,-18.1,3.58,98.5
2014-01-22,#N/A,#N/A,#N/A,-15.3,-19.1,2.20,98.2
2014-01-23,#N/A,#N/A,#N/A,-13.6,-16.8,3.81,94.9
2014-01-24,#N/A,#N/A,#N/A,-12.6,-17.7,9.43,85.4
2014-01-25,#N/A,#N/A,#N/A,-7.7,-11.3,9.39,100.0
