Daily data for a single station.
StationID:,725300-94846
StationName:,"CHICAGO O'HARE INTERNATIO"
Lat&Long:,41.960,-87.930
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-7.6,-10.8,5.29,100.0
2014-01-02,#N/A,#N/A,#N/A,-9.6,-14.0,5.98,71.8
2014-01-03,#N/A,#N/A,#N/A,-13.6,-19.1,6.37,49.0
2014-01-04,#N/A,#N/A,#N/A,-2.9,-8.0,6.41,69.4
2014-01-05,#N/A,#N/A,#N/A,-9.8,-13.8,7.95,99.8
2014-01-06,#N/A,#N/A,#N/A,-24.1,-30.4,8.64,37.1
2014-01-07,#N/A,#N/A,#N/A,-20.6,-26.2,4.69,42.7
2014-01-08,#N/A,#N/A,#N/A,-15.5,-21.2,1.86,66.1
2014-01-09,#N/A,#N/A,#N/A,-10.6,-14.6,2.61,77.5
2014-01-10,#N/A,#N/A,#N/A,01.0,-1.1,4.58,100.0
2014-01-11,#N/A,#N/A,#N/A,1.9,-1.4,6.10,99.6
2014-01-12,#N/A,#N/A,#N/A,1.7,-3.4,7.03,97.0
2014-01-13,#N/A,#N/A,#N/A,3.9,-1.9,5.14,67.4
2014-01-14,#N/A,#N/A,#N/A,-2.2,-6.6,6.92,78.8
2014-01-15,#N/A,#N/A,#N/A,-7.9,-13.4,5.34,68.1
2014-01-16,#N/A,#N/A,#N/A,-2.7,-7.8,7.35,97.7
2014-01-17,#N/A,#N/A,#N/A,-9.2,-14.9,5.37,99.3
2014-01-18,#N/A,#N/A,#N/A,-9.6,-13.3,3.40,87.0
2014-01-19,#N/A,#N/A,#N/A,-4.7,-9.5,6.23,80.2
2014-01-20,#N/A,#N/A,#N/A,-1.6,-6.0,5.08,97.9
2014-01-21,#N/A,#N/A,#N/A,-14.3,-21.1,6.51,53.1
2014-01-22,#N/A,#N/A,#N/A,-14.0,-19.5,5.30,85.6
2014-01-23,#N/A,#N/A,#N/A,-16.6,-23.5,6.56,21.7
2014-01-24,#N/A,#N/A,#N/A,-11.6,-18.2,8.93,78.5
2014-01-25,#N/A,#N/A,#N/A,-7.2,-15.5,8.22,55.1
2014-01-26,#N/A,#N/A,#N/A,-8.0,-13.6,6.80,98.9
2014-01-27,#N/A,#N/A,#N/A,-18.8,-26.0,7.40,27.7
2014-01-28,#N/A,#N/A,#N/A,-19.5,-26.2,5.36,0.0
2014-01-29,#N/A,#N/A,#N/A,-10.9,-19.5,5.70,8.3
2014-01-30,#N/A,#N/A,#N/A,-3.0,-10.1,8.43,88.3
2014-01-31,#N/A,#N/A,#N/A,-5.8,-12.3,2.55,99.6
2014-02-01,#N/A,#N/A,#N/A,-3.5,-6.7,3.46,99.6
2014-02-02,#N/A,#N/A,#N/A,-9.6,-15.4,3.61,83.3
2014-02-03,#N/A,#N/A,#N/A,-12.9,-19.5,1.72,33.3
2014-02-04,#N/A,#N/A,#N/A,-7.8,-13.4,2.64,99.4
2014-02-05,#N/A,#N/A,#N/A,-6.2,-10.5,6.26,94.7
2014-02-06,#N/A,#N/A,#N/A,-15.7,-21.1,5.53,44.4
2014-02-07,#N/A,#N/A,#N/A,-15.4,-21.7,4.75,32.9
2014-02-08,#N/A,#N/A,#N/A,-11.2,-15.8,2.17,97.4
2014-02-09,#N/A,#N/A,#N/A,-10.6,-15.7,4.00,51.7
2014-02-10,#N/A,#N/A,#N/A,-15.6,-22.9,4.08,2.1
2014-02-11,#N/A,#N/A,#N/A,-15.8,-22.9,2.67,2.1
2014-02-12,#N/A,#N/A,#N/A,-11.0,-17.0,2.97,73.8
2014-02-13,#N/A,#N/A,#N/A,-4.7,-11.7,4.84,96.6
2014-02-14,#N/A,#N/A,#N/A,-8.6,-14.4,4.47,76.2
2014-02-15,#N/A,#N/A,#N/A,-9.3,-15.7,3.31,59.0
2014-02-16,#N/A,#N/A,#N/A,-5.5,-11.0,4.62,88.8
2014-02-17,#N/A,#N/A,#N/A,-4.4,-8.5,6.40,99.9
2014-02-18,#N/A,#N/A,#N/A,1.5,-5.0,5.78,66.2
2014-02-19,#N/A,#N/A,#N/A,2.6,-3.9,3.75,48.8
2014-02-20,#N/A,#N/A,#N/A,2.9,0.1,5.68,99.9
2014-02-21,#N/A,#N/A,#N/A,-0.3,-7.7,10.66,69.4
2014-02-22,#N/A,#N/A,#N/A,-2.7,-12.0,5.29,63.3
2014-02-23,#N/A,#N/A,#N/A,-6.2,-14.8,5.66,52.5
2014-02-24,#N/A,#N/A,#N/A,-7.6,-15.4,5.48,52.7
2014-02-25,#N/A,#N/A,#N/A,-8.8,-16.6,5.72,59.4
2014-02-26,#N/A,#N/A,#N/A,-13.0,-21.3,6.80,39.4
2014-02-27,#N/A,#N/A,#N/A,-12.7,-23.5,5.50,27.8
2014-02-28,#N/A,#N/A,#N/A,-8.3,-17.0,3.97,68.1
2014-03-01,#N/A,#N/A,#N/A,-6.2,-11.3,4.04,99.8
2014-03-02,#N/A,#N/A,#N/A,-13.0,-20.2,4.98,97.7
2014-03-03,#N/A,#N/A,#N/A,-13.1,-20.7,2.54,68.5
2014-03-04,#N/A,#N/A,#N/A,-7.3,-15.4,2.59,92.3
2014-03-05,#N/A,#N/A,#N/A,-6.2,-11.3,5.30,99.7
