Daily data for a single station.
StationID:,725337-04807
StationName:,"GARY/CHICAGO AIRPORT"
Lat&Long:,41.617,-87.410
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,#N/A,#N/A,4.66,#N/A
2014-01-02,#N/A,#N/A,#N/A,#N/A,#N/A,7.53,#N/A
2014-01-03,#N/A,#N/A,#N/A,#N/A,#N/A,4.52,#N/A
2014-01-04,#N/A,#N/A,#N/A,#N/A,#N/A,4.89,#N/A
2014-01-05,#N/A,#N/A,#N/A,#N/A,#N/A,9.14,#N/A
2014-01-06,#N/A,#N/A,#N/A,#N/A,#N/A,12.05,#N/A
2014-01-07,#N/A,#N/A,#N/A,#N/A,#N/A,5.24,#N/A
2014-01-08,#N/A,#N/A,#N/A,#N/A,#N/A,0.62,#N/A
2014-01-09,#N/A,#N/A,#N/A,#N/A,#N/A,2.30,#N/A
2014-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,4.19,#N/A
2014-01-11,#N/A,#N/A,#N/A,#N/A,#N/A,5.86,#N/A
2014-01-12,#N/A,#N/A,#N/A,#N/A,#N/A,6.00,#N/A
2014-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,5.51,#N/A
2014-01-14,#N/A,#N/A,#N/A,#N/A,#N/A,6.97,#N/A
2014-01-15,#N/A,#N/A,#N/A,#N/A,#N/A,5.11,#N/A
2014-01-16,#N/A,#N/A,#N/A,#N/A,#N/A,6.31,#N/A
2014-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,5.34,#N/A
2014-01-18,#N/A,#N/A,#N/A,#N/A,#N/A,2.86,#N/A
2014-01-19,#N/A,#N/A,#N/A,#N/A,#N/A,5.56,#N/A
2014-01-20,#N/A,#N/A,#N/A,#N/A,#N/A,4.68,#N/A
2014-01-21,#N/A,#N/A,#N/A,#N/A,#N/A,5.76,#N/A
