Daily data for a single station.
StationID:,725347-14880
StationName:,"WAUKEGAN REGIONAL AIRPORT"
Lat&Long:,42.417,-87.860
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-9.4,-11.2,4.53,100.0
2014-01-02,#N/A,#N/A,#N/A,-10.3,-13.8,4.48,63.5
2014-01-03,#N/A,#N/A,#N/A,-14.3,-18.4,5.98,24.2
2014-01-04,#N/A,#N/A,#N/A,-3.8,-6.7,6.54,63.5
2014-01-05,#N/A,#N/A,#N/A,-11.4,-15.3,5.70,100.0
2014-01-06,#N/A,#N/A,#N/A,-24.8,-30.1,5.20,17.3
2014-01-07,#N/A,#N/A,#N/A,-21.7,-26.2,3.05,1.0
2014-01-08,#N/A,#N/A,#N/A,-18.2,-22.5,1.28,4.0
2014-01-09,#N/A,#N/A,#N/A,-13.8,-15.8,2.44,58.1
2014-01-10,#N/A,#N/A,#N/A,-0.4,-0.7,3.93,100.0
2014-01-11,#N/A,#N/A,#N/A,1.2,-0.6,4.19,100.0
2014-01-12,#N/A,#N/A,#N/A,01.0,-2.7,6.21,36.0
2014-01-13,#N/A,#N/A,#N/A,2.7,-1.1,3.62,17.3
2014-01-14,#N/A,#N/A,#N/A,-2.7,-5.6,4.89,73.8
2014-01-15,#N/A,#N/A,#N/A,-9.3,-13.2,4.24,50.9
2014-01-16,#N/A,#N/A,#N/A,-3.5,-6.4,6.86,90.5
2014-01-17,#N/A,#N/A,#N/A,-9.7,-14.0,3.21,87.2
2014-01-18,#N/A,#N/A,#N/A,-9.3,-11.6,2.28,81.3
2014-01-19,#N/A,#N/A,#N/A,-4.6,-8.0,4.76,17.6
2014-01-20,#N/A,#N/A,#N/A,-4.3,-6.5,3.88,100.0
2014-01-21,#N/A,#N/A,#N/A,-16.1,-21.4,4.35,20.1
2014-01-22,#N/A,#N/A,#N/A,-15.2,-19.4,3.90,81.6
2014-01-23,#N/A,#N/A,#N/A,-17.1,-22.5,4.43,21.5
2014-01-24,#N/A,#N/A,#N/A,-12.2,-16.9,9.36,64.4
2014-01-25,#N/A,#N/A,#N/A,-8.5,-15.7,4.90,22.2
2014-01-26,#N/A,#N/A,#N/A,-9.5,-13.7,4.30,81.3
2014-01-27,#N/A,#N/A,#N/A,-19.3,-25.5,4.79,20.3
2014-01-28,#N/A,#N/A,#N/A,-20.8,-26.2,3.47,0.0
2014-01-29,#N/A,#N/A,#N/A,-12.0,-19.2,5.05,0.0
2014-01-30,#N/A,#N/A,#N/A,-3.4,-9.1,8.99,58.1
2014-01-31,#N/A,#N/A,#N/A,-8.0,-13.6,1.84,30.2
2014-02-01,#N/A,#N/A,#N/A,-5.6,-7.2,2.51,85.6
2014-02-02,#N/A,#N/A,#N/A,-11.0,-15.4,2.28,14.4
2014-02-03,#N/A,#N/A,#N/A,-13.3,-19.1,1.44,0.0
2014-02-04,#N/A,#N/A,#N/A,-8.7,-12.8,2.11,61.0
2014-02-05,#N/A,#N/A,#N/A,-7.9,-10.5,4.74,88.7
2014-02-06,#N/A,#N/A,#N/A,-15.9,-20.2,3.05,32.9
2014-02-07,#N/A,#N/A,#N/A,-16.3,-21.0,3.86,5.2
2014-02-08,#N/A,#N/A,#N/A,-12.2,-15.1,2.08,83.6
2014-02-09,#N/A,#N/A,#N/A,-11.6,-15.3,2.24,23.5
2014-02-10,#N/A,#N/A,#N/A,-16.7,-22.8,2.94,0.0
2014-02-11,#N/A,#N/A,#N/A,-17.0,-22.1,1.70,4.5
2014-02-12,#N/A,#N/A,#N/A,-10.6,-16.0,2.56,75.2
2014-02-13,#N/A,#N/A,#N/A,-4.6,-10.5,4.46,89.2
2014-02-14,#N/A,#N/A,#N/A,-9.0,-13.3,2.87,22.0
2014-02-15,#N/A,#N/A,#N/A,-10.0,-14.9,2.80,34.0
2014-02-16,#N/A,#N/A,#N/A,-6.8,-10.2,3.13,90.8
2014-02-17,#N/A,#N/A,#N/A,-5.5,-7.2,5.40,94.8
