Daily data for a single station.
StationID:,725360-94830
StationName:,"TOLEDO EXPRESS AIRPORT"
Lat&Long:,41.587,-83.800
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-8.9,-10.9,3.78,100.0
2014-01-02,#N/A,#N/A,#N/A,-11.0,-13.7,7.05,95.4
2014-01-03,#N/A,#N/A,#N/A,-15.9,-20.6,3.01,15.1
2014-01-04,#N/A,#N/A,#N/A,-4.9,-11.2,5.05,32.1
2014-01-05,#N/A,#N/A,#N/A,-1.4,-2.7,3.05,100.0
2014-01-06,#N/A,#N/A,#N/A,-18.7,-22.3,10.61,45.5
2014-01-07,#N/A,#N/A,#N/A,-21.5,-25.5,6.71,0.0
2014-01-08,#N/A,#N/A,#N/A,-14.7,-17.6,1.36,21.7
2014-01-09,#N/A,#N/A,#N/A,-12.2,-14.1,1.26,45.5
2014-01-10,#N/A,#N/A,#N/A,1.1,0.3,2.01,100.0
2014-01-11,#N/A,#N/A,#N/A,3.5,2.8,6.16,100.0
2014-01-12,#N/A,#N/A,#N/A,1.2,-2.0,5.55,62.4
2014-01-13,#N/A,#N/A,#N/A,5.7,1.1,5.32,29.2
2014-01-14,#N/A,#N/A,#N/A,0.6,-2.8,4.67,50.5
2014-01-15,#N/A,#N/A,#N/A,-4.1,-9.1,7.09,97.4
2014-01-16,#N/A,#N/A,#N/A,-4.8,-7.8,5.24,100.0
2014-01-17,#N/A,#N/A,#N/A,-5.5,-9.0,4.72,88.1
2014-01-18,#N/A,#N/A,#N/A,-10.5,-13.0,2.85,59.6
2014-01-19,#N/A,#N/A,#N/A,-5.9,-9.0,5.68,55.4
2014-01-20,#N/A,#N/A,#N/A,-2.1,-6.2,4.73,99.7
2014-01-21,#N/A,#N/A,#N/A,-14.2,-19.6,5.38,31.2
2014-01-22,#N/A,#N/A,#N/A,-15.8,-19.1,2.32,79.0
2014-01-23,#N/A,#N/A,#N/A,-13.9,-16.9,5.57,63.0
2014-01-24,#N/A,#N/A,#N/A,-14.6,-19.2,7.26,56.2
2014-01-25,#N/A,#N/A,#N/A,-7.6,-10.8,6.85,93.7
2014-01-26,#N/A,#N/A,#N/A,-8.9,-12.3,4.39,95.4
2014-01-27,#N/A,#N/A,#N/A,-13.8,-17.8,8.86,47.5
2014-01-28,#N/A,#N/A,#N/A,-19.8,-24.9,4.58,0.0
2014-01-29,#N/A,#N/A,#N/A,-14.2,-19.9,5.87,0.0
2014-01-30,#N/A,#N/A,#N/A,-7.6,-13.9,5.18,37.0
2014-01-31,#N/A,#N/A,#N/A,-1.1,-4.9,2.96,99.4
2014-02-01,#N/A,#N/A,#N/A,-0.1,-0.7,2.52,100.0
2014-02-02,#N/A,#N/A,#N/A,-4.2,-7.2,3.14,94.3
