Daily data for a single station.
StationID:,725370-94847
StationName:,"DETROIT METRO WAYNE COUNT"
Lat&Long:,42.231,-83.330
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-10.0,-12.3,3.76,100.0
2014-01-02,#N/A,#N/A,#N/A,-11.1,-14.2,7.11,93.5
2014-01-03,#N/A,#N/A,#N/A,-15.0,-19.9,3.89,39.2
2014-01-04,#N/A,#N/A,#N/A,-5.6,-11.3,6.32,78.1
2014-01-05,#N/A,#N/A,#N/A,-1.8,-3.2,2.87,100.0
2014-01-06,#N/A,#N/A,#N/A,-16.1,-20.1,9.38,76.5
2014-01-07,#N/A,#N/A,#N/A,-21.6,-25.9,8.50,56.6
2014-01-08,#N/A,#N/A,#N/A,-15.2,-18.5,3.32,85.6
2014-01-09,#N/A,#N/A,#N/A,-11.6,-13.7,0.94,86.5
2014-01-10,#N/A,#N/A,#N/A,0.6,-0.2,2.62,100.0
2014-01-11,#N/A,#N/A,#N/A,3.4,2.1,5.64,100.0
2014-01-12,#N/A,#N/A,#N/A,1.5,-2.2,5.95,85.2
2014-01-13,#N/A,#N/A,#N/A,4.7,0.7,5.56,74.5
2014-01-14,#N/A,#N/A,#N/A,1.0,-2.9,4.26,76.6
2014-01-15,#N/A,#N/A,#N/A,-3.3,-8.2,7.10,97.4
2014-01-16,#N/A,#N/A,#N/A,-4.6,-7.8,6.80,100.0
2014-01-17,#N/A,#N/A,#N/A,-3.2,-6.8,4.43,99.4
2014-01-18,#N/A,#N/A,#N/A,-9.9,-12.9,3.50,87.1
2014-01-19,#N/A,#N/A,#N/A,-5.4,-8.4,6.71,97.1
2014-01-20,#N/A,#N/A,#N/A,-4.5,-8.5,4.31,100.0
2014-01-21,#N/A,#N/A,#N/A,-13.7,-19.4,4.14,74.4
2014-01-22,#N/A,#N/A,#N/A,-15.3,-18.8,2.98,81.0
2014-01-23,#N/A,#N/A,#N/A,-13.0,-16.8,3.55,75.1
2014-01-24,#N/A,#N/A,#N/A,-14.2,-18.0,9.55,94.6
2014-01-25,#N/A,#N/A,#N/A,-7.8,-11.5,7.65,96.2
2014-01-26,#N/A,#N/A,#N/A,-10.1,-13.2,4.39,94.3
2014-01-27,#N/A,#N/A,#N/A,-13.1,-18.3,6.71,67.7
2014-01-28,#N/A,#N/A,#N/A,-19.0,-23.7,5.92,36.0
2014-01-29,#N/A,#N/A,#N/A,-14.3,-20.0,6.91,27.1
2014-01-30,#N/A,#N/A,#N/A,-8.2,-13.6,7.07,77.3
2014-01-31,#N/A,#N/A,#N/A,-1.1,-5.2,3.96,99.6
2014-02-01,#N/A,#N/A,#N/A,-0.9,-1.6,2.09,100.0
2014-02-02,#N/A,#N/A,#N/A,-4.5,-7.9,2.97,99.6
2014-02-03,#N/A,#N/A,#N/A,-8.0,-12.9,1.60,48.5
2014-02-04,#N/A,#N/A,#N/A,-8.3,-12.0,1.59,92.5
2014-02-05,#N/A,#N/A,#N/A,-6.7,-9.9,5.48,86.5
2014-02-06,#N/A,#N/A,#N/A,-11.8,-15.3,4.67,97.8
2014-02-07,#N/A,#N/A,#N/A,-15.8,-20.5,6.05,53.5
2014-02-08,#N/A,#N/A,#N/A,-11.9,-15.5,3.03,95.9
2014-02-09,#N/A,#N/A,#N/A,-8.2,-12.0,2.42,97.3
2014-02-10,#N/A,#N/A,#N/A,-9.0,-13.9,3.66,89.9
2014-02-11,#N/A,#N/A,#N/A,-12.1,-16.9,2.26,71.2
2014-02-12,#N/A,#N/A,#N/A,-12.6,-17.0,0.78,56.6
2014-02-13,#N/A,#N/A,#N/A,-6.6,-12.6,1.53,70.6
