Daily data for a single station.
StationID:,725375-14822
StationName:,"DETROIT CITY AIRPORT"
Lat&Long:,42.409,-83.010
Elevation:,-999.900
Starts(YMD):,2015-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2015-01-01,#N/A,#N/A,#N/A,-3.6,-13.0,7.23,47.4
2015-01-02,#N/A,#N/A,#N/A,-0.2,-8.1,2.98,53.8
2015-01-03,#N/A,#N/A,#N/A,01.0,-1.4,2.92,79.2
2015-01-04,#N/A,#N/A,#N/A,0.6,-2.4,4.26,97.1
2015-01-05,#N/A,#N/A,#N/A,-11.0,-17.7,5.80,85.2
2015-01-06,#N/A,#N/A,#N/A,-9.7,-15.0,4.54,82.0
2015-01-07,#N/A,#N/A,#N/A,-12.0,-19.9,5.60,35.7
2015-01-08,#N/A,#N/A,#N/A,-13.5,-18.9,7.27,75.5
2015-01-09,#N/A,#N/A,#N/A,-9.7,-15.2,6.36,82.4
2015-01-10,#N/A,#N/A,#N/A,-12.9,-18.8,6.07,61.6
2015-01-11,#N/A,#N/A,#N/A,-2.6,-9.6,4.36,100.0
2015-01-12,#N/A,#N/A,#N/A,-3.0,-7.5,4.18,86.9
2015-01-13,#N/A,#N/A,#N/A,-13.0,-18.4,3.06,29.4
2015-01-14,#N/A,#N/A,#N/A,-11.4,-16.0,1.95,60.5
2015-01-15,#N/A,#N/A,#N/A,-7.0,-12.1,4.67,55.1
2015-01-16,#N/A,#N/A,#N/A,-3.3,-9.9,3.56,72.5
2015-01-17,#N/A,#N/A,#N/A,0.2,-5.3,6.20,37.7
2015-01-18,#N/A,#N/A,#N/A,3.6,-0.9,4.93,95.7
2015-01-19,#N/A,#N/A,#N/A,0.7,-4.7,2.49,100.0
2015-01-20,#N/A,#N/A,#N/A,-2.2,-5.8,2.68,96.9
2015-01-21,#N/A,#N/A,#N/A,-3.7,-7.2,2.52,100.0
2015-01-22,#N/A,#N/A,#N/A,-2.9,-7.8,2.23,87.3
2015-01-23,#N/A,#N/A,#N/A,-1.8,-6.6,4.39,57.1
2015-01-24,#N/A,#N/A,#N/A,0.3,-3.6,3.79,94.6
2015-01-25,#N/A,#N/A,#N/A,-3.5,-9.5,4.94,81.5
2015-01-26,#N/A,#N/A,#N/A,-7.3,-13.9,3.56,14.3
2015-01-27,#N/A,#N/A,#N/A,-6.4,-12.5,3.38,9.6
2015-01-28,#N/A,#N/A,#N/A,-5.6,-11.5,2.67,1.0
2015-01-29,#N/A,#N/A,#N/A,0.1,-5.5,4.27,99.8
2015-01-30,#N/A,#N/A,#N/A,-7.3,-15.2,5.02,45.1
2015-01-31,#N/A,#N/A,#N/A,-3.0,-9.0,2.84,85.4
2015-02-01,#N/A,#N/A,#N/A,-4.5,-7.6,5.54,100.0
2015-02-02,#N/A,#N/A,#N/A,-8.8,-15.2,5.19,33.9
2015-02-03,#N/A,#N/A,#N/A,-8.0,-12.7,4.69,66.7
2015-02-04,#N/A,#N/A,#N/A,-2.3,-6.4,4.06,95.8
2015-02-05,#N/A,#N/A,#N/A,-11.0,-18.3,3.90,1.0
2015-02-06,#N/A,#N/A,#N/A,-5.4,-12.1,5.01,65.4
2015-02-07,#N/A,#N/A,#N/A,0.9,-4.5,2.20,29.0
2015-02-08,#N/A,#N/A,#N/A,1.3,-2.1,3.11,82.7
2015-02-09,#N/A,#N/A,#N/A,-6.0,-10.4,5.02,99.0
2015-02-10,#N/A,#N/A,#N/A,-6.4,-10.9,2.78,52.2
2015-02-11,#N/A,#N/A,#N/A,-2.9,-6.3,4.01,99.8
2015-02-12,#N/A,#N/A,#N/A,-9.5,-17.3,4.88,43.1
2015-02-13,#N/A,#N/A,#N/A,-10.5,-16.3,4.69,54.9
2015-02-14,#N/A,#N/A,#N/A,-9.2,-14.8,6.73,80.8
2015-02-15,#N/A,#N/A,#N/A,-17.9,-25.7,3.97,0.0
2015-02-16,#N/A,#N/A,#N/A,-16.9,-22.0,1.52,45.8
2015-02-17,#N/A,#N/A,#N/A,-10.7,-15.7,3.32,93.4
2015-02-18,#N/A,#N/A,#N/A,-10.7,-16.2,3.87,74.3
2015-02-19,#N/A,#N/A,#N/A,-16.6,-24.9,4.22,34.8
2015-02-20,#N/A,#N/A,#N/A,-15.7,-23.2,4.01,29.0
2015-02-21,#N/A,#N/A,#N/A,-6.8,-11.2,1.90,87.3
2015-02-22,#N/A,#N/A,#N/A,-5.3,-11.0,3.73,84.4
2015-02-23,#N/A,#N/A,#N/A,-15.1,-23.6,3.83,0.0
2015-02-24,#N/A,#N/A,#N/A,-10.1,-16.7,7.28,53.8
2015-02-25,#N/A,#N/A,#N/A,-8.7,-16.3,2.92,22.5
2015-02-26,#N/A,#N/A,#N/A,-11.3,-17.6,3.34,78.3
2015-02-27,#N/A,#N/A,#N/A,-11.9,-19.2,1.46,22.8
2015-02-28,#N/A,#N/A,#N/A,-10.0,-17.2,2.68,8.3
2015-03-01,#N/A,#N/A,#N/A,-6.0,-10.1,2.00,82.0
2015-03-02,#N/A,#N/A,#N/A,-2.6,-11.2,3.16,17.5
2015-03-03,#N/A,#N/A,#N/A,-1.4,-5.4,4.65,93.0
2015-03-04,#N/A,#N/A,#N/A,-0.5,-9.5,4.82,51.0
2015-03-05,#N/A,#N/A,#N/A,-9.7,-18.8,3.04,1.0
2015-03-06,#N/A,#N/A,#N/A,-8.1,-15.6,5.28,27.1
2015-03-07,#N/A,#N/A,#N/A,0.0,-7.1,4.62,58.9
2015-03-08,#N/A,#N/A,#N/A,3.0,-4.9,3.63,25.8
2015-03-09,#N/A,#N/A,#N/A,3.2,-3.3,2.66,0.0
2015-03-10,#N/A,#N/A,#N/A,5.0,1.1,2.56,54.3
2015-03-11,#N/A,#N/A,#N/A,7.4,-2.5,2.99,0.0
2015-03-12,#N/A,#N/A,#N/A,2.5,-7.3,2.98,0.0
2015-03-13,#N/A,#N/A,#N/A,4.8,-3.3,2.50,17.4
2015-03-14,#N/A,#N/A,#N/A,7.3,2.2,5.09,93.0
2015-03-15,#N/A,#N/A,#N/A,6.5,-1.2,3.75,42.7
2015-03-16,#N/A,#N/A,#N/A,12.3,4.2,3.29,5.0
2015-03-17,#N/A,#N/A,#N/A,5.1,-8.6,6.32,21.0
2015-03-18,#N/A,#N/A,#N/A,3.2,-9.7,3.84,0.0
2015-03-19,#N/A,#N/A,#N/A,0.6,-8.3,2.86,24.6
2015-03-20,#N/A,#N/A,#N/A,5.2,-4.3,3.22,79.0
2015-03-21,#N/A,#N/A,#N/A,5.5,-1.2,4.68,61.6
2015-03-22,#N/A,#N/A,#N/A,-1.8,-12.2,3.06,21.2
2015-03-23,#N/A,#N/A,#N/A,-2.6,-10.6,3.39,50.3
2015-03-24,#N/A,#N/A,#N/A,-1.3,-9.6,3.20,10.2
2015-03-25,#N/A,#N/A,#N/A,6.0,1.2,5.20,64.0
2015-03-26,#N/A,#N/A,#N/A,5.2,-2.0,3.25,100.0
2015-03-27,#N/A,#N/A,#N/A,-3.7,-11.0,5.01,75.8
2015-03-28,#N/A,#N/A,#N/A,-2.6,-12.1,3.07,43.8
2015-03-29,#N/A,#N/A,#N/A,2.3,-7.2,6.80,37.3
