Daily data for a single station.
StationID:,725376-14853
StationName:,"WILLOW RUN AIRPORT"
Lat&Long:,42.233,-83.530
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-8.5,-12.7,4.47,100.0
2014-01-02,#N/A,#N/A,#N/A,-9.6,-14.3,7.81,90.2
2014-01-03,#N/A,#N/A,#N/A,-14.4,-20.6,4.07,17.5
2014-01-04,#N/A,#N/A,#N/A,-4.2,-11.2,6.63,25.0
2014-01-05,#N/A,#N/A,#N/A,-0.8,-3.9,3.41,100.0
2014-01-06,#N/A,#N/A,#N/A,-15.2,-20.7,8.83,74.8
2014-01-07,#N/A,#N/A,#N/A,-20.9,-26.6,7.35,23.6
2014-01-08,#N/A,#N/A,#N/A,-15.8,-19.7,2.42,23.0
2014-01-09,#N/A,#N/A,#N/A,-11.8,-15.7,0.87,50.9
2014-01-10,#N/A,#N/A,#N/A,1.6,-0.8,2.73,100.0
2014-01-11,#N/A,#N/A,#N/A,4.8,1.8,5.95,100.0
2014-01-12,#N/A,#N/A,#N/A,2.6,-2.4,6.18,48.6
2014-01-13,#N/A,#N/A,#N/A,5.7,0.3,6.27,22.7
2014-01-14,#N/A,#N/A,#N/A,1.9,-3.5,4.78,48.9
2014-01-15,#N/A,#N/A,#N/A,-2.4,-8.5,6.54,89.3
2014-01-16,#N/A,#N/A,#N/A,-3.3,-7.9,6.25,100.0
2014-01-17,#N/A,#N/A,#N/A,-2.2,-7.3,4.56,98.8
2014-01-18,#N/A,#N/A,#N/A,-9.0,-13.4,3.57,76.8
2014-01-19,#N/A,#N/A,#N/A,-4.0,-8.6,6.42,89.3
2014-01-20,#N/A,#N/A,#N/A,-3.1,-8.4,4.47,100.0
2014-01-21,#N/A,#N/A,#N/A,-13.5,-20.7,4.38,41.0
2014-01-22,#N/A,#N/A,#N/A,-14.7,-19.2,2.96,77.1
