Daily data for a single station.
StationID:,725377-14804
StationName:,"SELFRIDGE AIR NATIONAL GU"
Lat&Long:,42.608,-82.810
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-10.2,-13.8,3.57,88.3
2014-01-02,#N/A,#N/A,#N/A,-11.2,-14.3,7.60,91.2
2014-01-03,#N/A,#N/A,#N/A,-12.7,-18.5,4.63,40.8
2014-01-04,#N/A,#N/A,#N/A,-4.8,-10.8,6.16,74.5
2014-01-05,#N/A,#N/A,#N/A,-1.8,-2.2,3.48,100.0
2014-01-06,#N/A,#N/A,#N/A,-14.0,-17.9,7.97,80.9
2014-01-07,#N/A,#N/A,#N/A,-21.0,-25.9,6.67,33.9
2014-01-08,#N/A,#N/A,#N/A,-13.5,-17.7,2.98,49.8
2014-01-09,#N/A,#N/A,#N/A,-13.4,-15.4,1.04,45.5
2014-01-10,#N/A,#N/A,#N/A,0.0,-0.3,3.75,99.9
2014-01-11,#N/A,#N/A,#N/A,3.2,2.2,5.31,99.6
2014-01-12,#N/A,#N/A,#N/A,1.5,-2.1,5.72,79.6
2014-01-13,#N/A,#N/A,#N/A,4.0,0.9,4.62,59.4
2014-01-14,#N/A,#N/A,#N/A,0.8,-2.2,4.56,54.0
2014-01-15,#N/A,#N/A,#N/A,-3.0,-8.7,5.68,90.1
2014-01-16,#N/A,#N/A,#N/A,-4.7,-7.3,7.03,96.4
2014-01-17,#N/A,#N/A,#N/A,-1.9,-5.4,3.93,98.3
2014-01-18,#N/A,#N/A,#N/A,-8.5,-11.8,3.82,94.5
2014-01-19,#N/A,#N/A,#N/A,-4.9,-8.3,5.52,84.3
2014-01-20,#N/A,#N/A,#N/A,-6.1,-10.2,4.94,99.6
2014-01-21,#N/A,#N/A,#N/A,-13.8,-18.8,4.84,76.3
2014-01-22,#N/A,#N/A,#N/A,-14.5,-18.6,3.53,72.1
2014-01-23,#N/A,#N/A,#N/A,-12.8,-16.4,3.03,59.7
2014-01-24,#N/A,#N/A,#N/A,-13.2,-18.2,7.88,78.4
2014-01-25,#N/A,#N/A,#N/A,-8.1,-13.1,7.29,73.0
2014-01-26,#N/A,#N/A,#N/A,-11.0,-14.4,4.17,81.9
