Daily data for a single station.
StationID:,725394-04839
StationName:,"TULIP CITY AIRPORT"
Lat&Long:,42.746,-86.090
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-11.0,-14.6,4.07,100.0
2014-01-02,#N/A,#N/A,#N/A,-11.8,-16.5,4.05,72.9
2014-01-03,#N/A,#N/A,#N/A,-13.2,-18.2,5.27,49.8
2014-01-04,#N/A,#N/A,#N/A,-2.9,-6.2,7.07,56.2
2014-01-05,#N/A,#N/A,#N/A,-4.6,-6.4,3.83,100.0
2014-01-06,#N/A,#N/A,#N/A,-15.3,-18.6,7.04,99.5
2014-01-07,#N/A,#N/A,#N/A,-15.1,-18.3,7.49,100.0
2014-01-08,#N/A,#N/A,#N/A,-10.6,-13.9,3.14,100.0
2014-01-09,#N/A,#N/A,#N/A,-8.4,-11.5,3.51,89.4
2014-01-10,#N/A,#N/A,#N/A,0.4,-0.6,4.91,100.0
2014-01-11,#N/A,#N/A,#N/A,2.8,0.9,6.03,100.0
2014-01-12,#N/A,#N/A,#N/A,2.1,-2.8,6.57,43.8
2014-01-13,#N/A,#N/A,#N/A,4.4,-0.2,6.31,45.9
2014-01-14,#N/A,#N/A,#N/A,-1.0,-4.4,6.70,66.4
2014-01-15,#N/A,#N/A,#N/A,-4.6,-8.1,6.29,100.0
2014-01-16,#N/A,#N/A,#N/A,-4.0,-6.5,6.73,100.0
2014-01-17,#N/A,#N/A,#N/A,-5.3,-8.6,4.89,100.0
2014-01-18,#N/A,#N/A,#N/A,-7.1,-9.9,3.24,95.2
2014-01-19,#N/A,#N/A,#N/A,-2.2,-5.2,8.15,86.9
2014-01-20,#N/A,#N/A,#N/A,-4.4,-8.6,2.90,92.5
2014-01-21,#N/A,#N/A,#N/A,-12.4,-18.3,2.30,72.5
2014-01-22,#N/A,#N/A,#N/A,-11.8,-14.7,4.96,100.0
2014-01-23,#N/A,#N/A,#N/A,-11.5,-15.9,2.54,56.1
2014-01-24,#N/A,#N/A,#N/A,-9.8,-13.0,10.93,100.0
2014-01-25,#N/A,#N/A,#N/A,-6.8,-10.4,7.46,99.9
2014-01-26,#N/A,#N/A,#N/A,-8.8,-11.8,5.34,100.0
2014-01-27,#N/A,#N/A,#N/A,-14.1,-17.5,6.31,99.9
2014-01-28,#N/A,#N/A,#N/A,-13.7,-16.9,6.86,100.0
2014-01-29,#N/A,#N/A,#N/A,-10.2,-15.6,7.75,45.9
2014-01-30,#N/A,#N/A,#N/A,-4.0,-9.5,9.43,58.8
2014-01-31,#N/A,#N/A,#N/A,-4.5,-7.9,2.69,82.7
2014-02-01,#N/A,#N/A,#N/A,-4.5,-6.4,2.27,88.7
2014-02-02,#N/A,#N/A,#N/A,-7.3,-10.6,2.47,71.0
2014-02-03,#N/A,#N/A,#N/A,-12.9,-15.8,1.83,60.9
2014-02-04,#N/A,#N/A,#N/A,-8.8,-12.3,1.79,47.5
2014-02-05,#N/A,#N/A,#N/A,-6.9,-11.1,3.47,84.5
2014-02-06,#N/A,#N/A,#N/A,-10.0,-12.9,5.49,100.0
2014-02-07,#N/A,#N/A,#N/A,-11.3,-15.1,6.94,96.7
2014-02-08,#N/A,#N/A,#N/A,-9.7,-12.8,3.33,100.0
2014-02-09,#N/A,#N/A,#N/A,-8.1,-10.7,2.83,100.0
2014-02-10,#N/A,#N/A,#N/A,-10.1,-12.8,3.06,99.8
2014-02-11,#N/A,#N/A,#N/A,-13.3,-16.5,1.96,76.0
2014-02-12,#N/A,#N/A,#N/A,-12.4,-17.1,2.13,66.9
2014-02-13,#N/A,#N/A,#N/A,-4.7,-10.9,3.81,76.0
2014-02-14,#N/A,#N/A,#N/A,-5.0,-8.0,4.36,88.2
2014-02-15,#N/A,#N/A,#N/A,-8.8,-12.0,1.57,75.9
2014-02-16,#N/A,#N/A,#N/A,-7.2,-10.2,2.29,64.4
2014-02-17,#N/A,#N/A,#N/A,-8.7,-11.3,5.41,70.2
2014-02-18,#N/A,#N/A,#N/A,0.4,-4.9,5.60,40.1
2014-02-19,#N/A,#N/A,#N/A,1.3,-2.4,3.97,14.6
2014-02-20,#N/A,#N/A,#N/A,1.9,-0.8,6.31,87.5
2014-02-21,#N/A,#N/A,#N/A,-0.4,-5.2,13.39,67.7
2014-02-22,#N/A,#N/A,#N/A,-3.2,-8.8,7.18,16.5
2014-02-23,#N/A,#N/A,#N/A,-5.5,-10.8,6.33,22.7
2014-02-24,#N/A,#N/A,#N/A,-6.7,-11.5,5.06,99.9
2014-02-25,#N/A,#N/A,#N/A,-8.3,-12.5,4.49,99.6
2014-02-26,#N/A,#N/A,#N/A,-11.1,-15.0,7.82,99.3
2014-02-27,#N/A,#N/A,#N/A,-13.5,-17.5,5.15,91.2
2014-02-28,#N/A,#N/A,#N/A,-13.1,-19.3,4.24,58.3
2014-03-01,#N/A,#N/A,#N/A,-6.9,-10.4,2.97,98.6
2014-03-02,#N/A,#N/A,#N/A,-11.5,-15.5,2.69,70.5
2014-03-03,#N/A,#N/A,#N/A,-15.6,-21.4,1.50,0.0
2014-03-04,#N/A,#N/A,#N/A,-9.4,-14.1,2.66,95.6
2014-03-05,#N/A,#N/A,#N/A,-7.9,-13.4,3.46,39.2
2014-03-06,#N/A,#N/A,#N/A,-8.0,-13.5,3.69,2.2
2014-03-07,#N/A,#N/A,#N/A,-0.8,-7.8,3.99,22.7
2014-03-08,#N/A,#N/A,#N/A,-1.3,-5.6,3.62,68.6
2014-03-09,#N/A,#N/A,#N/A,-2.6,-6.5,6.14,18.9
2014-03-10,#N/A,#N/A,#N/A,4.9,0.1,6.57,9.2
2014-03-11,#N/A,#N/A,#N/A,4.4,0.3,2.04,65.2
2014-03-12,#N/A,#N/A,#N/A,-3.9,-8.8,4.77,39.7
2014-03-13,#N/A,#N/A,#N/A,-7.8,-12.3,3.31,40.1
2014-03-14,#N/A,#N/A,#N/A,5.0,-1.2,10.03,42.3
2014-03-15,#N/A,#N/A,#N/A,0.4,-6.6,4.17,81.5
2014-03-16,#N/A,#N/A,#N/A,-8.2,-15.9,4.91,10.0
2014-03-17,#N/A,#N/A,#N/A,-5.7,-13.6,4.27,12.3
2014-03-18,#N/A,#N/A,#N/A,1.2,-4.2,4.05,6.0
2014-03-19,#N/A,#N/A,#N/A,2.6,1.2,5.03,100.0
2014-03-20,#N/A,#N/A,#N/A,0.6,-3.3,4.21,63.3
2014-03-21,#N/A,#N/A,#N/A,2.0,-2.5,4.19,24.8
2014-03-22,#N/A,#N/A,#N/A,0.2,-3.8,4.29,71.9
2014-03-23,#N/A,#N/A,#N/A,-6.6,-12.5,3.21,69.4
2014-03-24,#N/A,#N/A,#N/A,-4.9,-10.9,4.16,37.9
2014-03-25,#N/A,#N/A,#N/A,-4.4,-10.5,5.44,88.5
2014-03-26,#N/A,#N/A,#N/A,-4.0,-10.1,3.04,53.5
2014-03-27,#N/A,#N/A,#N/A,4.8,1.3,6.04,99.8
2014-03-28,#N/A,#N/A,#N/A,3.9,0.6,5.99,88.4
2014-03-29,#N/A,#N/A,#N/A,2.1,-2.5,2.76,69.7
2014-03-30,#N/A,#N/A,#N/A,3.6,-4.1,1.79,0.0
2014-03-31,#N/A,#N/A,#N/A,11.4,0.1,5.62,17.5
2014-04-01,#N/A,#N/A,#N/A,4.9,-0.4,7.95,65.4
2014-04-02,#N/A,#N/A,#N/A,4.3,-2.8,1.42,12.5
2014-04-03,#N/A,#N/A,#N/A,4.2,-1.9,7.46,99.9
2014-04-04,#N/A,#N/A,#N/A,3.8,1.5,7.24,100.0
2014-04-05,#N/A,#N/A,#N/A,2.7,-4.2,3.92,33.5
2014-04-06,#N/A,#N/A,#N/A,6.5,-2.7,2.42,6.2
2014-04-07,#N/A,#N/A,#N/A,7.9,-1.1,2.63,15.2
2014-04-08,#N/A,#N/A,#N/A,5.8,0.6,3.55,40.4
2014-04-09,#N/A,#N/A,#N/A,8.9,-1.5,3.67,21.5
2014-04-10,#N/A,#N/A,#N/A,12.2,1.8,6.91,12.3
2014-04-11,#N/A,#N/A,#N/A,10.4,-2.5,2.03,17.9
2014-04-12,#N/A,#N/A,#N/A,12.5,3.6,3.97,51.7
2014-04-13,#N/A,#N/A,#N/A,13.9,10.2,3.76,63.8
2014-04-14,#N/A,#N/A,#N/A,5.6,2.2,7.37,99.6
2014-04-15,#N/A,#N/A,#N/A,-1.7,-9.1,4.21,39.5
2014-04-16,#N/A,#N/A,#N/A,3.5,-6.4,5.43,8.1
2014-04-17,#N/A,#N/A,#N/A,8.9,-0.1,4.94,18.5
2014-04-18,#N/A,#N/A,#N/A,7.7,1.4,2.66,30.0
2014-04-19,#N/A,#N/A,#N/A,9.7,-1.3,4.22,0.0
2014-04-20,#N/A,#N/A,#N/A,15.0,1.2,3.69,2.1
2014-04-21,#N/A,#N/A,#N/A,17.1,7.0,4.31,57.4
