Daily data for a single station.
StationID:,726360-14840
StationName:,"MUSKEGON COUNTY AIRPORT"
Lat&Long:,43.171,-86.230
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-10.8,-17.2,4.46,99.6
2014-01-02,#N/A,#N/A,#N/A,-11.5,-17.3,4.14,87.5
2014-01-03,#N/A,#N/A,#N/A,-11.1,-16.9,5.48,86.3
2014-01-04,#N/A,#N/A,#N/A,-1.2,-4.5,8.62,89.8
2014-01-05,#N/A,#N/A,#N/A,-5.0,-8.3,5.13,100.0
2014-01-06,#N/A,#N/A,#N/A,-15.4,-19.3,7.38,99.4
2014-01-07,#N/A,#N/A,#N/A,-14.3,-18.4,6.92,100.0
2014-01-08,#N/A,#N/A,#N/A,-9.5,-14.4,3.59,99.2
2014-01-09,#N/A,#N/A,#N/A,-9.0,-12.5,3.87,99.1
2014-01-10,#N/A,#N/A,#N/A,0.0,-1.9,4.71,100.0
2014-01-11,#N/A,#N/A,#N/A,2.3,-0.3,6.08,100.0
2014-01-12,#N/A,#N/A,#N/A,2.5,-3.6,7.01,93.4
2014-01-13,#N/A,#N/A,#N/A,3.2,-0.6,5.64,71.5
2014-01-14,#N/A,#N/A,#N/A,-01.0,-4.9,5.83,76.8
2014-01-15,#N/A,#N/A,#N/A,-4.5,-9.0,6.22,100.0
2014-01-16,#N/A,#N/A,#N/A,-2.9,-5.7,6.78,100.0
2014-01-17,#N/A,#N/A,#N/A,-5.0,-8.8,4.98,100.0
2014-01-18,#N/A,#N/A,#N/A,-5.0,-8.6,3.01,99.1
2014-01-19,#N/A,#N/A,#N/A,-1.6,-5.8,6.74,99.4
2014-01-20,#N/A,#N/A,#N/A,-5.4,-10.5,3.87,91.5
2014-01-21,#N/A,#N/A,#N/A,-11.7,-18.2,2.40,85.2
2014-01-22,#N/A,#N/A,#N/A,-10.6,-14.2,5.24,100.0
2014-01-23,#N/A,#N/A,#N/A,-11.3,-16.9,3.92,72.4
2014-01-24,#N/A,#N/A,#N/A,-7.6,-11.9,11.45,100.0
2014-01-25,#N/A,#N/A,#N/A,-7.2,-12.1,7.96,99.8
2014-01-26,#N/A,#N/A,#N/A,-9.3,-13.4,5.17,100.0
2014-01-27,#N/A,#N/A,#N/A,-14.4,-19.0,7.07,100.0
2014-01-28,#N/A,#N/A,#N/A,-13.5,-18.2,5.97,99.9
2014-01-29,#N/A,#N/A,#N/A,-9.0,-15.1,6.86,72.9
2014-01-30,#N/A,#N/A,#N/A,-3.2,-8.4,8.86,74.8
2014-01-31,#N/A,#N/A,#N/A,-6.0,-10.3,2.63,88.4
2014-02-01,#N/A,#N/A,#N/A,-5.4,-8.3,2.49,94.0
2014-02-02,#N/A,#N/A,#N/A,-7.6,-11.9,2.92,80.3
2014-02-03,#N/A,#N/A,#N/A,-10.6,-14.4,0.96,73.6
2014-02-04,#N/A,#N/A,#N/A,-8.5,-12.4,1.67,72.5
2014-02-05,#N/A,#N/A,#N/A,-7.2,-12.5,4.78,98.7
2014-02-06,#N/A,#N/A,#N/A,-10.1,-14.7,4.85,100.0
2014-02-07,#N/A,#N/A,#N/A,-10.5,-15.6,6.37,88.5
2014-02-08,#N/A,#N/A,#N/A,-8.5,-12.9,3.83,99.9
2014-02-09,#N/A,#N/A,#N/A,-8.0,-11.5,2.43,99.6
2014-02-10,#N/A,#N/A,#N/A,-10.4,-14.4,3.16,100.0
2014-02-11,#N/A,#N/A,#N/A,-12.5,-16.3,2.22,76.4
2014-02-12,#N/A,#N/A,#N/A,-11.6,-16.1,3.56,76.0
2014-02-13,#N/A,#N/A,#N/A,-4.2,-11.1,4.01,99.4
2014-02-14,#N/A,#N/A,#N/A,-4.8,-8.8,4.89,97.0
2014-02-15,#N/A,#N/A,#N/A,-8.0,-12.6,2.90,80.0
2014-02-16,#N/A,#N/A,#N/A,-6.0,-10.7,2.81,75.2
2014-02-17,#N/A,#N/A,#N/A,-8.5,-12.1,6.09,75.9
2014-02-18,#N/A,#N/A,#N/A,-0.8,-6.0,4.90,77.5
2014-02-19,#N/A,#N/A,#N/A,1.4,-2.9,4.24,32.2
2014-02-20,#N/A,#N/A,#N/A,2.0,-1.1,6.75,87.3
2014-02-21,#N/A,#N/A,#N/A,-0.8,-5.9,11.42,74.9
2014-02-22,#N/A,#N/A,#N/A,-3.2,-10.0,6.14,32.7
2014-02-23,#N/A,#N/A,#N/A,-5.8,-12.4,6.25,53.6
2014-02-24,#N/A,#N/A,#N/A,-7.6,-12.9,4.94,100.0
2014-02-25,#N/A,#N/A,#N/A,-8.7,-14.0,4.86,99.1
2014-02-26,#N/A,#N/A,#N/A,-11.2,-16.2,7.92,97.2
2014-02-27,#N/A,#N/A,#N/A,-13.6,-19.0,6.56,93.4
2014-02-28,#N/A,#N/A,#N/A,-12.9,-20.2,5.00,82.1
2014-03-01,#N/A,#N/A,#N/A,-7.7,-12.3,3.60,97.7
2014-03-02,#N/A,#N/A,#N/A,-12.2,-17.4,2.47,82.1
2014-03-03,#N/A,#N/A,#N/A,-14.4,-20.7,2.26,23.8
2014-03-04,#N/A,#N/A,#N/A,-8.9,-12.9,2.88,100.0
2014-03-05,#N/A,#N/A,#N/A,-8.7,-15.9,3.86,83.1
2014-03-06,#N/A,#N/A,#N/A,-8.4,-15.1,3.74,15.2
2014-03-07,#N/A,#N/A,#N/A,-1.9,-8.1,4.74,46.0
2014-03-08,#N/A,#N/A,#N/A,-2.4,-7.2,4.01,72.8
2014-03-09,#N/A,#N/A,#N/A,-3.2,-7.1,5.87,67.1
2014-03-10,#N/A,#N/A,#N/A,3.7,-0.7,5.14,46.5
2014-03-11,#N/A,#N/A,#N/A,3.8,-1.3,2.43,82.9
2014-03-12,#N/A,#N/A,#N/A,-4.0,-12.2,6.45,45.4
2014-03-13,#N/A,#N/A,#N/A,-7.2,-11.9,4.74,47.7
2014-03-14,#N/A,#N/A,#N/A,3.3,-1.5,8.44,69.4
2014-03-15,#N/A,#N/A,#N/A,-0.6,-8.3,6.20,83.5
2014-03-16,#N/A,#N/A,#N/A,-8.7,-18.1,4.92,23.5
2014-03-17,#N/A,#N/A,#N/A,-6.2,-15.2,4.26,47.9
2014-03-18,#N/A,#N/A,#N/A,1.2,-5.5,4.56,52.9
2014-03-19,#N/A,#N/A,#N/A,2.2,-0.2,5.05,100.0
2014-03-20,#N/A,#N/A,#N/A,0.6,-5.2,4.37,75.6
2014-03-21,#N/A,#N/A,#N/A,0.6,-4.8,4.12,43.8
