Daily data for a single station.
StationID:,726364-04883
StationName:,"MASON COUNTY AIRPORT"
Lat&Long:,43.963,-86.400
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-11.9,-16.4,2.61,65.8
2014-01-02,#N/A,#N/A,#N/A,-12.6,-18.1,2.85,94.3
2014-01-03,#N/A,#N/A,#N/A,-10.7,-13.5,4.23,99.9
2014-01-04,#N/A,#N/A,#N/A,-1.3,-3.7,7.62,94.9
2014-01-05,#N/A,#N/A,#N/A,-6.5,-9.4,3.07,100.0
2014-01-06,#N/A,#N/A,#N/A,-16.4,-19.2,6.13,100.0
2014-01-07,#N/A,#N/A,#N/A,-16.1,-19.1,5.18,100.0
2014-01-08,#N/A,#N/A,#N/A,-11.7,-14.9,2.70,100.0
2014-01-09,#N/A,#N/A,#N/A,-9.7,-12.4,2.76,99.9
2014-01-10,#N/A,#N/A,#N/A,-01.0,-1.9,3.57,100.0
2014-01-11,#N/A,#N/A,#N/A,1.8,0.3,4.73,100.0
2014-01-12,#N/A,#N/A,#N/A,1.7,-1.8,6.02,57.5
2014-01-13,#N/A,#N/A,#N/A,2.6,0.1,4.43,75.8
2014-01-14,#N/A,#N/A,#N/A,-1.1,-3.7,3.32,83.7
2014-01-15,#N/A,#N/A,#N/A,-6.3,-8.8,4.96,100.0
2014-01-16,#N/A,#N/A,#N/A,-3.3,-4.8,5.65,100.0
2014-01-17,#N/A,#N/A,#N/A,-5.3,-6.7,3.67,100.0
2014-01-18,#N/A,#N/A,#N/A,-5.8,-7.4,1.20,100.0
2014-01-19,#N/A,#N/A,#N/A,-2.0,-4.6,5.35,98.4
2014-01-20,#N/A,#N/A,#N/A,-8.1,-11.3,3.31,100.0
2014-01-21,#N/A,#N/A,#N/A,-12.5,-15.1,1.52,100.0
2014-01-22,#N/A,#N/A,#N/A,-11.8,-14.2,3.51,100.0
2014-01-23,#N/A,#N/A,#N/A,-12.4,-16.2,2.58,63.9
2014-01-24,#N/A,#N/A,#N/A,-8.5,-11.0,9.92,99.7
2014-01-25,#N/A,#N/A,#N/A,-8.8,-12.5,6.30,100.0
2014-01-26,#N/A,#N/A,#N/A,-10.8,-14.0,4.23,100.0
2014-01-27,#N/A,#N/A,#N/A,-16.0,-19.7,5.67,100.0
2014-01-28,#N/A,#N/A,#N/A,-15.5,-18.8,4.97,100.0
2014-01-29,#N/A,#N/A,#N/A,-9.8,-13.8,6.49,58.9
2014-01-30,#N/A,#N/A,#N/A,-1.6,-5.2,8.30,73.5
2014-01-31,#N/A,#N/A,#N/A,-8.1,-11.2,2.28,94.5
2014-02-01,#N/A,#N/A,#N/A,-8.3,-9.9,1.18,95.8
2014-02-02,#N/A,#N/A,#N/A,-8.7,-12.1,1.83,81.6
2014-02-03,#N/A,#N/A,#N/A,-13.7,-16.5,1.09,52.9
2014-02-04,#N/A,#N/A,#N/A,-8.5,-11.6,1.01,15.1
2014-02-05,#N/A,#N/A,#N/A,-8.9,-13.3,3.89,98.8
2014-02-06,#N/A,#N/A,#N/A,-11.4,-14.8,4.26,100.0
2014-02-07,#N/A,#N/A,#N/A,-11.1,-15.1,5.64,79.7
2014-02-08,#N/A,#N/A,#N/A,-9.1,-12.8,2.45,93.1
2014-02-09,#N/A,#N/A,#N/A,-8.5,-11.3,1.52,99.9
2014-02-10,#N/A,#N/A,#N/A,-11.7,-14.4,1.85,100.0
2014-02-11,#N/A,#N/A,#N/A,-11.5,-14.4,2.25,100.0
2014-02-12,#N/A,#N/A,#N/A,-8.6,-11.0,3.77,94.0
2014-02-13,#N/A,#N/A,#N/A,-5.3,-9.8,3.28,97.7
2014-02-14,#N/A,#N/A,#N/A,-5.9,-8.0,4.12,100.0
2014-02-15,#N/A,#N/A,#N/A,-9.7,-12.6,1.93,71.3
2014-02-16,#N/A,#N/A,#N/A,-8.3,-11.0,2.16,48.5
2014-02-17,#N/A,#N/A,#N/A,-9.5,-12.4,4.78,66.8
2014-02-18,#N/A,#N/A,#N/A,-2.2,-5.6,3.75,50.3
2014-02-19,#N/A,#N/A,#N/A,0.6,-2.2,2.70,21.0
2014-02-20,#N/A,#N/A,#N/A,1.5,-0.7,6.26,79.7
2014-02-21,#N/A,#N/A,#N/A,-1.6,-5.1,11.24,97.6
2014-02-22,#N/A,#N/A,#N/A,-4.4,-9.8,6.44,64.1
2014-02-23,#N/A,#N/A,#N/A,-7.4,-12.8,5.66,91.5
2014-02-24,#N/A,#N/A,#N/A,-9.1,-13.9,3.96,99.9
2014-02-25,#N/A,#N/A,#N/A,-9.5,-14.8,4.17,99.7
2014-02-26,#N/A,#N/A,#N/A,-12.0,-17.1,6.99,99.6
2014-02-27,#N/A,#N/A,#N/A,-14.7,-20.2,5.44,99.5
2014-02-28,#N/A,#N/A,#N/A,-12.9,-19.6,3.82,92.2
2014-03-01,#N/A,#N/A,#N/A,-9.5,-12.1,3.03,100.0
2014-03-02,#N/A,#N/A,#N/A,-15.2,-19.5,2.47,62.2
2014-03-03,#N/A,#N/A,#N/A,-15.1,-18.8,2.11,68.9
2014-03-04,#N/A,#N/A,#N/A,-10.0,-12.7,2.24,86.0
2014-03-05,#N/A,#N/A,#N/A,-11.6,-15.9,2.23,0.0
2014-03-06,#N/A,#N/A,#N/A,-8.9,-14.9,2.99,0.0
