Daily data for a single station.
StationID:,726379-14845
StationName:,"MBS INTERNATIONAL AIRPORT"
Lat&Long:,43.533,-84.080
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-11.9,-16.9,3.50,85.5
2014-01-02,#N/A,#N/A,#N/A,-13.0,-17.0,6.55,75.0
2014-01-03,#N/A,#N/A,#N/A,-14.7,-20.0,4.81,38.8
2014-01-04,#N/A,#N/A,#N/A,-4.5,-9.7,6.98,50.8
2014-01-05,#N/A,#N/A,#N/A,-5.0,-6.6,6.43,100.0
2014-01-06,#N/A,#N/A,#N/A,-14.7,-18.4,7.28,78.3
2014-01-07,#N/A,#N/A,#N/A,-19.0,-22.8,6.94,44.8
2014-01-08,#N/A,#N/A,#N/A,-14.2,-17.6,3.84,71.6
2014-01-09,#N/A,#N/A,#N/A,-13.6,-16.4,1.37,51.2
2014-01-10,#N/A,#N/A,#N/A,-01.0,-2.8,3.30,100.0
2014-01-11,#N/A,#N/A,#N/A,2.9,1.2,6.02,100.0
2014-01-12,#N/A,#N/A,#N/A,1.5,-3.0,5.79,49.3
2014-01-13,#N/A,#N/A,#N/A,3.9,-1.1,4.33,38.4
2014-01-14,#N/A,#N/A,#N/A,3.9,-4.6,4.63,67.5
2014-01-15,#N/A,#N/A,#N/A,-4.4,-9.8,5.92,99.8
2014-01-16,#N/A,#N/A,#N/A,-5.0,-8.7,6.25,99.8
2014-01-17,#N/A,#N/A,#N/A,-3.9,-7.5,6.10,77.8
2014-01-18,#N/A,#N/A,#N/A,-6.4,-9.9,3.73,99.7
2014-01-19,#N/A,#N/A,#N/A,-4.3,-7.2,6.96,84.8
2014-01-20,#N/A,#N/A,#N/A,-8.1,-13.4,4.47,85.4
2014-01-21,#N/A,#N/A,#N/A,-15.4,-21.5,3.94,14.6
2014-01-22,#N/A,#N/A,#N/A,-14.4,-18.0,3.31,91.2
2014-01-23,#N/A,#N/A,#N/A,-13.3,-18.3,3.07,46.2
