Daily data for a single station.
StationID:,726387-14850
StationName:,"CHERRY CAPITAL AIRPORT"
Lat&Long:,44.741,-85.580
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-12.5,-17.7,3.04,97.5
2014-01-02,#N/A,#N/A,#N/A,-13.4,-18.2,3.17,99.8
2014-01-03,#N/A,#N/A,#N/A,-11.5,-16.1,2.85,84.7
2014-01-04,#N/A,#N/A,#N/A,-2.6,-6.4,4.02,99.9
2014-01-05,#N/A,#N/A,#N/A,-6.7,-10.8,4.64,100.0
2014-01-06,#N/A,#N/A,#N/A,-14.8,-18.2,6.50,99.7
2014-01-07,#N/A,#N/A,#N/A,-16.1,-19.7,4.87,99.4
2014-01-08,#N/A,#N/A,#N/A,-12.1,-16.2,3.37,100.0
2014-01-09,#N/A,#N/A,#N/A,-10.1,-14.6,2.40,95.8
2014-01-10,#N/A,#N/A,#N/A,-2.3,-4.6,2.18,100.0
2014-01-11,#N/A,#N/A,#N/A,1.8,-0.0,3.73,100.0
2014-01-12,#N/A,#N/A,#N/A,2.6,-3.8,3.90,90.0
2014-01-13,#N/A,#N/A,#N/A,3.6,-0.4,2.84,87.1
2014-01-14,#N/A,#N/A,#N/A,-1.1,-4.3,2.81,99.5
2014-01-15,#N/A,#N/A,#N/A,-6.5,-10.2,4.86,99.8
2014-01-16,#N/A,#N/A,#N/A,-4.8,-8.3,3.29,100.0
2014-01-17,#N/A,#N/A,#N/A,-4.4,-6.6,1.84,100.0
2014-01-18,#N/A,#N/A,#N/A,-5.2,-8.3,0.70,99.6
2014-01-19,#N/A,#N/A,#N/A,-3.4,-6.5,4.95,98.6
2014-01-20,#N/A,#N/A,#N/A,-10.4,-14.4,4.00,100.0
2014-01-21,#N/A,#N/A,#N/A,-14.5,-19.0,1.70,93.5
2014-01-22,#N/A,#N/A,#N/A,-12.2,-16.1,2.79,100.0
2014-01-23,#N/A,#N/A,#N/A,-13.8,-17.3,3.30,96.0
2014-01-24,#N/A,#N/A,#N/A,-9.3,-12.4,4.63,99.5
2014-01-25,#N/A,#N/A,#N/A,-10.5,-15.2,7.30,99.5
2014-01-26,#N/A,#N/A,#N/A,-12.5,-16.1,3.60,100.0
2014-01-27,#N/A,#N/A,#N/A,-16.3,-19.6,7.03,100.0
2014-01-28,#N/A,#N/A,#N/A,-15.7,-19.4,4.50,87.0
2014-01-29,#N/A,#N/A,#N/A,-10.7,-15.0,4.90,71.2
2014-01-30,#N/A,#N/A,#N/A,-3.7,-8.2,4.46,72.5
2014-01-31,#N/A,#N/A,#N/A,-8.7,-12.7,3.60,96.5
2014-02-01,#N/A,#N/A,#N/A,-9.7,-11.8,0.72,90.7
2014-02-02,#N/A,#N/A,#N/A,-8.1,-12.1,2.31,98.8
2014-02-03,#N/A,#N/A,#N/A,-9.6,-14.2,1.84,86.9
2014-02-04,#N/A,#N/A,#N/A,-8.5,-11.9,1.65,75.5
2014-02-05,#N/A,#N/A,#N/A,-10.0,-14.9,4.78,86.5
2014-02-06,#N/A,#N/A,#N/A,-11.5,-15.4,2.82,99.6
2014-02-07,#N/A,#N/A,#N/A,-11.5,-15.7,4.27,76.7
2014-02-08,#N/A,#N/A,#N/A,-12.7,-16.8,1.38,67.5
2014-02-09,#N/A,#N/A,#N/A,-9.4,-12.8,1.26,99.6
2014-02-10,#N/A,#N/A,#N/A,-13.0,-17.3,2.80,100.0
2014-02-11,#N/A,#N/A,#N/A,-13.4,-18.8,1.48,61.4
2014-02-12,#N/A,#N/A,#N/A,-8.1,-12.2,3.01,97.6
2014-02-13,#N/A,#N/A,#N/A,-4.2,-11.5,2.64,100.0
2014-02-14,#N/A,#N/A,#N/A,-6.9,-9.7,3.08,97.8
