Daily data for a single station.
StationID:,726395-14808
StationName:,"OSCODA-WURTSMITH AIRPORT"
Lat&Long:,44.450,-83.400
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-14.9,-17.5,3.08,67.7
2014-01-02,#N/A,#N/A,#N/A,-13.3,-16.2,6.09,81.8
2014-01-03,#N/A,#N/A,#N/A,-15.6,-19.8,5.58,44.2
2014-01-04,#N/A,#N/A,#N/A,-4.8,-9.4,6.27,69.4
2014-01-05,#N/A,#N/A,#N/A,-5.0,-7.6,4.45,100.0
2014-01-06,#N/A,#N/A,#N/A,-13.1,-17.1,6.65,88.8
2014-01-07,#N/A,#N/A,#N/A,-17.5,-22.1,7.65,53.5
2014-01-08,#N/A,#N/A,#N/A,-13.7,-17.6,3.79,50.6
2014-01-09,#N/A,#N/A,#N/A,-14.8,-17.6,2.69,31.7
2014-01-10,#N/A,#N/A,#N/A,-2.2,-3.1,2.47,100.0
2014-01-11,#N/A,#N/A,#N/A,2.9,1.9,4.91,100.0
2014-01-12,#N/A,#N/A,#N/A,1.5,-2.2,5.88,56.7
2014-01-13,#N/A,#N/A,#N/A,2.2,0.1,4.13,49.7
2014-01-14,#N/A,#N/A,#N/A,0.3,-2.5,2.71,84.7
2014-01-15,#N/A,#N/A,#N/A,-4.7,-8.8,5.50,98.3
2014-01-16,#N/A,#N/A,#N/A,-4.8,-7.7,5.44,99.2
2014-01-17,#N/A,#N/A,#N/A,-2.4,-4.3,3.84,100.0
2014-01-18,#N/A,#N/A,#N/A,-5.4,-7.6,2.69,100.0
2014-01-19,#N/A,#N/A,#N/A,-3.9,-6.4,5.76,99.5
2014-01-20,#N/A,#N/A,#N/A,-11.3,-16.7,4.18,61.5
2014-01-21,#N/A,#N/A,#N/A,-18.5,-23.0,2.73,25.8
2014-01-22,#N/A,#N/A,#N/A,-16.7,-19.6,1.82,76.3
2014-01-23,#N/A,#N/A,#N/A,-16.3,-19.4,3.49,53.7
2014-01-24,#N/A,#N/A,#N/A,-13.4,-16.8,7.56,75.0
2014-01-25,#N/A,#N/A,#N/A,-10.6,-16.1,6.37,68.3
2014-01-26,#N/A,#N/A,#N/A,-13.7,-16.5,4.20,77.8
2014-01-27,#N/A,#N/A,#N/A,-15.4,-21.2,5.94,45.8
2014-01-28,#N/A,#N/A,#N/A,-17.0,-21.5,6.24,20.3
2014-01-29,#N/A,#N/A,#N/A,-10.9,-16.1,6.58,53.0
2014-01-30,#N/A,#N/A,#N/A,-6.3,-11.5,7.91,58.8
2014-01-31,#N/A,#N/A,#N/A,-6.5,-10.8,2.59,62.0
2014-02-01,#N/A,#N/A,#N/A,-10.4,-12.1,1.58,61.3
2014-02-02,#N/A,#N/A,#N/A,-10.0,-13.0,2.53,61.1
2014-02-03,#N/A,#N/A,#N/A,-15.2,-18.7,2.12,29.7
2014-02-04,#N/A,#N/A,#N/A,-9.1,-11.9,2.35,32.4
2014-02-05,#N/A,#N/A,#N/A,-8.0,-12.6,5.39,51.9
2014-02-06,#N/A,#N/A,#N/A,-12.5,-16.8,4.30,73.0
2014-02-07,#N/A,#N/A,#N/A,-11.5,-16.7,7.03,33.7
2014-02-08,#N/A,#N/A,#N/A,-12.2,-16.0,3.37,4.1
2014-02-09,#N/A,#N/A,#N/A,-10.8,-13.5,1.12,90.1
