Daily data for a single station.
StationID:,726400-14839
StationName:,"GENERAL MITCHELL INTERNAT"
Lat&Long:,42.955,-87.900
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-10.6,-14.4,5.63,99.0
2014-01-02,#N/A,#N/A,#N/A,-10.7,-15.3,5.72,65.0
2014-01-03,#N/A,#N/A,#N/A,-13.4,-18.2,5.33,42.3
2014-01-04,#N/A,#N/A,#N/A,-3.6,-7.1,6.24,81.7
2014-01-05,#N/A,#N/A,#N/A,-11.7,-17.8,6.64,100.0
2014-01-06,#N/A,#N/A,#N/A,-23.8,-29.9,8.10,38.8
2014-01-07,#N/A,#N/A,#N/A,-21.4,-26.8,4.64,35.4
2014-01-08,#N/A,#N/A,#N/A,-16.8,-21.9,1.88,36.5
2014-01-09,#N/A,#N/A,#N/A,-12.1,-15.1,2.02,57.9
2014-01-10,#N/A,#N/A,#N/A,-0.7,-1.6,4.23,100.0
2014-01-11,#N/A,#N/A,#N/A,1.2,-0.9,5.47,99.7
2014-01-12,#N/A,#N/A,#N/A,0.8,-3.0,5.46,90.8
2014-01-13,#N/A,#N/A,#N/A,2.7,-1.2,3.65,63.0
2014-01-14,#N/A,#N/A,#N/A,-2.6,-5.5,5.98,88.0
2014-01-15,#N/A,#N/A,#N/A,-9.2,-13.4,5.60,69.6
2014-01-16,#N/A,#N/A,#N/A,-3.1,-6.2,6.45,93.7
2014-01-17,#N/A,#N/A,#N/A,-9.1,-13.2,5.25,80.0
2014-01-18,#N/A,#N/A,#N/A,-9.0,-11.8,2.55,74.4
2014-01-19,#N/A,#N/A,#N/A,-4.6,-8.6,5.57,72.9
2014-01-20,#N/A,#N/A,#N/A,-6.4,-9.5,5.61,99.9
2014-01-21,#N/A,#N/A,#N/A,-15.7,-21.9,5.34,50.2
2014-01-22,#N/A,#N/A,#N/A,-15.0,-19.9,5.12,77.0
2014-01-23,#N/A,#N/A,#N/A,-15.8,-21.6,6.50,35.8
2014-01-24,#N/A,#N/A,#N/A,-12.0,-17.3,8.96,78.1
2014-01-25,#N/A,#N/A,#N/A,-8.6,-16.4,7.14,38.3
2014-01-26,#N/A,#N/A,#N/A,-10.4,-14.2,5.05,98.6
2014-01-27,#N/A,#N/A,#N/A,-18.9,-25.9,7.67,21.9
2014-01-28,#N/A,#N/A,#N/A,-20.2,-26.3,5.76,0.0
2014-01-29,#N/A,#N/A,#N/A,-12.4,-19.7,5.60,24.6
2014-01-30,#N/A,#N/A,#N/A,-3.5,-9.2,7.64,91.3
