Daily data for a single station.
StationID:,726405-94869
StationName:,"LAWRENCE J TIMMERMAN AIRP"
Lat&Long:,43.109,-88.030
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-13.1,-17.1,4.18,100.0
2014-01-02,#N/A,#N/A,#N/A,-12.3,-17.1,4.95,50.0
2014-01-03,#N/A,#N/A,#N/A,-14.0,-18.8,5.41,25.7
2014-01-04,#N/A,#N/A,#N/A,-3.6,-7.6,5.82,70.9
2014-01-05,#N/A,#N/A,#N/A,-12.6,-18.5,6.45,98.0
2014-01-06,#N/A,#N/A,#N/A,-24.3,-30.8,7.83,25.5
2014-01-07,#N/A,#N/A,#N/A,-21.9,-27.9,5.37,0.0
2014-01-08,#N/A,#N/A,#N/A,-17.5,-22.6,1.68,0.0
2014-01-09,#N/A,#N/A,#N/A,-13.0,-16.5,1.69,42.1
2014-01-10,#N/A,#N/A,#N/A,-1.2,-2.7,3.14,97.7
2014-01-11,#N/A,#N/A,#N/A,0.8,-1.4,5.35,100.0
2014-01-12,#N/A,#N/A,#N/A,0.5,-3.5,5.33,31.0
2014-01-13,#N/A,#N/A,#N/A,1.9,-1.8,4.36,53.8
2014-01-14,#N/A,#N/A,#N/A,-2.5,-5.7,5.68,84.2
2014-01-15,#N/A,#N/A,#N/A,-9.7,-13.6,4.86,57.7
2014-01-16,#N/A,#N/A,#N/A,-3.6,-7.0,5.50,93.0
2014-01-17,#N/A,#N/A,#N/A,-9.9,-13.9,5.01,50.8
2014-01-18,#N/A,#N/A,#N/A,-9.3,-12.2,1.76,59.8
2014-01-19,#N/A,#N/A,#N/A,-5.0,-9.2,5.58,31.3
2014-01-20,#N/A,#N/A,#N/A,-7.3,-11.5,4.99,100.0
2014-01-21,#N/A,#N/A,#N/A,-16.5,-22.5,4.19,16.5
2014-01-22,#N/A,#N/A,#N/A,-15.1,-20.2,4.51,75.9
2014-01-23,#N/A,#N/A,#N/A,-16.2,-22.3,6.14,8.7
2014-01-24,#N/A,#N/A,#N/A,-11.8,-17.5,8.21,70.1
2014-01-25,#N/A,#N/A,#N/A,-9.2,-16.1,7.14,40.9
2014-01-26,#N/A,#N/A,#N/A,-11.0,-15.1,5.97,96.2
2014-01-27,#N/A,#N/A,#N/A,-19.5,-26.1,7.18,3.2
2014-01-28,#N/A,#N/A,#N/A,-20.6,-27.3,5.91,0.0
2014-01-29,#N/A,#N/A,#N/A,-12.4,-20.4,6.24,0.0
2014-01-30,#N/A,#N/A,#N/A,-3.5,-10.3,7.16,67.0
2014-01-31,#N/A,#N/A,#N/A,-10.4,-16.2,2.78,0.9
2014-02-01,#N/A,#N/A,#N/A,-9.7,-12.7,1.54,80.1
2014-02-02,#N/A,#N/A,#N/A,-11.4,-16.6,3.42,9.3
2014-02-03,#N/A,#N/A,#N/A,-12.8,-19.2,1.50,0.0
2014-02-04,#N/A,#N/A,#N/A,-9.9,-14.8,1.27,24.9
2014-02-05,#N/A,#N/A,#N/A,-8.6,-12.5,4.85,78.3
2014-02-06,#N/A,#N/A,#N/A,-16.0,-21.1,5.39,14.9
2014-02-07,#N/A,#N/A,#N/A,-15.0,-21.0,5.72,4.4
2014-02-08,#N/A,#N/A,#N/A,-12.8,-16.3,1.04,67.8
