Daily data for a single station.
StationID:,726419-94929
StationName:,"JOHN F KENNEDY MEMO ARPT"
Lat&Long:,46.549,-90.910
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-21.8,-25.3,2.22,79.9
2014-01-02,#N/A,#N/A,#N/A,-21.9,-25.3,2.42,10.1
2014-01-03,#N/A,#N/A,#N/A,-14.9,-19.9,5.26,76.9
2014-01-04,#N/A,#N/A,#N/A,-10.2,-14.5,4.55,76.4
2014-01-05,#N/A,#N/A,#N/A,-23.8,-27.9,3.51,45.2
2014-01-06,#N/A,#N/A,#N/A,-28.2,-32.7,5.29,88.3
2014-01-07,#N/A,#N/A,#N/A,-25.4,-30.0,4.66,5.1
2014-01-08,#N/A,#N/A,#N/A,-22.3,-27.1,3.66,12.1
2014-01-09,#N/A,#N/A,#N/A,-16.1,-21.2,3.58,42.5
2014-01-10,#N/A,#N/A,#N/A,-4.5,-7.0,2.61,87.4
2014-01-11,#N/A,#N/A,#N/A,-2.1,-4.6,3.49,99.6
2014-01-12,#N/A,#N/A,#N/A,-0.2,-4.0,3.89,72.9
2014-01-13,#N/A,#N/A,#N/A,-1.8,-6.6,3.27,87.3
2014-01-14,#N/A,#N/A,#N/A,-8.6,-12.4,4.34,94.4
2014-01-15,#N/A,#N/A,#N/A,-12.8,-17.1,4.45,83.9
2014-01-16,#N/A,#N/A,#N/A,-8.1,-10.7,4.74,100.0
2014-01-17,#N/A,#N/A,#N/A,-12.2,-15.2,3.10,76.0
2014-01-18,#N/A,#N/A,#N/A,-13.5,-17.5,1.97,25.8
2014-01-19,#N/A,#N/A,#N/A,-4.7,-7.8,5.11,99.8
2014-01-20,#N/A,#N/A,#N/A,-15.4,-19.1,5.01,78.4
2014-01-21,#N/A,#N/A,#N/A,-20.6,-25.0,2.67,68.5
2014-01-22,#N/A,#N/A,#N/A,-17.1,-20.9,5.45,100.0
2014-01-23,#N/A,#N/A,#N/A,-21.0,-25.4,4.04,28.2
2014-01-24,#N/A,#N/A,#N/A,-9.0,-13.3,6.29,99.1
2014-01-25,#N/A,#N/A,#N/A,-15.8,-22.0,5.76,64.2
2014-01-26,#N/A,#N/A,#N/A,-16.4,-20.2,3.45,100.0
2014-01-27,#N/A,#N/A,#N/A,-23.2,-28.6,5.78,52.3
2014-01-28,#N/A,#N/A,#N/A,-23.2,-28.7,6.38,41.0
2014-01-29,#N/A,#N/A,#N/A,-12.8,-20.3,6.65,24.6
2014-01-30,#N/A,#N/A,#N/A,-10.0,-15.8,3.96,52.1
2014-01-31,#N/A,#N/A,#N/A,-19.3,-25.1,3.97,0.0
2014-02-01,#N/A,#N/A,#N/A,-14.3,-18.4,2.67,78.1
2014-02-02,#N/A,#N/A,#N/A,-17.2,-22.1,3.78,11.7
2014-02-03,#N/A,#N/A,#N/A,-15.1,-19.1,2.89,11.0
2014-02-04,#N/A,#N/A,#N/A,-14.7,-19.0,3.15,17.4
2014-02-05,#N/A,#N/A,#N/A,-15.4,-19.5,3.52,95.0
2014-02-06,#N/A,#N/A,#N/A,-18.9,-24.1,5.25,14.4
2014-02-07,#N/A,#N/A,#N/A,-15.0,-22.3,6.45,0.0
2014-02-08,#N/A,#N/A,#N/A,-15.8,-20.1,2.35,1.0
2014-02-09,#N/A,#N/A,#N/A,-16.3,-21.7,3.54,47.4
2014-02-10,#N/A,#N/A,#N/A,-19.9,-25.3,3.08,36.9
2014-02-11,#N/A,#N/A,#N/A,-15.2,-22.6,4.74,12.5
2014-02-12,#N/A,#N/A,#N/A,-9.0,-14.8,3.41,46.4
2014-02-13,#N/A,#N/A,#N/A,-8.4,-11.4,2.74,83.1
2014-02-14,#N/A,#N/A,#N/A,-14.2,-18.1,2.89,61.0
2014-02-15,#N/A,#N/A,#N/A,-13.5,-16.2,2.86,89.8
2014-02-16,#N/A,#N/A,#N/A,-14.8,-17.2,3.72,61.5
2014-02-17,#N/A,#N/A,#N/A,-7.3,-9.9,2.32,91.8
2014-02-18,#N/A,#N/A,#N/A,-2.0,-6.6,3.18,33.0
2014-02-19,#N/A,#N/A,#N/A,0.5,-7.4,3.96,10.4
2014-02-20,#N/A,#N/A,#N/A,-0.4,-4.0,3.82,90.0
2014-02-21,#N/A,#N/A,#N/A,-7.2,-9.8,8.42,100.0
2014-02-22,#N/A,#N/A,#N/A,-11.9,-17.4,7.29,44.4
2014-02-23,#N/A,#N/A,#N/A,-12.4,-18.4,6.60,75.9
2014-02-24,#N/A,#N/A,#N/A,-13.4,-19.3,4.55,73.5
2014-02-25,#N/A,#N/A,#N/A,-17.7,-23.5,5.04,57.3
2014-02-26,#N/A,#N/A,#N/A,-17.4,-23.1,6.78,82.2
2014-02-27,#N/A,#N/A,#N/A,-22.6,-29.7,3.79,26.9
2014-02-28,#N/A,#N/A,#N/A,-18.8,-25.9,2.61,61.2
2014-03-01,#N/A,#N/A,#N/A,-20.0,-26.1,3.92,0.0
2014-03-02,#N/A,#N/A,#N/A,-22.1,-30.0,4.33,0.0
2014-03-03,#N/A,#N/A,#N/A,-17.7,-23.6,3.65,41.5
2014-03-04,#N/A,#N/A,#N/A,-14.0,-18.1,1.59,27.3
2014-03-05,#N/A,#N/A,#N/A,-17.1,-20.5,2.29,4.0
2014-03-06,#N/A,#N/A,#N/A,-6.8,-13.0,5.07,42.6
2014-03-07,#N/A,#N/A,#N/A,-2.1,-5.6,4.03,100.0
2014-03-08,#N/A,#N/A,#N/A,-6.6,-13.0,2.78,49.9
2014-03-09,#N/A,#N/A,#N/A,-0.0,-6.8,5.18,42.7
2014-03-10,#N/A,#N/A,#N/A,6.4,-2.2,4.67,8.1
2014-03-11,#N/A,#N/A,#N/A,2.0,-4.2,3.45,50.1
2014-03-12,#N/A,#N/A,#N/A,-11.9,-16.1,4.67,55.7
2014-03-13,#N/A,#N/A,#N/A,-1.9,-8.3,4.92,42.5
2014-03-14,#N/A,#N/A,#N/A,1.8,-2.5,5.78,76.9
2014-03-15,#N/A,#N/A,#N/A,-8.3,-13.0,3.82,51.4
2014-03-16,#N/A,#N/A,#N/A,-10.5,-18.4,1.42,33.2
2014-03-17,#N/A,#N/A,#N/A,-4.9,-11.1,3.58,100.0
2014-03-18,#N/A,#N/A,#N/A,-2.8,-4.6,3.45,100.0
2014-03-19,#N/A,#N/A,#N/A,-1.4,-4.6,3.71,100.0
2014-03-20,#N/A,#N/A,#N/A,-0.4,-7.1,1.51,62.1
2014-03-21,#N/A,#N/A,#N/A,-1.8,-3.7,2.53,95.2
2014-03-22,#N/A,#N/A,#N/A,-10.0,-14.7,4.92,62.4
2014-03-23,#N/A,#N/A,#N/A,-13.1,-19.0,3.45,0.0
2014-03-24,#N/A,#N/A,#N/A,-9.3,-16.7,5.08,33.4
2014-03-25,#N/A,#N/A,#N/A,-11.3,-18.7,5.20,59.2
2014-03-26,#N/A,#N/A,#N/A,-8.0,-15.1,2.79,50.0
2014-03-27,#N/A,#N/A,#N/A,-1.4,-3.2,5.12,100.0
2014-03-28,#N/A,#N/A,#N/A,-2.4,-7.4,2.01,62.9
2014-03-29,#N/A,#N/A,#N/A,-2.8,-9.6,1.22,33.8
2014-03-30,#N/A,#N/A,#N/A,4.6,-2.2,3.91,8.3
2014-03-31,#N/A,#N/A,#N/A,0.4,-0.3,3.70,91.2
2014-04-01,#N/A,#N/A,#N/A,-3.4,-6.5,5.44,95.6
2014-04-02,#N/A,#N/A,#N/A,-3.6,-9.8,2.60,0.0
2014-04-03,#N/A,#N/A,#N/A,-2.6,-5.6,6.39,94.4
2014-04-04,#N/A,#N/A,#N/A,-2.5,-3.7,6.17,81.6
2014-04-05,#N/A,#N/A,#N/A,0.2,-6.4,4.10,6.0
2014-04-06,#N/A,#N/A,#N/A,4.6,-1.7,2.83,40.2
2014-04-07,#N/A,#N/A,#N/A,01.0,-1.1,1.09,41.0
2014-04-08,#N/A,#N/A,#N/A,4.2,-3.2,3.31,57.7
2014-04-09,#N/A,#N/A,#N/A,6.2,-3.1,4.95,34.2
2014-04-10,#N/A,#N/A,#N/A,6.9,-3.1,5.88,17.5
2014-04-11,#N/A,#N/A,#N/A,5.7,-3.4,3.05,44.0
2014-04-12,#N/A,#N/A,#N/A,1.1,-0.2,3.26,94.4
2014-04-13,#N/A,#N/A,#N/A,1.6,-0.9,3.51,99.8
2014-04-14,#N/A,#N/A,#N/A,-3.0,-10.6,6.01,71.2
2014-04-15,#N/A,#N/A,#N/A,-4.7,-13.2,2.69,31.7
2014-04-16,#N/A,#N/A,#N/A,-3.8,-6.8,5.17,83.9
2014-04-17,#N/A,#N/A,#N/A,-0.4,-2.5,3.81,93.5
2014-04-18,#N/A,#N/A,#N/A,-1.0,-5.1,2.31,12.3
2014-04-19,#N/A,#N/A,#N/A,3.7,-0.4,2.04,82.1
2014-04-20,#N/A,#N/A,#N/A,7.7,3.8,2.05,4.2
2014-04-21,#N/A,#N/A,#N/A,7.2,0.8,4.49,27.5
2014-04-22,#N/A,#N/A,#N/A,4.8,-3.1,3.41,33.1
2014-04-23,#N/A,#N/A,#N/A,2.6,-2.3,2.27,17.7
2014-04-24,#N/A,#N/A,#N/A,2.1,1.6,2.71,100.0
2014-04-25,#N/A,#N/A,#N/A,2.6,0.6,3.75,94.2
2014-04-26,#N/A,#N/A,#N/A,1.1,-1.5,4.77,57.7
2014-04-27,#N/A,#N/A,#N/A,0.7,-2.4,5.72,72.9
2014-04-28,#N/A,#N/A,#N/A,2.7,-1.2,8.30,99.6
2014-04-29,#N/A,#N/A,#N/A,0.7,-1.1,9.21,99.5
2014-04-30,#N/A,#N/A,#N/A,1.0,1.0,4.28,100.0
2014-05-01,#N/A,#N/A,#N/A,3.8,3.1,3.09,100.0
2014-05-02,#N/A,#N/A,#N/A,7.5,3.0,2.21,96.7
2014-05-03,#N/A,#N/A,#N/A,7.5,-0.1,5.27,93.6
2014-05-04,#N/A,#N/A,#N/A,4.9,-1.5,3.07,4.0
2014-05-05,#N/A,#N/A,#N/A,4.2,1.9,3.04,97.7
2014-05-06,#N/A,#N/A,#N/A,4.0,1.1,2.98,47.5
2014-05-07,#N/A,#N/A,#N/A,5.6,1.6,4.06,64.4
2014-05-08,#N/A,#N/A,#N/A,6.2,5.9,3.46,97.2
2014-05-09,#N/A,#N/A,#N/A,7.8,5.9,4.88,98.2
2014-05-10,#N/A,#N/A,#N/A,11.3,0.1,2.47,21.7
2014-05-11,#N/A,#N/A,#N/A,9.3,3.6,3.23,51.9
2014-05-12,#N/A,#N/A,#N/A,3.1,2.8,4.54,100.0
2014-05-13,#N/A,#N/A,#N/A,7.1,2.6,5.41,80.6
2014-05-14,#N/A,#N/A,#N/A,6.5,-1.0,3.70,40.6
2014-05-15,#N/A,#N/A,#N/A,3.4,-1.9,3.73,78.3
2014-05-16,#N/A,#N/A,#N/A,5.8,-3.4,1.85,78.5
2014-05-17,#N/A,#N/A,#N/A,10.2,-4.3,3.37,26.2
2014-05-18,#N/A,#N/A,#N/A,15.9,0.2,3.80,31.3
2014-05-19,#N/A,#N/A,#N/A,12.8,5.2,2.91,54.0
2014-05-20,#N/A,#N/A,#N/A,11.5,9.4,1.93,75.8
2014-05-21,#N/A,#N/A,#N/A,12.0,6.9,3.61,91.5
2014-05-22,#N/A,#N/A,#N/A,12.5,6.4,2.25,64.9
2014-05-23,#N/A,#N/A,#N/A,12.1,6.0,1.94,0.0
2014-05-24,#N/A,#N/A,#N/A,18.1,6.9,2.42,10.2
2014-05-25,#N/A,#N/A,#N/A,21.8,7.9,3.58,4.2
2014-05-26,#N/A,#N/A,#N/A,21.9,15.5,2.40,31.2
2014-05-27,#N/A,#N/A,#N/A,10.6,6.6,3.71,24.6
2014-05-28,#N/A,#N/A,#N/A,9.9,5.8,2.62,0.0
2014-05-29,#N/A,#N/A,#N/A,13.2,7.8,1.52,0.0
2014-05-30,#N/A,#N/A,#N/A,13.1,9.1,1.62,0.0
2014-05-31,#N/A,#N/A,#N/A,15.7,12.1,1.88,55.8
2014-06-01,#N/A,#N/A,#N/A,17.8,15.9,1.96,91.3
2014-06-02,#N/A,#N/A,#N/A,16.1,13.8,2.38,88.8
2014-06-03,#N/A,#N/A,#N/A,16.2,9.9,4.21,60.7
2014-06-04,#N/A,#N/A,#N/A,13.7,9.8,2.14,0.0
2014-06-05,#N/A,#N/A,#N/A,12.6,9.0,1.74,37.2
2014-06-06,#N/A,#N/A,#N/A,19.4,13.9,2.20,47.1
2014-06-07,#N/A,#N/A,#N/A,10.7,10.0,2.48,78.9
2014-06-08,#N/A,#N/A,#N/A,12.1,6.4,2.38,1.5
2014-06-09,#N/A,#N/A,#N/A,11.4,8.6,0.83,24.8
2014-06-10,#N/A,#N/A,#N/A,13.0,9.4,1.78,0.0
2014-06-11,#N/A,#N/A,#N/A,13.7,10.1,2.11,14.2
2014-06-12,#N/A,#N/A,#N/A,12.3,9.5,5.22,99.7
2014-06-13,#N/A,#N/A,#N/A,13.8,6.1,2.37,8.1
2014-06-14,#N/A,#N/A,#N/A,11.5,9.2,2.26,80.0
2014-06-15,#N/A,#N/A,#N/A,16.6,12.1,4.37,81.0
2014-06-16,#N/A,#N/A,#N/A,21.9,14.2,3.84,13.1
2014-06-17,#N/A,#N/A,#N/A,19.4,14.2,2.77,17.9
2014-06-18,#N/A,#N/A,#N/A,12.1,9.3,4.56,37.5
2014-06-19,#N/A,#N/A,#N/A,13.1,10.7,2.40,57.7
2014-06-20,#N/A,#N/A,#N/A,12.8,11.9,2.15,100.0
2014-06-21,#N/A,#N/A,#N/A,13.0,10.9,2.44,74.8
2014-06-22,#N/A,#N/A,#N/A,13.1,11.7,1.93,61.0
2014-06-23,#N/A,#N/A,#N/A,15.9,13.7,1.44,53.8
2014-06-24,#N/A,#N/A,#N/A,9.2,8.6,3.71,94.3
2014-06-25,#N/A,#N/A,#N/A,9.2,6.1,3.05,69.3
2014-06-26,#N/A,#N/A,#N/A,11.0,7.0,1.73,15.2
2014-06-27,#N/A,#N/A,#N/A,18.3,15.0,1.66,61.7
2014-06-28,#N/A,#N/A,#N/A,25.2,19.9,4.45,44.9
2014-06-29,#N/A,#N/A,#N/A,22.6,17.0,4.74,41.7
2014-06-30,#N/A,#N/A,#N/A,23.0,13.5,6.52,5.0
2014-07-01,#N/A,#N/A,#N/A,19.0,14.0,4.62,92.4
2014-07-02,#N/A,#N/A,#N/A,15.7,8.0,2.97,31.2
2014-07-03,#N/A,#N/A,#N/A,16.5,9.0,2.07,15.6
2014-07-04,#N/A,#N/A,#N/A,18.1,10.6,3.08,28.8
2014-07-05,#N/A,#N/A,#N/A,22.0,14.9,4.64,29.8
2014-07-06,#N/A,#N/A,#N/A,23.4,18.1,4.65,23.4
2014-07-07,#N/A,#N/A,#N/A,20.8,15.1,3.06,34.3
2014-07-08,#N/A,#N/A,#N/A,14.1,12.1,2.21,80.2
2014-07-09,#N/A,#N/A,#N/A,15.5,10.2,1.87,33.3
2014-07-10,#N/A,#N/A,#N/A,18.0,12.3,1.74,31.8
2014-07-11,#N/A,#N/A,#N/A,20.8,17.4,4.71,77.8
2014-07-12,#N/A,#N/A,#N/A,20.5,16.7,2.14,13.1
2014-07-13,#N/A,#N/A,#N/A,17.3,10.5,3.31,47.5
2014-07-14,#N/A,#N/A,#N/A,13.9,10.1,3.25,87.2
2014-07-15,#N/A,#N/A,#N/A,15.3,10.3,3.02,71.9
2014-07-16,#N/A,#N/A,#N/A,16.2,9.4,1.83,31.5
2014-07-17,#N/A,#N/A,#N/A,18.9,11.8,3.04,17.5
2014-07-18,#N/A,#N/A,#N/A,19.3,13.4,3.11,18.5
2014-07-19,#N/A,#N/A,#N/A,21.7,15.9,4.74,71.0
2014-07-20,#N/A,#N/A,#N/A,23.5,18.1,4.30,46.2
2014-07-21,#N/A,#N/A,#N/A,26.6,20.9,3.80,25.4
2014-07-22,#N/A,#N/A,#N/A,21.5,17.5,4.33,66.2
2014-07-23,#N/A,#N/A,#N/A,17.2,12.8,1.52,10.2
2014-07-24,#N/A,#N/A,#N/A,17.7,13.1,1.10,30.7
2014-07-25,#N/A,#N/A,#N/A,19.5,16.7,2.53,84.5
2014-07-26,#N/A,#N/A,#N/A,23.8,16.5,2.89,31.7
2014-07-27,#N/A,#N/A,#N/A,15.3,13.4,2.57,79.0
2014-07-28,#N/A,#N/A,#N/A,17.0,12.2,2.86,75.6
2014-07-29,#N/A,#N/A,#N/A,16.5,13.6,2.03,79.2
2014-07-30,#N/A,#N/A,#N/A,16.2,13.3,1.95,51.2
2014-07-31,#N/A,#N/A,#N/A,19.3,13.7,2.38,3.1
2014-08-01,#N/A,#N/A,#N/A,17.6,13.6,1.46,10.2
2014-08-02,#N/A,#N/A,#N/A,19.6,15.6,1.03,29.7
2014-08-03,#N/A,#N/A,#N/A,18.8,15.9,1.91,29.2
2014-08-04,#N/A,#N/A,#N/A,17.2,14.6,2.56,69.6
2014-08-05,#N/A,#N/A,#N/A,16.9,12.9,1.39,10.5
2014-08-06,#N/A,#N/A,#N/A,17.3,13.8,2.32,16.0
2014-08-07,#N/A,#N/A,#N/A,18.8,15.7,2.18,45.8
2014-08-08,#N/A,#N/A,#N/A,19.6,14.4,1.16,31.3
2014-08-09,#N/A,#N/A,#N/A,19.4,14.4,1.30,19.8
