Daily data for a single station.
StationID:,726425-04841
StationName:,"SHEBOYGAN CO MEMO AIRPORT"
Lat&Long:,43.769,-87.850
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-15.3,-20.0,4.70,89.2
2014-01-02,#N/A,#N/A,#N/A,-14.2,-18.6,5.23,51.0
2014-01-03,#N/A,#N/A,#N/A,-15.8,-19.6,5.76,22.7
2014-01-04,#N/A,#N/A,#N/A,-3.7,-7.8,7.18,71.5
2014-01-05,#N/A,#N/A,#N/A,-13.9,-18.7,6.07,76.8
2014-01-06,#N/A,#N/A,#N/A,-25.1,-30.0,8.54,52.4
2014-01-07,#N/A,#N/A,#N/A,-22.4,-27.1,6.45,4.2
2014-01-08,#N/A,#N/A,#N/A,-19.4,-23.9,2.90,5.2
2014-01-09,#N/A,#N/A,#N/A,-14.9,-17.3,2.66,42.2
2014-01-10,#N/A,#N/A,#N/A,-1.5,-2.1,4.06,100.0
2014-01-11,#N/A,#N/A,#N/A,0.3,-1.2,5.60,100.0
2014-01-12,#N/A,#N/A,#N/A,-0.7,-2.8,4.77,32.2
2014-01-13,#N/A,#N/A,#N/A,01.0,-1.6,4.15,67.3
2014-01-14,#N/A,#N/A,#N/A,-3.1,-4.7,5.14,90.9
2014-01-15,#N/A,#N/A,#N/A,-10.0,-13.2,5.08,87.0
2014-01-16,#N/A,#N/A,#N/A,-4.4,-6.6,6.29,97.7
2014-01-17,#N/A,#N/A,#N/A,-8.6,-10.8,5.04,100.0
2014-01-18,#N/A,#N/A,#N/A,-10.3,-12.5,1.98,61.6
2014-01-19,#N/A,#N/A,#N/A,-4.9,-8.1,5.98,58.9
2014-01-20,#N/A,#N/A,#N/A,-10.2,-14.6,4.78,95.2
2014-01-21,#N/A,#N/A,#N/A,-17.8,-22.6,3.80,15.6
2014-01-22,#N/A,#N/A,#N/A,-16.0,-19.8,4.84,91.6
2014-01-23,#N/A,#N/A,#N/A,-16.2,-21.0,6.36,16.9
2014-01-24,#N/A,#N/A,#N/A,-11.9,-16.4,8.61,71.7
2014-01-25,#N/A,#N/A,#N/A,-10.8,-16.7,7.36,52.5
2014-01-26,#N/A,#N/A,#N/A,-12.9,-16.4,5.08,94.4
2014-01-27,#N/A,#N/A,#N/A,-20.4,-25.9,7.91,13.3
2014-01-28,#N/A,#N/A,#N/A,-21.3,-26.6,7.01,4.2
2014-01-29,#N/A,#N/A,#N/A,-13.7,-20.0,6.52,4.0
2014-01-30,#N/A,#N/A,#N/A,-3.3,-8.5,8.25,68.4
2014-01-31,#N/A,#N/A,#N/A,-14.0,-19.0,3.25,1.6
2014-02-01,#N/A,#N/A,#N/A,-12.1,-15.0,2.27,79.4
2014-02-02,#N/A,#N/A,#N/A,-13.4,-17.8,3.81,4.0
2014-02-03,#N/A,#N/A,#N/A,-14.1,-19.0,3.32,0.0
2014-02-04,#N/A,#N/A,#N/A,-10.5,-14.2,2.57,35.3
2014-02-05,#N/A,#N/A,#N/A,-10.5,-14.2,5.15,92.1
2014-02-06,#N/A,#N/A,#N/A,-17.0,-21.2,6.05,4.2
2014-02-07,#N/A,#N/A,#N/A,-15.8,-20.8,5.98,6.2
2014-02-08,#N/A,#N/A,#N/A,-13.9,-17.1,2.55,51.8
2014-02-09,#N/A,#N/A,#N/A,-11.9,-16.0,4.37,38.3
2014-02-10,#N/A,#N/A,#N/A,-17.5,-23.0,3.84,0.0
2014-02-11,#N/A,#N/A,#N/A,-16.3,-21.9,2.92,0.0
2014-02-12,#N/A,#N/A,#N/A,-12.9,-16.3,3.54,64.8
2014-02-13,#N/A,#N/A,#N/A,-6.9,-9.5,4.13,99.8
2014-02-14,#N/A,#N/A,#N/A,-8.6,-12.7,5.18,38.6
