Daily data for a single station.
StationID:,726450-14898
StationName:,"AUSTIN STRAUBEL INTERNATI"
Lat&Long:,44.479,-88.130
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-16.9,-22.1,4.05,65.6
2014-01-02,#N/A,#N/A,#N/A,-15.4,-21.0,4.14,50.2
2014-01-03,#N/A,#N/A,#N/A,-16.7,-20.5,4.68,39.4
2014-01-04,#N/A,#N/A,#N/A,-5.1,-9.3,5.87,59.4
2014-01-05,#N/A,#N/A,#N/A,-14.9,-20.1,4.95,46.0
2014-01-06,#N/A,#N/A,#N/A,-25.3,-30.8,7.60,68.1
2014-01-07,#N/A,#N/A,#N/A,-23.2,-28.2,5.28,0.0
2014-01-08,#N/A,#N/A,#N/A,-20.4,-24.8,2.84,7.3
2014-01-09,#N/A,#N/A,#N/A,-18.0,-21.5,1.22,30.1
2014-01-10,#N/A,#N/A,#N/A,-1.9,-2.9,3.67,100.0
2014-01-11,#N/A,#N/A,#N/A,-0.0,-1.8,5.25,100.0
2014-01-12,#N/A,#N/A,#N/A,0.4,-2.9,5.75,55.8
2014-01-13,#N/A,#N/A,#N/A,0.9,-2.2,3.78,75.4
2014-01-14,#N/A,#N/A,#N/A,-4.6,-6.6,6.89,92.5
2014-01-15,#N/A,#N/A,#N/A,-9.9,-13.8,5.21,83.0
2014-01-16,#N/A,#N/A,#N/A,-4.7,-7.0,5.14,100.0
2014-01-17,#N/A,#N/A,#N/A,-7.5,-10.5,3.91,100.0
2014-01-18,#N/A,#N/A,#N/A,-13.5,-15.7,2.19,45.5
2014-01-19,#N/A,#N/A,#N/A,-5.5,-8.4,5.13,99.3
2014-01-20,#N/A,#N/A,#N/A,-11.3,-16.5,4.88,73.5
2014-01-21,#N/A,#N/A,#N/A,-18.9,-23.4,3.18,21.5
2014-01-22,#N/A,#N/A,#N/A,-16.5,-20.0,4.07,99.1
2014-01-23,#N/A,#N/A,#N/A,-16.2,-21.4,5.21,34.8
2014-01-24,#N/A,#N/A,#N/A,-12.8,-16.8,6.59,80.0
2014-01-25,#N/A,#N/A,#N/A,-12.3,-18.6,6.22,49.4
2014-01-26,#N/A,#N/A,#N/A,-14.6,-18.6,4.12,91.8
2014-01-27,#N/A,#N/A,#N/A,-20.8,-27.1,7.08,8.8
2014-01-28,#N/A,#N/A,#N/A,-21.8,-27.4,6.03,14.0
2014-01-29,#N/A,#N/A,#N/A,-14.4,-20.4,5.89,4.2
2014-01-30,#N/A,#N/A,#N/A,-4.9,-9.1,6.13,57.1
2014-01-31,#N/A,#N/A,#N/A,-17.5,-21.6,3.21,0.0
2014-02-01,#N/A,#N/A,#N/A,-15.2,-18.2,0.90,64.8
2014-02-02,#N/A,#N/A,#N/A,-15.1,-19.4,3.73,0.0
2014-02-03,#N/A,#N/A,#N/A,-16.8,-20.7,2.50,0.0
2014-02-04,#N/A,#N/A,#N/A,-13.2,-16.8,2.54,18.2
2014-02-05,#N/A,#N/A,#N/A,-11.2,-15.9,5.36,98.9
2014-02-06,#N/A,#N/A,#N/A,-17.0,-21.7,5.47,16.4
2014-02-07,#N/A,#N/A,#N/A,-16.2,-21.9,5.09,0.0
2014-02-08,#N/A,#N/A,#N/A,-15.2,-18.6,2.37,41.7
2014-02-09,#N/A,#N/A,#N/A,-11.5,-16.1,3.97,60.2
2014-02-10,#N/A,#N/A,#N/A,-18.3,-23.6,3.90,1.0
2014-02-11,#N/A,#N/A,#N/A,-18.9,-23.4,2.89,0.0
2014-02-12,#N/A,#N/A,#N/A,-13.6,-16.7,3.88,58.1
2014-02-13,#N/A,#N/A,#N/A,-8.8,-10.3,3.64,85.3
2014-02-14,#N/A,#N/A,#N/A,-9.5,-13.7,4.78,22.7
2014-02-15,#N/A,#N/A,#N/A,-14.4,-17.7,2.08,35.7
2014-02-16,#N/A,#N/A,#N/A,-11.7,-14.6,3.01,37.5
2014-02-17,#N/A,#N/A,#N/A,-8.3,-9.9,4.72,88.8
2014-02-18,#N/A,#N/A,#N/A,-7.0,-8.1,2.58,37.1
2014-02-19,#N/A,#N/A,#N/A,-0.7,-5.2,3.45,12.5
2014-02-20,#N/A,#N/A,#N/A,0.3,-1.6,4.97,83.1
2014-02-21,#N/A,#N/A,#N/A,-4.4,-8.4,10.47,99.1
2014-02-22,#N/A,#N/A,#N/A,-8.1,-13.8,8.04,18.2
2014-02-23,#N/A,#N/A,#N/A,-11.0,-16.8,7.06,0.0
2014-02-24,#N/A,#N/A,#N/A,-12.3,-17.5,5.46,8.1
2014-02-25,#N/A,#N/A,#N/A,-14.2,-19.6,6.25,27.5
2014-02-26,#N/A,#N/A,#N/A,-16.6,-22.5,5.84,48.3
2014-02-27,#N/A,#N/A,#N/A,-17.4,-25.0,5.67,24.0
2014-02-28,#N/A,#N/A,#N/A,-16.6,-20.8,2.33,65.7
2014-03-01,#N/A,#N/A,#N/A,-12.7,-17.6,4.36,87.9
2014-03-02,#N/A,#N/A,#N/A,-17.4,-25.6,4.45,26.9
2014-03-03,#N/A,#N/A,#N/A,-18.0,-23.9,3.09,28.1
2014-03-04,#N/A,#N/A,#N/A,-11.4,-14.6,1.71,72.9
2014-03-05,#N/A,#N/A,#N/A,-13.6,-17.7,5.04,18.7
2014-03-06,#N/A,#N/A,#N/A,-14.2,-17.2,2.37,3.2
2014-03-07,#N/A,#N/A,#N/A,-2.4,-6.4,3.61,50.5
2014-03-08,#N/A,#N/A,#N/A,-5.3,-10.3,3.78,43.7
2014-03-09,#N/A,#N/A,#N/A,-3.6,-8.1,4.38,2.1
2014-03-10,#N/A,#N/A,#N/A,4.1,-1.0,3.67,11.1
2014-03-11,#N/A,#N/A,#N/A,3.7,-1.6,3.49,86.0
2014-03-12,#N/A,#N/A,#N/A,-7.4,-13.6,6.07,38.5
2014-03-13,#N/A,#N/A,#N/A,-5.8,-9.7,3.94,34.4
2014-03-14,#N/A,#N/A,#N/A,3.8,-0.5,5.66,56.7
2014-03-15,#N/A,#N/A,#N/A,-3.0,-8.8,5.15,65.4
2014-03-16,#N/A,#N/A,#N/A,-10.9,-15.7,4.17,2.1
2014-03-17,#N/A,#N/A,#N/A,-5.9,-10.7,3.53,82.9
2014-03-18,#N/A,#N/A,#N/A,-0.2,-3.0,4.61,35.0
2014-03-19,#N/A,#N/A,#N/A,0.9,-1.1,5.81,99.9
2014-03-20,#N/A,#N/A,#N/A,0.3,-5.1,2.67,47.9
2014-03-21,#N/A,#N/A,#N/A,-0.2,-3.2,3.40,47.4
2014-03-22,#N/A,#N/A,#N/A,-2.0,-7.8,5.41,62.5
2014-03-23,#N/A,#N/A,#N/A,-7.9,-14.0,4.25,19.2
2014-03-24,#N/A,#N/A,#N/A,-5.8,-10.8,4.22,39.4
2014-03-25,#N/A,#N/A,#N/A,-8.0,-13.8,5.71,32.7
2014-03-26,#N/A,#N/A,#N/A,-5.7,-11.2,4.52,50.0
2014-03-27,#N/A,#N/A,#N/A,1.9,-0.1,4.23,100.0
2014-03-28,#N/A,#N/A,#N/A,1.5,-2.4,4.68,62.5
2014-03-29,#N/A,#N/A,#N/A,0.6,-5.3,2.85,33.1
2014-03-30,#N/A,#N/A,#N/A,3.0,-1.7,3.22,6.0
2014-03-31,#N/A,#N/A,#N/A,7.5,1.2,6.01,56.5
2014-04-01,#N/A,#N/A,#N/A,1.2,-3.5,7.27,61.9
2014-04-02,#N/A,#N/A,#N/A,0.8,-6.5,3.21,0.0
2014-04-03,#N/A,#N/A,#N/A,0.2,-3.5,6.42,99.8
2014-04-04,#N/A,#N/A,#N/A,0.4,-1.1,6.03,100.0
2014-04-05,#N/A,#N/A,#N/A,3.2,-2.7,4.02,5.5
2014-04-06,#N/A,#N/A,#N/A,6.6,0.7,4.71,39.8
2014-04-07,#N/A,#N/A,#N/A,8.0,2.7,2.06,91.0
2014-04-08,#N/A,#N/A,#N/A,7.4,1.8,3.92,89.0
2014-04-09,#N/A,#N/A,#N/A,7.7,0.0,4.53,21.2
2014-04-10,#N/A,#N/A,#N/A,11.3,-0.4,6.30,12.3
2014-04-11,#N/A,#N/A,#N/A,7.0,0.5,2.08,39.0
2014-04-12,#N/A,#N/A,#N/A,4.4,2.8,3.86,91.2
2014-04-13,#N/A,#N/A,#N/A,5.4,4.3,4.45,100.0
2014-04-14,#N/A,#N/A,#N/A,-0.4,-3.2,6.92,92.3
2014-04-15,#N/A,#N/A,#N/A,-3.1,-8.6,3.55,31.5
2014-04-16,#N/A,#N/A,#N/A,0.7,-3.9,5.28,71.0
2014-04-17,#N/A,#N/A,#N/A,5.7,01.0,5.41,91.0
2014-04-18,#N/A,#N/A,#N/A,4.3,-1.8,3.09,48.5
2014-04-19,#N/A,#N/A,#N/A,6.1,0.4,4.66,12.5
2014-04-20,#N/A,#N/A,#N/A,11.3,7.4,2.50,99.3
2014-04-21,#N/A,#N/A,#N/A,13.8,10.1,3.25,70.5
2014-04-22,#N/A,#N/A,#N/A,6.2,-1.1,6.59,26.9
2014-04-23,#N/A,#N/A,#N/A,4.7,-5.2,3.18,10.2
2014-04-24,#N/A,#N/A,#N/A,5.3,0.5,4.06,100.0
2014-04-25,#N/A,#N/A,#N/A,9.0,3.6,5.30,73.8
2014-04-26,#N/A,#N/A,#N/A,4.6,-0.7,4.80,30.9
2014-04-27,#N/A,#N/A,#N/A,4.9,-0.7,6.23,89.0
2014-04-28,#N/A,#N/A,#N/A,6.1,0.6,7.42,96.9
2014-04-29,#N/A,#N/A,#N/A,4.4,3.8,6.82,100.0
2014-04-30,#N/A,#N/A,#N/A,8.7,7.1,3.13,99.9
2014-05-01,#N/A,#N/A,#N/A,7.9,4.5,2.95,99.8
2014-05-02,#N/A,#N/A,#N/A,8.4,5.2,3.68,99.8
2014-05-03,#N/A,#N/A,#N/A,9.9,4.2,4.71,79.2
2014-05-04,#N/A,#N/A,#N/A,8.9,0.5,4.72,15.6
2014-05-05,#N/A,#N/A,#N/A,6.8,2.2,3.25,50.4
2014-05-06,#N/A,#N/A,#N/A,8.0,1.6,4.49,6.2
