Daily data for a single station.
StationID:,726487-94896
StationName:,"MEONE-MARINETTE TWIN CO A"
Lat&Long:,45.117,-87.630
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-17.1,-21.5,2.96,72.4
2014-01-02,#N/A,#N/A,#N/A,-15.3,-20.8,3.90,47.2
2014-01-03,#N/A,#N/A,#N/A,-16.1,-19.8,4.67,51.8
2014-01-04,#N/A,#N/A,#N/A,-6.0,-10.3,4.77,70.2
2014-01-05,#N/A,#N/A,#N/A,-14.9,-19.8,4.03,18.4
2014-01-06,#N/A,#N/A,#N/A,-23.5,-29.1,4.49,25.9
2014-01-07,#N/A,#N/A,#N/A,-23.6,-30.4,3.38,2.0
2014-01-08,#N/A,#N/A,#N/A,-19.3,-28.6,1.90,0.0
2014-01-09,#N/A,#N/A,#N/A,-16.9,-26.2,1.48,29.1
2014-01-10,#N/A,#N/A,#N/A,-2.6,-4.0,3.49,95.7
2014-01-11,#N/A,#N/A,#N/A,-0.1,-2.0,2.70,99.9
2014-01-12,#N/A,#N/A,#N/A,-0.3,-3.3,4.90,63.3
2014-01-13,#N/A,#N/A,#N/A,1.5,-2.8,2.60,92.4
2014-01-14,#N/A,#N/A,#N/A,-4.6,-7.2,5.71,99.7
2014-01-15,#N/A,#N/A,#N/A,-9.6,-13.8,4.50,94.2
2014-01-16,#N/A,#N/A,#N/A,-5.2,-7.2,4.11,99.6
2014-01-17,#N/A,#N/A,#N/A,-6.2,-9.4,4.05,98.3
2014-01-18,#N/A,#N/A,#N/A,-12.8,-15.5,1.24,19.6
2014-01-19,#N/A,#N/A,#N/A,-5.9,-8.8,4.26,98.5
2014-01-20,#N/A,#N/A,#N/A,-12.9,-18.5,4.42,48.5
2014-01-21,#N/A,#N/A,#N/A,-17.2,-22.0,3.13,14.7
2014-01-22,#N/A,#N/A,#N/A,-16.1,-18.8,2.71,98.3
2014-01-23,#N/A,#N/A,#N/A,-15.3,-19.8,3.11,45.1
2014-01-24,#N/A,#N/A,#N/A,-13.5,-19.7,4.91,82.4
2014-01-25,#N/A,#N/A,#N/A,-13.3,-18.8,4.88,53.5
2014-01-26,#N/A,#N/A,#N/A,-16.4,-24.6,1.93,87.2
2014-01-27,#N/A,#N/A,#N/A,-20.1,-27.7,3.88,8.6
2014-01-28,#N/A,#N/A,#N/A,-21.5,#N/A,4.03,11.2
2014-01-29,#N/A,#N/A,#N/A,-14.3,#N/A,5.03,26.7
2014-01-30,#N/A,#N/A,#N/A,-5.3,#N/A,5.72,72.4
2014-01-31,#N/A,#N/A,#N/A,-16.0,#N/A,2.29,0.0
2014-02-01,#N/A,#N/A,#N/A,-15.3,#N/A,0.55,57.0
2014-02-02,#N/A,#N/A,#N/A,-13.3,#N/A,1.82,2.1
2014-02-03,#N/A,#N/A,#N/A,-14.7,#N/A,2.67,0.0
2014-02-04,#N/A,#N/A,#N/A,-12.1,#N/A,1.88,7.6
2014-02-05,#N/A,#N/A,#N/A,-11.9,#N/A,3.80,81.6
2014-02-06,#N/A,#N/A,#N/A,-16.2,#N/A,2.90,22.1
2014-02-07,#N/A,#N/A,#N/A,-15.8,#N/A,4.19,0.0
2014-02-08,#N/A,#N/A,#N/A,-14.7,#N/A,2.18,2.7
2014-02-09,#N/A,#N/A,#N/A,-12.3,#N/A,1.93,66.4
2014-02-10,#N/A,#N/A,#N/A,-17.6,-26.2,1.81,3.1
2014-02-11,#N/A,#N/A,#N/A,-18.3,-24.4,2.14,0.0
2014-02-12,#N/A,#N/A,#N/A,-12.4,-15.5,3.98,53.2
2014-02-13,#N/A,#N/A,#N/A,-8.3,-9.1,2.48,77.6
2014-02-14,#N/A,#N/A,#N/A,-9.3,-13.2,4.25,32.8
2014-02-15,#N/A,#N/A,#N/A,-14.8,-17.3,1.39,49.0
2014-02-16,#N/A,#N/A,#N/A,-12.0,-14.1,2.82,46.5
2014-02-17,#N/A,#N/A,#N/A,-9.0,-10.1,4.10,87.4
2014-02-18,#N/A,#N/A,#N/A,-7.2,-8.3,2.03,34.7
2014-02-19,#N/A,#N/A,#N/A,-0.7,-5.9,2.74,9.9
2014-02-20,#N/A,#N/A,#N/A,-0.0,-2.2,4.80,72.8
2014-02-21,#N/A,#N/A,#N/A,-4.2,-7.9,7.79,99.6
2014-02-22,#N/A,#N/A,#N/A,-8.7,-14.7,4.99,18.6
2014-02-23,#N/A,#N/A,#N/A,-10.5,-16.8,3.95,22.2
2014-02-24,#N/A,#N/A,#N/A,-11.9,-17.8,2.67,35.9
2014-02-25,#N/A,#N/A,#N/A,-14.3,-20.6,2.95,18.0
2014-02-26,#N/A,#N/A,#N/A,-16.9,-22.8,4.06,32.2
2014-02-27,#N/A,#N/A,#N/A,-17.6,-25.8,3.71,14.8
2014-02-28,#N/A,#N/A,#N/A,-17.9,-20.3,1.80,58.0
2014-03-01,#N/A,#N/A,#N/A,-12.8,-19.2,3.43,75.7
2014-03-02,#N/A,#N/A,#N/A,-16.2,-26.1,2.50,16.3
2014-03-03,#N/A,#N/A,#N/A,-16.5,-25.1,2.76,26.2
2014-03-04,#N/A,#N/A,#N/A,-11.0,-13.6,1.52,91.6
2014-03-05,#N/A,#N/A,#N/A,-14.1,-17.2,3.04,12.4
2014-03-06,#N/A,#N/A,#N/A,-12.9,-16.0,2.69,0.3
2014-03-07,#N/A,#N/A,#N/A,-3.6,-6.2,3.25,63.6
2014-03-08,#N/A,#N/A,#N/A,-7.1,-11.8,3.29,20.7
2014-03-09,#N/A,#N/A,#N/A,-4.1,-8.8,3.76,21.7
2014-03-10,#N/A,#N/A,#N/A,6.5,-2.4,2.60,13.7
2014-03-11,#N/A,#N/A,#N/A,3.4,-2.8,3.52,38.4
2014-03-12,#N/A,#N/A,#N/A,-9.7,-16.5,5.83,33.6
2014-03-13,#N/A,#N/A,#N/A,-8.3,-11.9,3.84,41.6
2014-03-14,#N/A,#N/A,#N/A,3.6,-0.7,3.46,56.2
2014-03-15,#N/A,#N/A,#N/A,-5.6,-12.4,5.27,53.1
2014-03-16,#N/A,#N/A,#N/A,-13.2,-18.5,2.42,0.0
2014-03-17,#N/A,#N/A,#N/A,-8.1,-11.9,2.90,81.0
2014-03-18,#N/A,#N/A,#N/A,-2.0,-4.7,4.04,56.7
2014-03-19,#N/A,#N/A,#N/A,-0.3,-1.8,3.91,98.9
2014-03-20,#N/A,#N/A,#N/A,-0.5,-6.6,2.36,70.9
2014-03-21,#N/A,#N/A,#N/A,-2.2,-4.8,2.71,51.3
2014-03-22,#N/A,#N/A,#N/A,-3.8,-10.8,4.50,62.8
2014-03-23,#N/A,#N/A,#N/A,-9.2,-16.3,2.03,39.0
2014-03-24,#N/A,#N/A,#N/A,-7.1,-14.6,2.44,28.6
2014-03-25,#N/A,#N/A,#N/A,-8.7,-16.5,3.33,48.3
2014-03-26,#N/A,#N/A,#N/A,-7.1,-13.2,3.96,52.9
2014-03-27,#N/A,#N/A,#N/A,0.6,-0.8,3.94,99.9
2014-03-28,#N/A,#N/A,#N/A,0.4,-3.7,4.62,81.9
2014-03-29,#N/A,#N/A,#N/A,-1.3,-9.3,2.66,37.5
2014-03-30,#N/A,#N/A,#N/A,-0.6,-5.0,2.83,7.9
2014-03-31,#N/A,#N/A,#N/A,3.9,-0.9,4.06,47.5
2014-04-01,#N/A,#N/A,#N/A,1.3,-4.0,5.46,78.5
2014-04-02,#N/A,#N/A,#N/A,-0.5,-7.4,2.33,15.6
2014-04-03,#N/A,#N/A,#N/A,-1.4,-4.0,7.25,86.8
2014-04-04,#N/A,#N/A,#N/A,-0.4,-2.2,6.04,99.8
2014-04-05,#N/A,#N/A,#N/A,0.7,-5.4,2.78,3.8
2014-04-06,#N/A,#N/A,#N/A,5.3,-0.9,4.36,39.6
2014-04-07,#N/A,#N/A,#N/A,7.2,1.5,2.58,66.3
2014-04-08,#N/A,#N/A,#N/A,5.2,-0.0,3.35,77.0
2014-04-09,#N/A,#N/A,#N/A,6.2,-2.8,4.53,12.6
2014-04-10,#N/A,#N/A,#N/A,11.9,-3.7,4.12,13.9
2014-04-11,#N/A,#N/A,#N/A,5.0,-2.0,1.21,30.0
2014-04-12,#N/A,#N/A,#N/A,3.0,1.8,4.30,82.4
2014-04-13,#N/A,#N/A,#N/A,4.4,2.7,3.89,98.3
2014-04-14,#N/A,#N/A,#N/A,-1.7,-5.0,6.47,88.1
2014-04-15,#N/A,#N/A,#N/A,-4.5,-10.0,2.25,46.9
2014-04-16,#N/A,#N/A,#N/A,-2.1,-4.4,3.64,67.2
2014-04-17,#N/A,#N/A,#N/A,3.3,-0.7,3.54,94.9
2014-04-18,#N/A,#N/A,#N/A,2.4,-3.7,2.22,55.7
2014-04-19,#N/A,#N/A,#N/A,3.4,-1.7,3.54,15.1
2014-04-20,#N/A,#N/A,#N/A,7.1,4.9,2.65,98.5
2014-04-21,#N/A,#N/A,#N/A,8.3,5.5,2.36,60.9
2014-04-22,#N/A,#N/A,#N/A,5.2,-2.9,5.73,71.7
2014-04-23,#N/A,#N/A,#N/A,3.3,-7.3,2.92,0.0
2014-04-24,#N/A,#N/A,#N/A,2.8,-1.9,3.46,93.1
2014-04-25,#N/A,#N/A,#N/A,6.5,1.2,3.60,94.5
2014-04-26,#N/A,#N/A,#N/A,3.8,-2.5,4.86,65.6
2014-04-27,#N/A,#N/A,#N/A,2.1,-2.8,5.57,67.1
2014-04-28,#N/A,#N/A,#N/A,4.2,-1.9,9.35,83.5
2014-04-29,#N/A,#N/A,#N/A,3.8,2.2,8.21,100.0
2014-04-30,#N/A,#N/A,#N/A,5.8,4.4,2.28,95.4
