Daily data for a single station.
StationID:,726505-04845
StationName:,"KENOSHA REGIONAL AIRPORT"
Lat&Long:,42.595,-87.930
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-9.5,-13.2,5.84,100.0
2014-01-02,#N/A,#N/A,#N/A,-10.9,-15.1,4.92,60.5
2014-01-03,#N/A,#N/A,#N/A,-14.4,-19.0,6.25,21.2
2014-01-04,#N/A,#N/A,#N/A,-3.2,-7.0,7.05,69.1
2014-01-05,#N/A,#N/A,#N/A,-10.9,-16.8,6.58,100.0
2014-01-06,#N/A,#N/A,#N/A,-24.1,-30.1,8.22,16.5
2014-01-07,#N/A,#N/A,#N/A,-21.5,-26.7,5.45,3.1
2014-01-08,#N/A,#N/A,#N/A,-18.5,-23.1,1.96,1.0
2014-01-09,#N/A,#N/A,#N/A,-13.4,-16.3,2.32,52.1
2014-01-10,#N/A,#N/A,#N/A,0.1,-1.3,4.04,100.0
2014-01-11,#N/A,#N/A,#N/A,1.8,-0.8,5.78,100.0
2014-01-12,#N/A,#N/A,#N/A,1.6,-2.9,6.77,39.9
2014-01-13,#N/A,#N/A,#N/A,2.9,-1.2,4.65,21.7
2014-01-14,#N/A,#N/A,#N/A,-2.1,-5.5,6.80,80.8
2014-01-15,#N/A,#N/A,#N/A,-9.0,-13.3,5.54,53.2
2014-01-16,#N/A,#N/A,#N/A,-2.8,-6.2,6.97,91.9
2014-01-17,#N/A,#N/A,#N/A,-9.2,-13.7,5.39,82.9
2014-01-18,#N/A,#N/A,#N/A,-8.9,-11.9,2.82,74.8
2014-01-19,#N/A,#N/A,#N/A,-4.7,-8.5,7.28,23.1
2014-01-20,#N/A,#N/A,#N/A,-4.6,-7.5,4.61,100.0
2014-01-21,#N/A,#N/A,#N/A,-16.4,-22.0,4.98,29.2
2014-01-22,#N/A,#N/A,#N/A,-14.8,-19.6,4.91,77.7
2014-01-23,#N/A,#N/A,#N/A,-16.8,-22.5,6.10,15.9
2014-01-24,#N/A,#N/A,#N/A,-11.5,-17.0,9.29,66.5
2014-01-25,#N/A,#N/A,#N/A,-8.4,-15.6,7.03,24.3
2014-01-26,#N/A,#N/A,#N/A,-9.6,-14.0,6.32,82.9
2014-01-27,#N/A,#N/A,#N/A,-18.9,-25.6,7.41,15.4
2014-01-28,#N/A,#N/A,#N/A,-20.7,-26.4,6.61,0.0
2014-01-29,#N/A,#N/A,#N/A,-12.3,-19.3,6.87,0.0
2014-01-30,#N/A,#N/A,#N/A,-2.9,-9.3,8.37,58.1
2014-01-31,#N/A,#N/A,#N/A,-8.4,-14.1,2.85,23.6
