Daily data for a single station.
StationID:,727347-14841
StationName:,"PELLSTON REGIONAL ARPT OF"
Lat&Long:,45.564,-84.790
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-18.9,-22.0,0.97,64.5
2014-01-02,#N/A,#N/A,#N/A,-21.0,-23.8,1.12,69.7
2014-01-03,#N/A,#N/A,#N/A,-17.5,-21.8,3.25,80.7
2014-01-04,#N/A,#N/A,#N/A,-4.6,-8.8,5.83,100.0
2014-01-05,#N/A,#N/A,#N/A,-9.3,-13.5,4.11,96.7
2014-01-06,#N/A,#N/A,#N/A,-15.2,-18.8,7.18,99.9
2014-01-07,#N/A,#N/A,#N/A,-15.5,-19.5,6.59,100.0
2014-01-08,#N/A,#N/A,#N/A,-11.9,-15.7,2.90,100.0
2014-01-09,#N/A,#N/A,#N/A,-14.1,-17.8,2.03,70.6
2014-01-10,#N/A,#N/A,#N/A,-4.5,-6.8,2.81,98.3
2014-01-11,#N/A,#N/A,#N/A,01.0,-0.4,4.39,100.0
2014-01-12,#N/A,#N/A,#N/A,1.7,-4.0,4.27,66.8
2014-01-13,#N/A,#N/A,#N/A,2.4,-1.1,3.65,95.6
2014-01-14,#N/A,#N/A,#N/A,-3.0,-6.6,3.35,100.0
2014-01-15,#N/A,#N/A,#N/A,-8.4,-11.8,5.79,99.9
2014-01-16,#N/A,#N/A,#N/A,-6.4,-9.2,4.42,99.9
2014-01-17,#N/A,#N/A,#N/A,-5.7,-7.9,2.32,99.9
2014-01-18,#N/A,#N/A,#N/A,-10.6,-13.5,1.45,91.4
2014-01-19,#N/A,#N/A,#N/A,-5.2,-8.6,6.13,99.7
2014-01-20,#N/A,#N/A,#N/A,-16.2,-20.3,3.10,66.4
2014-01-21,#N/A,#N/A,#N/A,-22.1,-25.5,0.72,83.3
2014-01-22,#N/A,#N/A,#N/A,-15.0,-18.0,4.31,100.0
2014-01-23,#N/A,#N/A,#N/A,-19.7,-23.7,3.16,51.7
2014-01-24,#N/A,#N/A,#N/A,-10.5,-13.2,5.50,100.0
2014-01-25,#N/A,#N/A,#N/A,-13.0,-17.3,7.92,57.1
2014-01-26,#N/A,#N/A,#N/A,-14.8,-18.0,2.45,96.8
2014-01-27,#N/A,#N/A,#N/A,-18.3,-22.5,5.94,87.2
2014-01-28,#N/A,#N/A,#N/A,-15.6,-19.0,5.60,99.7
2014-01-29,#N/A,#N/A,#N/A,-11.8,-15.7,5.53,70.8
2014-01-30,#N/A,#N/A,#N/A,-5.0,-9.6,5.39,74.3
2014-01-31,#N/A,#N/A,#N/A,-10.2,-14.1,3.62,98.8
2014-02-01,#N/A,#N/A,#N/A,-10.0,-12.4,1.04,97.4
2014-02-02,#N/A,#N/A,#N/A,-11.4,-14.9,3.07,92.8
2014-02-03,#N/A,#N/A,#N/A,-15.0,-18.6,1.82,50.2
2014-02-04,#N/A,#N/A,#N/A,-11.3,-15.0,1.21,40.9
2014-02-05,#N/A,#N/A,#N/A,-12.9,-17.4,4.31,31.7
2014-02-06,#N/A,#N/A,#N/A,-13.5,-17.1,3.14,99.2
2014-02-07,#N/A,#N/A,#N/A,-11.7,-15.8,6.29,87.3
2014-02-08,#N/A,#N/A,#N/A,-13.7,-17.7,2.09,44.4
2014-02-09,#N/A,#N/A,#N/A,-12.5,-15.8,1.72,94.2
2014-02-10,#N/A,#N/A,#N/A,-15.9,-19.9,3.36,86.7
2014-02-11,#N/A,#N/A,#N/A,-22.1,-26.0,0.79,2.7
2014-02-12,#N/A,#N/A,#N/A,-9.8,-13.4,3.52,99.8
2014-02-13,#N/A,#N/A,#N/A,-6.1,-9.8,3.91,100.0
2014-02-14,#N/A,#N/A,#N/A,-8.2,-10.8,4.07,88.5
2014-02-15,#N/A,#N/A,#N/A,-14.5,-18.2,2.25,59.4
2014-02-16,#N/A,#N/A,#N/A,-14.0,-17.7,1.82,55.0
2014-02-17,#N/A,#N/A,#N/A,-14.8,-19.9,3.44,41.1
2014-02-18,#N/A,#N/A,#N/A,-6.9,-10.1,1.88,33.8
2014-02-19,#N/A,#N/A,#N/A,-2.6,-7.5,2.62,30.4
2014-02-20,#N/A,#N/A,#N/A,-1.3,-5.2,4.83,47.9
2014-02-21,#N/A,#N/A,#N/A,-2.0,-4.9,7.39,100.0
2014-02-22,#N/A,#N/A,#N/A,-6.8,-10.5,7.20,100.0
2014-02-23,#N/A,#N/A,#N/A,-10.4,-15.3,6.19,86.9
2014-02-24,#N/A,#N/A,#N/A,-13.4,-17.9,5.07,65.2
