Daily data for a single station.
StationID:,727440-14858
StationName:,"HOUGHTON COUNTY MEMO ARPT"
Lat&Long:,47.169,-88.480
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-18.5,-22.1,1.88,99.2
2014-01-02,#N/A,#N/A,#N/A,-17.9,-21.4,1.82,95.2
2014-01-03,#N/A,#N/A,#N/A,-15.1,-18.2,4.00,86.2
2014-01-04,#N/A,#N/A,#N/A,-9.4,-12.6,6.13,100.0
2014-01-05,#N/A,#N/A,#N/A,-16.8,-20.7,6.06,100.0
2014-01-06,#N/A,#N/A,#N/A,-21.4,-25.4,7.79,100.0
2014-01-07,#N/A,#N/A,#N/A,-17.2,-20.5,8.65,100.0
2014-01-08,#N/A,#N/A,#N/A,-14.9,-18.1,4.63,100.0
2014-01-09,#N/A,#N/A,#N/A,-14.5,-19.4,3.01,68.7
2014-01-10,#N/A,#N/A,#N/A,-5.2,-8.3,4.17,38.8
2014-01-11,#N/A,#N/A,#N/A,-2.1,-4.3,5.91,100.0
2014-01-12,#N/A,#N/A,#N/A,-1.5,-4.7,4.06,85.7
2014-01-13,#N/A,#N/A,#N/A,-2.3,-6.1,6.49,92.4
2014-01-14,#N/A,#N/A,#N/A,-9.2,-12.8,3.88,99.5
2014-01-15,#N/A,#N/A,#N/A,-11.6,-15.6,4.30,95.5
2014-01-16,#N/A,#N/A,#N/A,-8.1,-10.5,3.16,100.0
2014-01-17,#N/A,#N/A,#N/A,-10.0,-12.9,5.49,100.0
2014-01-18,#N/A,#N/A,#N/A,-10.8,-14.2,2.25,75.8
2014-01-19,#N/A,#N/A,#N/A,-9.1,-12.3,7.11,100.0
2014-01-20,#N/A,#N/A,#N/A,-17.8,-22.0,4.72,99.8
2014-01-21,#N/A,#N/A,#N/A,-17.9,-21.9,3.72,97.3
2014-01-22,#N/A,#N/A,#N/A,-16.1,-19.4,6.04,99.9
2014-01-23,#N/A,#N/A,#N/A,-19.0,-22.7,5.80,60.8
2014-01-24,#N/A,#N/A,#N/A,-11.1,-14.7,7.59,96.7
2014-01-25,#N/A,#N/A,#N/A,-16.4,-20.9,8.35,98.9
2014-01-26,#N/A,#N/A,#N/A,-17.2,-20.7,3.59,100.0
2014-01-27,#N/A,#N/A,#N/A,-21.1,-25.1,9.01,99.8
2014-01-28,#N/A,#N/A,#N/A,-21.0,-25.0,11.08,95.1
2014-01-29,#N/A,#N/A,#N/A,-12.6,-18.3,8.02,74.8
2014-01-30,#N/A,#N/A,#N/A,-9.5,-14.5,6.35,96.8
2014-01-31,#N/A,#N/A,#N/A,-17.8,-22.0,5.54,59.5
2014-02-01,#N/A,#N/A,#N/A,-15.7,-19.2,1.99,92.4
2014-02-02,#N/A,#N/A,#N/A,-14.9,-19.1,4.51,69.3
2014-02-03,#N/A,#N/A,#N/A,-13.4,-17.3,3.06,70.3
2014-02-04,#N/A,#N/A,#N/A,-11.8,-15.6,1.96,99.9
2014-02-05,#N/A,#N/A,#N/A,-16.2,-19.8,5.85,93.9
2014-02-06,#N/A,#N/A,#N/A,-16.3,-20.7,8.89,77.6
2014-02-07,#N/A,#N/A,#N/A,-14.3,-19.3,9.30,75.8
2014-02-08,#N/A,#N/A,#N/A,-14.5,-18.9,2.59,63.4
2014-02-09,#N/A,#N/A,#N/A,-14.7,-18.4,3.87,99.2
2014-02-10,#N/A,#N/A,#N/A,-18.8,-23.1,4.36,83.4
2014-02-11,#N/A,#N/A,#N/A,-16.6,-21.7,3.07,4.0
2014-02-12,#N/A,#N/A,#N/A,-11.0,-14.7,4.75,79.7
2014-02-13,#N/A,#N/A,#N/A,-8.5,-11.3,3.92,86.9
2014-02-14,#N/A,#N/A,#N/A,-15.9,-19.4,6.13,88.8
2014-02-15,#N/A,#N/A,#N/A,-17.5,-20.4,2.59,82.4
2014-02-16,#N/A,#N/A,#N/A,-15.3,-18.9,3.12,28.1
2014-02-17,#N/A,#N/A,#N/A,-10.1,-12.5,4.95,76.8
2014-02-18,#N/A,#N/A,#N/A,-5.3,-8.8,3.49,63.3
2014-02-19,#N/A,#N/A,#N/A,-2.7,-7.6,6.61,8.6
2014-02-20,#N/A,#N/A,#N/A,-1.1,-5.0,6.88,57.9
2014-02-21,#N/A,#N/A,#N/A,-5.6,-7.6,11.43,100.0
2014-02-22,#N/A,#N/A,#N/A,-11.8,-15.3,13.33,99.6
2014-02-23,#N/A,#N/A,#N/A,-12.8,-15.9,10.14,100.0
2014-02-24,#N/A,#N/A,#N/A,-14.7,-18.5,7.67,89.5
2014-02-25,#N/A,#N/A,#N/A,-16.6,-20.6,8.38,99.4
2014-02-26,#N/A,#N/A,#N/A,-18.1,-23.2,7.53,97.0
2014-02-27,#N/A,#N/A,#N/A,-23.3,-28.1,6.11,66.6
2014-02-28,#N/A,#N/A,#N/A,-18.8,-24.3,3.25,75.0
2014-03-01,#N/A,#N/A,#N/A,-18.8,-23.2,5.57,48.6
2014-03-02,#N/A,#N/A,#N/A,-21.8,-26.6,7.53,9.2
2014-03-03,#N/A,#N/A,#N/A,-18.7,-23.6,4.66,22.9
2014-03-04,#N/A,#N/A,#N/A,-14.5,-18.6,4.03,45.4
2014-03-05,#N/A,#N/A,#N/A,-16.6,-20.9,3.81,3.8
2014-03-06,#N/A,#N/A,#N/A,-7.7,-14.2,4.66,46.5
2014-03-07,#N/A,#N/A,#N/A,-5.0,-8.4,4.11,93.2
2014-03-08,#N/A,#N/A,#N/A,-10.2,-14.4,3.16,65.3
