Daily data for a single station.
StationID:,727450-14913
StationName:,"DULUTH INTERNATIONAL AIRP"
Lat&Long:,46.837,-92.180
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-24.6,-29.9,3.00,71.5
2014-01-02,#N/A,#N/A,#N/A,-24.3,-30.1,2.86,5.0
2014-01-03,#N/A,#N/A,#N/A,-16.2,-20.7,6.02,81.0
2014-01-04,#N/A,#N/A,#N/A,-13.1,-17.7,6.35,56.7
2014-01-05,#N/A,#N/A,#N/A,-26.4,-31.5,5.30,10.0
2014-01-06,#N/A,#N/A,#N/A,-30.1,-35.3,6.69,50.5
2014-01-07,#N/A,#N/A,#N/A,-26.1,-30.4,5.31,34.4
2014-01-08,#N/A,#N/A,#N/A,-23.2,-27.7,3.77,23.3
2014-01-09,#N/A,#N/A,#N/A,-15.4,-20.3,5.30,56.9
2014-01-10,#N/A,#N/A,#N/A,-5.8,-7.8,4.42,99.9
2014-01-11,#N/A,#N/A,#N/A,-3.2,-5.2,4.46,99.6
2014-01-12,#N/A,#N/A,#N/A,-2.2,-4.3,4.44,72.5
2014-01-13,#N/A,#N/A,#N/A,-4.1,-8.6,4.86,85.5
2014-01-14,#N/A,#N/A,#N/A,-12.3,-16.3,4.74,65.0
2014-01-15,#N/A,#N/A,#N/A,-15.6,-19.0,5.43,85.6
2014-01-16,#N/A,#N/A,#N/A,-9.7,-13.2,7.45,99.3
2014-01-17,#N/A,#N/A,#N/A,-15.2,-19.6,4.87,16.9
2014-01-18,#N/A,#N/A,#N/A,-10.6,-16.0,3.66,55.3
2014-01-19,#N/A,#N/A,#N/A,-4.9,-8.5,4.46,99.8
2014-01-20,#N/A,#N/A,#N/A,-17.7,-23.8,4.36,50.4
2014-01-21,#N/A,#N/A,#N/A,-23.1,-27.5,3.69,51.7
2014-01-22,#N/A,#N/A,#N/A,-20.1,-24.8,7.39,56.5
2014-01-23,#N/A,#N/A,#N/A,-24.2,-29.0,5.65,10.4
2014-01-24,#N/A,#N/A,#N/A,-9.6,-13.2,7.60,97.2
2014-01-25,#N/A,#N/A,#N/A,-17.7,-24.7,6.24,39.1
2014-01-26,#N/A,#N/A,#N/A,-18.0,-22.3,4.65,99.0
2014-01-27,#N/A,#N/A,#N/A,-25.7,-31.3,7.68,9.7
2014-01-28,#N/A,#N/A,#N/A,-24.0,-29.1,7.82,26.8
2014-01-29,#N/A,#N/A,#N/A,-14.5,-20.8,6.39,38.0
2014-01-30,#N/A,#N/A,#N/A,-13.9,-20.5,5.41,56.2
2014-01-31,#N/A,#N/A,#N/A,-20.6,-25.7,4.67,1.0
2014-02-01,#N/A,#N/A,#N/A,-15.0,-19.3,4.26,77.4
2014-02-02,#N/A,#N/A,#N/A,-17.8,-22.1,4.32,52.5
2014-02-03,#N/A,#N/A,#N/A,-15.2,-19.6,3.42,14.2
2014-02-04,#N/A,#N/A,#N/A,-17.7,-22.1,3.80,18.5
2014-02-05,#N/A,#N/A,#N/A,-19.4,-24.3,4.86,71.0
2014-02-06,#N/A,#N/A,#N/A,-20.2,-24.6,6.43,20.6
2014-02-07,#N/A,#N/A,#N/A,-16.6,-22.8,7.48,8.1
2014-02-08,#N/A,#N/A,#N/A,-16.4,-22.9,1.91,20.6
2014-02-09,#N/A,#N/A,#N/A,-18.9,-25.0,5.00,32.3
2014-02-10,#N/A,#N/A,#N/A,-21.0,-26.5,4.56,6.2
2014-02-11,#N/A,#N/A,#N/A,-16.9,-22.8,4.57,30.9
2014-02-12,#N/A,#N/A,#N/A,-11.1,-17.0,3.82,56.5
2014-02-13,#N/A,#N/A,#N/A,-9.2,-12.5,6.34,91.1
2014-02-14,#N/A,#N/A,#N/A,-16.4,-21.2,5.05,2.1
2014-02-15,#N/A,#N/A,#N/A,-13.3,-17.0,3.56,81.8
2014-02-16,#N/A,#N/A,#N/A,-15.6,-18.5,4.78,72.1
2014-02-17,#N/A,#N/A,#N/A,-8.1,-10.4,5.02,99.8
2014-02-18,#N/A,#N/A,#N/A,-2.4,-6.6,4.09,36.4
2014-02-19,#N/A,#N/A,#N/A,-0.3,-7.2,5.17,27.7
2014-02-20,#N/A,#N/A,#N/A,-1.4,-4.5,5.63,87.9
2014-02-21,#N/A,#N/A,#N/A,-10.7,-14.3,9.28,96.7
2014-02-22,#N/A,#N/A,#N/A,-13.9,-18.9,8.77,47.6
2014-02-23,#N/A,#N/A,#N/A,-14.1,-19.5,8.23,27.5
2014-02-24,#N/A,#N/A,#N/A,-15.5,-21.5,5.89,16.0
2014-02-25,#N/A,#N/A,#N/A,-20.0,-25.7,6.39,22.3
2014-02-26,#N/A,#N/A,#N/A,-19.2,-24.8,8.23,69.8
2014-02-27,#N/A,#N/A,#N/A,-24.3,-32.3,4.18,0.0
2014-02-28,#N/A,#N/A,#N/A,-19.2,-26.4,4.05,61.1
2014-03-01,#N/A,#N/A,#N/A,-22.5,-29.4,5.77,5.2
2014-03-02,#N/A,#N/A,#N/A,-23.7,-31.0,5.44,0.0
2014-03-03,#N/A,#N/A,#N/A,-19.4,-24.9,3.25,48.5
2014-03-04,#N/A,#N/A,#N/A,-14.2,-19.1,1.73,39.9
2014-03-05,#N/A,#N/A,#N/A,-14.1,-17.7,4.92,23.9
2014-03-06,#N/A,#N/A,#N/A,-6.9,-12.4,6.69,71.9
2014-03-07,#N/A,#N/A,#N/A,-3.9,-7.2,4.69,95.3
2014-03-08,#N/A,#N/A,#N/A,-8.0,-14.7,3.70,45.9
2014-03-09,#N/A,#N/A,#N/A,-0.9,-6.6,5.24,47.9
2014-03-10,#N/A,#N/A,#N/A,5.4,-2.5,5.78,24.8
2014-03-11,#N/A,#N/A,#N/A,0.7,-7.0,5.42,39.6
2014-03-12,#N/A,#N/A,#N/A,-10.6,-15.1,3.77,61.0
2014-03-13,#N/A,#N/A,#N/A,-1.1,-7.0,5.78,49.5
2014-03-14,#N/A,#N/A,#N/A,-0.4,-4.4,6.43,76.0
2014-03-15,#N/A,#N/A,#N/A,-8.8,-16.5,3.76,18.4
2014-03-16,#N/A,#N/A,#N/A,-11.2,-19.0,2.92,36.9
2014-03-17,#N/A,#N/A,#N/A,-5.4,-10.3,4.82,100.0
2014-03-18,#N/A,#N/A,#N/A,-3.7,-6.5,5.74,100.0
2014-03-19,#N/A,#N/A,#N/A,-2.2,-7.1,4.84,99.4
2014-03-20,#N/A,#N/A,#N/A,-0.2,-8.2,2.68,56.0
2014-03-21,#N/A,#N/A,#N/A,-1.7,-4.7,5.11,97.4
2014-03-22,#N/A,#N/A,#N/A,-13.5,-19.0,5.79,25.6
2014-03-23,#N/A,#N/A,#N/A,-13.8,-20.1,4.34,9.4
2014-03-24,#N/A,#N/A,#N/A,-10.4,-17.2,6.37,44.8
2014-03-25,#N/A,#N/A,#N/A,-12.5,-19.7,5.67,32.1
2014-03-26,#N/A,#N/A,#N/A,-8.1,-14.3,4.69,60.8
2014-03-27,#N/A,#N/A,#N/A,-1.9,-4.8,5.26,100.0
2014-03-28,#N/A,#N/A,#N/A,-3.9,-12.7,3.25,24.8
2014-03-29,#N/A,#N/A,#N/A,-2.8,-12.8,3.51,43.1
2014-03-30,#N/A,#N/A,#N/A,4.3,-2.7,4.09,20.6
2014-03-31,#N/A,#N/A,#N/A,1.9,-1.3,8.52,73.8
2014-04-01,#N/A,#N/A,#N/A,-5.1,-9.0,7.11,71.9
2014-04-02,#N/A,#N/A,#N/A,-3.7,-11.1,3.08,13.3
2014-04-03,#N/A,#N/A,#N/A,-2.8,-8.2,7.94,99.5
2014-04-04,#N/A,#N/A,#N/A,-1.4,-5.8,5.59,61.7
2014-04-05,#N/A,#N/A,#N/A,0.8,-5.6,4.29,19.6
2014-04-06,#N/A,#N/A,#N/A,4.4,-1.3,3.49,39.0
2014-04-07,#N/A,#N/A,#N/A,4.0,-0.9,2.39,64.3
2014-04-08,#N/A,#N/A,#N/A,3.5,-4.8,5.07,23.8
2014-04-09,#N/A,#N/A,#N/A,7.1,-2.7,5.82,42.0
2014-04-10,#N/A,#N/A,#N/A,6.6,-3.4,7.44,30.8
2014-04-11,#N/A,#N/A,#N/A,6.5,-3.5,4.36,43.5
2014-04-12,#N/A,#N/A,#N/A,1.7,-1.3,6.02,99.2
2014-04-13,#N/A,#N/A,#N/A,0.9,-2.8,5.57,91.9
2014-04-14,#N/A,#N/A,#N/A,-3.8,-12.7,6.49,61.7
2014-04-15,#N/A,#N/A,#N/A,-5.5,-15.7,3.04,12.3
2014-04-16,#N/A,#N/A,#N/A,-3.7,-8.3,6.71,86.9
2014-04-17,#N/A,#N/A,#N/A,-01.0,-5.6,4.59,81.4
2014-04-18,#N/A,#N/A,#N/A,-0.5,-7.4,3.72,43.5
2014-04-19,#N/A,#N/A,#N/A,2.0,-2.2,5.87,67.5
2014-04-20,#N/A,#N/A,#N/A,9.8,-0.4,2.33,2.1
2014-04-21,#N/A,#N/A,#N/A,8.8,-0.8,5.50,45.0
2014-04-22,#N/A,#N/A,#N/A,5.2,-5.0,3.46,27.9
2014-04-23,#N/A,#N/A,#N/A,4.2,-4.0,3.95,41.7
2014-04-24,#N/A,#N/A,#N/A,1.3,-0.1,6.96,100.0
2014-04-25,#N/A,#N/A,#N/A,2.4,-0.7,3.84,83.6
2014-04-26,#N/A,#N/A,#N/A,1.1,-3.3,5.76,56.2
2014-04-27,#N/A,#N/A,#N/A,0.6,-4.4,10.32,98.5
2014-04-28,#N/A,#N/A,#N/A,2.4,-3.0,13.63,100.0
2014-04-29,#N/A,#N/A,#N/A,3.1,-2.1,8.63,92.7
2014-04-30,#N/A,#N/A,#N/A,2.8,1.2,4.42,100.0
2014-05-01,#N/A,#N/A,#N/A,4.4,1.6,4.83,100.0
2014-05-02,#N/A,#N/A,#N/A,6.9,2.4,3.14,92.5
2014-05-03,#N/A,#N/A,#N/A,6.5,-1.0,6.62,88.4
2014-05-04,#N/A,#N/A,#N/A,5.3,-3.1,4.23,36.0
2014-05-05,#N/A,#N/A,#N/A,4.5,0.5,3.68,72.7
2014-05-06,#N/A,#N/A,#N/A,5.2,0.4,5.77,69.8
2014-05-07,#N/A,#N/A,#N/A,7.5,1.1,7.60,75.0
2014-05-08,#N/A,#N/A,#N/A,6.7,5.2,4.04,99.9
2014-05-09,#N/A,#N/A,#N/A,6.2,4.5,5.87,92.5
2014-05-10,#N/A,#N/A,#N/A,12.0,-0.5,3.92,10.2
2014-05-11,#N/A,#N/A,#N/A,12.2,3.7,5.21,67.1
2014-05-12,#N/A,#N/A,#N/A,4.6,2.7,8.64,100.0
2014-05-13,#N/A,#N/A,#N/A,6.6,1.9,6.91,78.8
