Daily data for a single station.
StationID:,743700-14715
StationName:,"WHEELER-SACK AAF AIRPORT"
Lat&Long:,44.050,-75.730
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-18
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,#N/A,#N/A,2.81,52.5
2014-01-02,#N/A,#N/A,#N/A,#N/A,#N/A,6.02,83.2
2014-01-03,#N/A,#N/A,#N/A,#N/A,#N/A,3.64,34.6
2014-01-04,#N/A,#N/A,#N/A,#N/A,#N/A,6.32,78.4
2014-01-05,#N/A,#N/A,#N/A,#N/A,#N/A,5.61,98.0
2014-01-06,#N/A,#N/A,#N/A,#N/A,#N/A,8.28,96.5
2014-01-07,#N/A,#N/A,#N/A,#N/A,#N/A,6.59,83.5
2014-01-08,#N/A,#N/A,#N/A,#N/A,#N/A,3.75,98.6
2014-01-09,#N/A,#N/A,#N/A,#N/A,#N/A,3.19,44.6
2014-01-10,#N/A,#N/A,#N/A,#N/A,#N/A,5.02,83.6
2014-01-11,#N/A,#N/A,#N/A,#N/A,#N/A,7.56,88.4
2014-01-12,#N/A,#N/A,#N/A,#N/A,#N/A,6.57,96.2
2014-01-13,#N/A,#N/A,#N/A,#N/A,#N/A,6.30,39.0
2014-01-14,#N/A,#N/A,#N/A,#N/A,#N/A,2.85,96.5
2014-01-15,#N/A,#N/A,#N/A,#N/A,#N/A,3.52,73.2
2014-01-16,#N/A,#N/A,#N/A,#N/A,#N/A,1.70,73.4
2014-01-17,#N/A,#N/A,#N/A,#N/A,#N/A,4.32,91.9
2014-01-18,#N/A,#N/A,#N/A,#N/A,#N/A,3.88,79.0
2014-01-19,#N/A,#N/A,#N/A,#N/A,#N/A,6.09,96.8
2014-01-20,#N/A,#N/A,#N/A,#N/A,#N/A,3.56,72.5
2014-01-21,#N/A,#N/A,#N/A,#N/A,#N/A,2.02,4.2
2014-01-22,#N/A,#N/A,#N/A,#N/A,#N/A,1.23,3.5
2014-01-23,#N/A,#N/A,#N/A,#N/A,#N/A,1.47,28.5
2014-01-24,#N/A,#N/A,#N/A,#N/A,#N/A,5.08,49.9
2014-01-25,#N/A,#N/A,#N/A,#N/A,#N/A,7.97,77.5
2014-01-26,#N/A,#N/A,#N/A,#N/A,#N/A,4.05,50.7
2014-01-27,#N/A,#N/A,#N/A,#N/A,#N/A,6.50,63.1
2014-01-28,#N/A,#N/A,#N/A,#N/A,#N/A,4.84,61.2
2014-01-29,#N/A,#N/A,#N/A,#N/A,#N/A,5.35,86.6
2014-01-30,#N/A,#N/A,#N/A,#N/A,#N/A,5.72,45.8
2014-01-31,#N/A,#N/A,#N/A,#N/A,#N/A,4.93,77.5
2014-02-01,#N/A,#N/A,#N/A,#N/A,#N/A,4.57,78.8
