Daily data for a single station.
StationID:,744665-04838
StationName:,"PALWAUKEE MUNICIPAL ARPT"
Lat&Long:,42.121,-87.900
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-7.9,-10.0,3.93,100.0
2014-01-02,#N/A,#N/A,#N/A,-9.3,-12.7,4.99,67.7
2014-01-03,#N/A,#N/A,#N/A,-13.1,-17.4,5.71,17.3
2014-01-04,#N/A,#N/A,#N/A,-2.9,-6.8,5.24,58.3
2014-01-05,#N/A,#N/A,#N/A,-10.0,-13.3,6.86,100.0
2014-01-06,#N/A,#N/A,#N/A,-23.8,-29.3,7.25,9.4
2014-01-07,#N/A,#N/A,#N/A,-20.2,-25.0,3.62,2.1
2014-01-08,#N/A,#N/A,#N/A,-15.9,-21.0,1.10,0.0
2014-01-09,#N/A,#N/A,#N/A,-11.9,-14.5,1.21,66.7
2014-01-10,#N/A,#N/A,#N/A,0.9,-0.2,3.80,100.0
2014-01-11,#N/A,#N/A,#N/A,2.0,-0.4,4.61,100.0
2014-01-12,#N/A,#N/A,#N/A,1.4,-2.3,6.00,42.7
2014-01-13,#N/A,#N/A,#N/A,3.5,-0.9,3.75,18.1
2014-01-14,#N/A,#N/A,#N/A,-2.5,-5.6,5.65,67.5
2014-01-15,#N/A,#N/A,#N/A,-4.7,-12.3,4.69,52.4
2014-01-16,#N/A,#N/A,#N/A,-1.6,-5.2,6.49,91.6
2014-01-17,#N/A,#N/A,#N/A,-9.0,-13.7,4.30,94.8
2014-01-18,#N/A,#N/A,#N/A,-9.0,-11.8,2.42,72.8
2014-01-19,#N/A,#N/A,#N/A,-4.0,-8.0,4.47,13.3
2014-01-20,#N/A,#N/A,#N/A,-2.2,-5.4,4.05,95.8
2014-01-21,#N/A,#N/A,#N/A,-14.6,-20.2,5.04,25.8
2014-01-22,#N/A,#N/A,#N/A,-14.0,-18.6,5.02,78.2
2014-01-23,#N/A,#N/A,#N/A,-16.4,-22.3,5.85,24.4
2014-01-24,#N/A,#N/A,#N/A,-11.6,-17.1,6.76,61.9
2014-01-25,#N/A,#N/A,#N/A,-7.5,-14.9,6.92,31.0
2014-01-26,#N/A,#N/A,#N/A,-8.2,-12.8,5.85,85.3
2014-01-27,#N/A,#N/A,#N/A,-18.6,-25.0,6.70,16.2
