Daily data for a single station.
StationID:,744989-14747
StationName:,"CHAUTAUQUA CO/DUNKIRK ARP"
Lat&Long:,42.493,-79.270
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-20
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-8.1,-11.8,3.79,100.0
2014-01-02,#N/A,#N/A,#N/A,-11.5,-14.1,6.90,100.0
2014-01-03,#N/A,#N/A,#N/A,-14.4,-18.8,3.77,73.1
2014-01-04,#N/A,#N/A,#N/A,-3.4,-14.8,7.53,32.1
2014-01-05,#N/A,#N/A,#N/A,1.7,-5.8,2.41,100.0
2014-01-06,#N/A,#N/A,#N/A,-7.6,-10.1,10.38,100.0
2014-01-07,#N/A,#N/A,#N/A,-18.6,-23.7,9.97,100.0
2014-01-08,#N/A,#N/A,#N/A,-10.5,-16.3,5.39,85.3
2014-01-09,#N/A,#N/A,#N/A,-6.1,-10.9,2.28,59.3
2014-01-10,#N/A,#N/A,#N/A,2.8,-0.2,4.47,90.4
2014-01-11,#N/A,#N/A,#N/A,7.2,4.5,8.69,97.6
2014-01-12,#N/A,#N/A,#N/A,0.7,-2.0,7.01,69.7
2014-01-13,#N/A,#N/A,#N/A,6.9,0.3,7.87,42.5
2014-01-14,#N/A,#N/A,#N/A,2.2,-0.5,3.97,76.0
2014-01-15,#N/A,#N/A,#N/A,-1.3,-5.7,6.19,100.0
2014-01-16,#N/A,#N/A,#N/A,-2.6,-8.8,3.65,74.0
2014-01-17,#N/A,#N/A,#N/A,-0.1,-5.6,4.46,71.5
2014-01-18,#N/A,#N/A,#N/A,-7.5,-11.4,5.67,97.2
2014-01-19,#N/A,#N/A,#N/A,-4.6,-9.2,6.88,99.8
2014-01-20,#N/A,#N/A,#N/A,-4.4,-8.5,4.81,100.0
2014-01-21,#N/A,#N/A,#N/A,-13.8,-18.5,4.02,99.7
2014-01-22,#N/A,#N/A,#N/A,-15.2,-19.3,2.30,86.9
2014-01-23,#N/A,#N/A,#N/A,-13.6,-17.4,2.90,84.2
2014-01-24,#N/A,#N/A,#N/A,-11.8,-18.3,7.24,69.5
2014-01-25,#N/A,#N/A,#N/A,-7.6,-11.8,7.57,97.7
2014-01-26,#N/A,#N/A,#N/A,-10.2,-14.9,6.28,82.8
2014-01-27,#N/A,#N/A,#N/A,-9.6,-14.5,7.57,86.2
2014-01-28,#N/A,#N/A,#N/A,-16.1,-22.4,5.29,26.1
2014-01-29,#N/A,#N/A,#N/A,-13.5,-20.0,7.17,15.2
2014-01-30,#N/A,#N/A,#N/A,-5.6,-18.1,6.74,18.8
2014-01-31,#N/A,#N/A,#N/A,0.1,-8.5,5.26,100.0
2014-02-01,#N/A,#N/A,#N/A,1.6,-1.3,2.42,93.5
2014-02-02,#N/A,#N/A,#N/A,-1.8,-3.7,3.13,100.0
2014-02-03,#N/A,#N/A,#N/A,-7.2,-10.3,2.47,55.0
2014-02-04,#N/A,#N/A,#N/A,-8.2,-11.3,1.66,25.0
2014-02-05,#N/A,#N/A,#N/A,-6.1,-8.0,5.59,100.0
2014-02-06,#N/A,#N/A,#N/A,-9.9,-13.7,4.95,96.2
2014-02-07,#N/A,#N/A,#N/A,-13.3,-17.5,5.95,46.5
2014-02-08,#N/A,#N/A,#N/A,-13.1,-17.2,3.51,51.1
2014-02-09,#N/A,#N/A,#N/A,-9.6,-12.0,2.17,99.9
2014-02-10,#N/A,#N/A,#N/A,-10.6,-13.4,3.47,92.7
2014-02-11,#N/A,#N/A,#N/A,-14.4,-17.4,1.79,70.6
2014-02-12,#N/A,#N/A,#N/A,-15.6,-20.7,2.01,0.0
2014-02-13,#N/A,#N/A,#N/A,-8.2,-12.7,2.40,33.0
