Daily data for a single station.
StationID:,994090-99999
StationName:,"PASSAGE ISLAND  MI"
Lat&Long:,48.220,-88.370
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-23.8,#N/A,5.37,#N/A
2014-01-02,#N/A,#N/A,#N/A,-21.9,#N/A,5.48,#N/A
2014-01-03,#N/A,#N/A,#N/A,-11.7,#N/A,9.37,#N/A
2014-01-04,#N/A,#N/A,#N/A,-9.5,#N/A,11.52,#N/A
2014-01-05,#N/A,#N/A,#N/A,-21.3,#N/A,9.67,#N/A
2014-01-06,#N/A,#N/A,#N/A,-25.7,#N/A,10.84,#N/A
2014-01-07,#N/A,#N/A,#N/A,-20.9,#N/A,13.14,#N/A
2014-01-08,#N/A,#N/A,#N/A,-17.4,#N/A,10.92,#N/A
2014-01-09,#N/A,#N/A,#N/A,-9.4,#N/A,9.97,#N/A
2014-01-10,#N/A,#N/A,#N/A,-2.1,#N/A,10.00,#N/A
2014-01-11,#N/A,#N/A,#N/A,-1.5,#N/A,7.38,#N/A
2014-01-12,#N/A,#N/A,#N/A,-1.6,#N/A,7.70,#N/A
2014-01-13,#N/A,#N/A,#N/A,-2.2,#N/A,8.63,#N/A
2014-01-14,#N/A,#N/A,#N/A,-11.4,#N/A,5.35,#N/A
2014-01-15,#N/A,#N/A,#N/A,-13.1,#N/A,6.32,#N/A
2014-01-16,#N/A,#N/A,#N/A,-5.9,#N/A,7.44,#N/A
2014-01-17,#N/A,#N/A,#N/A,-13.8,#N/A,6.85,#N/A
2014-01-18,#N/A,#N/A,#N/A,-10.1,#N/A,5.07,#N/A
2014-01-19,#N/A,#N/A,#N/A,-11.8,#N/A,9.19,#N/A
2014-01-20,#N/A,#N/A,#N/A,-21.2,#N/A,8.10,#N/A
2014-01-21,#N/A,#N/A,#N/A,-21.0,#N/A,5.64,#N/A
2014-01-22,#N/A,#N/A,#N/A,-15.7,#N/A,7.10,#N/A
2014-01-23,#N/A,#N/A,#N/A,-20.8,#N/A,7.96,#N/A
2014-01-24,#N/A,#N/A,#N/A,-9.4,#N/A,11.97,#N/A
2014-01-25,#N/A,#N/A,#N/A,-18.8,#N/A,12.37,#N/A
2014-01-26,#N/A,#N/A,#N/A,-19.7,#N/A,5.80,#N/A
2014-01-27,#N/A,#N/A,#N/A,-23.8,#N/A,13.24,#N/A
2014-01-28,#N/A,#N/A,#N/A,-21.8,#N/A,15.66,#N/A
2014-01-29,#N/A,#N/A,#N/A,-12.7,#N/A,12.05,#N/A
2014-01-30,#N/A,#N/A,#N/A,-11.3,#N/A,10.63,#N/A
2014-01-31,#N/A,#N/A,#N/A,-17.1,#N/A,10.30,#N/A
2014-02-01,#N/A,#N/A,#N/A,-12.9,#N/A,4.29,#N/A
2014-02-02,#N/A,#N/A,#N/A,-15.7,#N/A,6.90,#N/A
2014-02-03,#N/A,#N/A,#N/A,-9.6,#N/A,6.07,#N/A
2014-02-04,#N/A,#N/A,#N/A,-12.2,#N/A,3.88,#N/A
2014-02-05,#N/A,#N/A,#N/A,-16.3,#N/A,7.81,#N/A
2014-02-06,#N/A,#N/A,#N/A,-16.4,#N/A,14.22,#N/A
2014-02-07,#N/A,#N/A,#N/A,-12.9,#N/A,13.20,#N/A
2014-02-08,#N/A,#N/A,#N/A,-12.9,#N/A,2.72,#N/A
2014-02-09,#N/A,#N/A,#N/A,-15.1,#N/A,5.19,#N/A
