Daily data for a single station.
StationID:,994330-99999
StationName:,"SHEBOYGAN  WI"
Lat&Long:,43.750,-87.690
Elevation:,-999.900
Starts(YMD):,2014-01-01
Ends(YMD):,2024-05-19
Date,AirTempMax,AirTempMin,Precipitation,AirTemp,Dewpoint,Windspeed,CloudCover
YYYY-MM-DD,Celsius,Celsius,Millimeters,Celsius,Celsius,MetersPerSecond,Percent
2014-01-01,#N/A,#N/A,#N/A,-13.1,-16.1,7.83,#N/A
2014-01-02,#N/A,#N/A,#N/A,-11.7,-16.5,7.99,#N/A
2014-01-03,#N/A,#N/A,#N/A,-12.1,-17.9,9.13,#N/A
2014-01-04,#N/A,#N/A,#N/A,-2.3,-7.4,8.85,#N/A
2014-01-05,#N/A,#N/A,#N/A,-12.2,-18.6,8.47,#N/A
2014-01-06,#N/A,#N/A,#N/A,-23.8,-30.1,10.19,#N/A
2014-01-07,#N/A,#N/A,#N/A,-21.6,-27.9,7.43,#N/A
2014-01-08,#N/A,#N/A,#N/A,-16.6,-23.6,4.20,#N/A
2014-01-09,#N/A,#N/A,#N/A,-10.5,-14.7,5.55,#N/A
2014-01-10,#N/A,#N/A,#N/A,-0.2,-0.8,7.31,#N/A
2014-01-11,#N/A,#N/A,#N/A,1.4,1.2,6.27,#N/A
2014-01-12,#N/A,#N/A,#N/A,0.3,-0.3,8.90,#N/A
2014-01-13,#N/A,#N/A,#N/A,3.0,1.4,5.00,#N/A
2014-01-14,#N/A,#N/A,#N/A,-1.2,-2.7,7.73,#N/A
2014-01-15,#N/A,#N/A,#N/A,-8.6,-12.2,6.76,#N/A
2014-01-16,#N/A,#N/A,#N/A,-3.4,-5.1,8.02,#N/A
2014-01-17,#N/A,#N/A,#N/A,-7.5,-9.3,6.63,#N/A
2014-01-18,#N/A,#N/A,#N/A,-7.7,-9.4,3.56,#N/A
2014-01-19,#N/A,#N/A,#N/A,-3.6,-7.7,5.94,#N/A
2014-01-20,#N/A,#N/A,#N/A,-8.2,-12.4,9.49,#N/A
2014-01-21,#N/A,#N/A,#N/A,-15.7,-21.7,6.57,#N/A
2014-01-22,#N/A,#N/A,#N/A,-14.7,-19.8,6.24,#N/A
2014-01-23,#N/A,#N/A,#N/A,-14.7,-20.7,8.60,#N/A
2014-01-24,#N/A,#N/A,#N/A,-11.3,-17.2,9.89,#N/A
2014-01-25,#N/A,#N/A,#N/A,-9.1,-16.8,8.68,#N/A
2014-01-26,#N/A,#N/A,#N/A,-11.6,-16.3,6.03,#N/A
2014-01-27,#N/A,#N/A,#N/A,-19.0,-26.5,9.78,#N/A
2014-01-28,#N/A,#N/A,#N/A,-20.4,-27.4,8.50,#N/A
2014-01-29,#N/A,#N/A,#N/A,-12.3,-21.1,8.42,#N/A
2014-01-30,#N/A,#N/A,#N/A,-2.0,-8.4,9.53,#N/A
2014-01-31,#N/A,#N/A,#N/A,-11.4,-18.4,4.50,#N/A
2014-02-01,#N/A,#N/A,#N/A,-10.3,-13.9,3.74,#N/A
2014-02-02,#N/A,#N/A,#N/A,-11.0,-17.4,5.51,#N/A
2014-02-03,#N/A,#N/A,#N/A,-11.3,-19.2,4.39,#N/A
2014-02-04,#N/A,#N/A,#N/A,-8.1,-12.3,5.48,#N/A
2014-02-05,#N/A,#N/A,#N/A,-8.0,-12.0,9.26,#N/A
2014-02-06,#N/A,#N/A,#N/A,-15.4,-21.0,6.79,#N/A
2014-02-07,#N/A,#N/A,#N/A,-14.3,-21.2,7.00,#N/A
2014-02-08,#N/A,#N/A,#N/A,-11.6,-16.3,4.81,#N/A
2014-02-09,#N/A,#N/A,#N/A,-10.4,-15.5,5.48,#N/A
2014-02-10,#N/A,#N/A,#N/A,-15.8,-23.6,6.30,#N/A
2014-02-11,#N/A,#N/A,#N/A,-13.6,-22.0,4.87,#N/A
2014-02-12,#N/A,#N/A,#N/A,-10.3,-14.7,5.45,#N/A
2014-02-13,#N/A,#N/A,#N/A,-4.6,-7.8,8.01,#N/A
2014-02-14,#N/A,#N/A,#N/A,-7.1,-12.3,6.87,#N/A
2014-02-15,#N/A,#N/A,#N/A,-9.4,-14.2,4.53,#N/A
2014-02-16,#N/A,#N/A,#N/A,-7.2,-9.9,7.15,#N/A
2014-02-17,#N/A,#N/A,#N/A,-3.5,-5.4,12.07,#N/A
2014-02-18,#N/A,#N/A,#N/A,-1.9,-2.5,5.97,#N/A
2014-02-19,#N/A,#N/A,#N/A,3.2,-3.8,4.55,#N/A
2014-02-20,#N/A,#N/A,#N/A,2.0,1.6,9.49,#N/A
2014-02-21,#N/A,#N/A,#N/A,-2.1,-7.1,13.73,#N/A
2014-02-22,#N/A,#N/A,#N/A,-5.0,-13.9,8.60,#N/A
2014-02-23,#N/A,#N/A,#N/A,-8.5,-17.1,7.80,#N/A
2014-02-24,#N/A,#N/A,#N/A,-10.1,-17.6,7.42,#N/A
2014-02-25,#N/A,#N/A,#N/A,-11.6,-19.8,7.40,#N/A
2014-02-26,#N/A,#N/A,#N/A,-14.8,-23.0,8.48,#N/A
2014-02-27,#N/A,#N/A,#N/A,-15.2,-25.6,7.41,#N/A
2014-02-28,#N/A,#N/A,#N/A,-11.2,-18.5,7.62,#N/A
2014-03-01,#N/A,#N/A,#N/A,-10.6,-15.1,5.91,#N/A
2014-03-02,#N/A,#N/A,#N/A,-15.2,-24.4,7.27,#N/A
